Title,Director,Cast,Genre,Sources / notes
Piya Ka Ghar,Basu Chatterjee,"Anil Dhawan, Jaya Badhuri",Drama,
Pran Jaye Par Vachan Na Jaye,S. Ali Raza,"Sunil Dutt, Rekha, Iftekhar",Drama,
Rajnigandha,Basu Chatterjee,"Amol Palekar, Vidya Sinha",Romance,
Roti,Manmohan Desai,"Rajesh Khanna, Mumtaz",Romance,
Roti Kapda Aur Makaan,Manoj Kumar,"Manoj Kumar, Amitabh Bachchan, Zeenat Aman",Drama,
Sagina,Tapan Sinha,"Dilip Kumar, Saira Banu",Drama,
Samadhi,,Dharmendra,Drama,
Shatranj Ke Mohre,,,,
Vachan,Suraj Prakash,"Sashi Kapoor, Vimi",,
Zehreela Insaan,S.R. Puttana Kanagal,"Rishi Kapoor, Moushumi Chatterjee, Neetu Singh, Pran, Nirupa Roy, Dara Singh, Iftekhar, Madan Puri, Paintal",,
