Title,Director,Cast,Genre
Insaaf,Dayal Nihalani,"Akshay Kumar, Shilpa Shetty, Paresh Rawal",Action
Ishq,Indra Kumar,"Aamir Khan, Juhi Chawla, Ajay Devgn, Kajol","Romance, Comedy"
Itihaas,Raj Kanwar,"Ajay Devgn, Twinkle Khanna",
Jeeo Shaan Se,Talat Jani,"Dharmendra, Reena Roy, Vikas Bhalla",
Jeevan Yudh,Partho Ghosh,"Mithun Chakraborty, Atul Agnihotri, Mamta Kulkarni","Action, Drama, Family"
Jodidar,T.L.V. Prasad,"Bindushree, Mithun Chakraborty, Prem Chopra",
Judaai,Raj Kanwar,"Anil Kapoor, Sridevi, Urmila Matondkar",Drama
Judge Mujrim,Jagdish A. Sharma,"Jeetendra, Sunil Shetty, Sujata Mehta",Action
Judwaa,David Dhawan,"Salman Khan, Rambha, Karisma Kapoor",Comedy
Kaalia,T.L.V. Prasad,"Dipti Bhatnagar, Mithun Chakraborty, Kiran Kumar",
Kaun Rokega Mujhe,,"Govinda, Prem Chopra, Nagma, Pran",
Kaun Sachcha Kaun Jhootha,Partho Ghosh,"Rishi Kapoor, Sridevi, Suresh Oberoi","Action, Drama, Thriller"
Koyla,Rakesh Roshan,"Shahrukh Khan, Madhuri Dixit, Amrish Puri",Drama
Krantikari,Raghuram,"Mithun Chakraborty, Mamta Kulkarni, Rajnikanth","Action, Crime, Drama"
Krishna Arjun,Shailendra Shukla,"Jeetendra, Vivek Mushran, Karina Grover",
Lahu Ke Do Rang,Mehul Kumar,"Akshay Kumar, Karisma Kapoor",Drama
Lakha,,"Kulbhushan Kharbanda, Pran",
Lav Kush,V. Madhusudan Rao,Pran,
Loha,,"Dharmendra, Mithun Chakraborty, Govinda, Ramya",
Mahaanta,Afzal Khan,"Sanjay Dutt, Madhuri Dixit",
Mere Sapno Ki Rani,K. Raghavendra Rao,"Sanjay Kapoor, Madhoo, Urmila Matondkar, Asrani, Rakesh Bedi, Laxmikant Berde","Drama, Musical, Romance"
Mrityudand,Prakash Jha,"Madhuri Dixit, Shabana Azmi, Ayub Khan, Shilpa Shirodkar, Om Puri",Drama
Mrityudata,Mehul Kumar,"Amitabh Bachchan, Nana Patekar, Dimple Kapadia, Karisma Kapoor, Pran",Action
Mr. and Mrs. Khiladi,David Dhawan,"Akshay Kumar, Juhi Chawla","Romance, Comedy"
Naseeb,Kirti Kumar,"Govinda, Mamta Kulkarni",
Pardes,Subhash Ghai,"Shahrukh Khan, Mahima Chaudhry, Apurva Agnihotri, Amrish Puri","Social, Drama"
Prithvi,Nitin Manmohan,"Sunil Shetty, Shilpa Shetty",Mystery
Qahar,Rajkumar Kohli,"Sunny Deol, Sunil Shetty, Sonali Bendre",Action
Raja Ki Aayegi Baraat,Ashok Gaikwad,"Rani Mukherji, Shadaab Khan","Family, Crime, Drama, Romance"
Saat Rang Ke Sapne,Priyadarshan,"Arvind Swamy, Juhi Chawla, Farida Jalal",
Salma Pe Dil Aa Gaya,Saawan Kumar Tak,"Ayub Khan, Milind Gunaji, Saadhika, Pran",
Sanam,Aziz Sejawal,"Sanjay Dutt, Manisha Koirala",Romance
Sapnay,Rajiv Menon,"Arvind Swamy, Prabhu Deva, Kajol, S. P. Balasubrahmanyam, Nassar",Romance
Shapath (1997 film),Rajiv Babbar,"Mithun Chakraborty, Jackie Shroff, Harish, Ramya Krishna",
Sher-E-Hindustan,T L V Prasad,"Mithun Chakraborty, Sanghavi, Madhoo",
Sixth Happiness,Waris Hussein,"Firdaus Kanga, Souad Faress, Khodus Wadia",Social
Suraj,T.L.V. Prasad,"Rakesh Bedi, Mithun Chakraborty, Puneet Issar",Action
Taraazu,Vimal Kumar,"Akshay Kumar, Sonali Bendre",Action
Uff! Yeh Mohabbat,Vipin Handa,"Abhishek Kapoor, Twinkle Khanna, Anupam Kher",
Virasat,Priyadarshan,"Anil Kapoor, Tabu, Pooja Batra, Amrish Puri",Drama
Yes Boss,Aziz Mirza,"Aditya Pancholi, Shahrukh Khan, Juhi Chawla","Comedy, Romance"
Yeshwant,Anil Matto,"Nana Patekar, Madhoo, Atul Agnihotri, Mohan Joshi, Shafi Inamdar",Social
Ziddi,Guddu Dhanoa,"Sunny Deol, Raveena Tandon","Action, Drama"
