Title,Director,Cast,Genre
Aar Ya Paar,Ketan Mehta,"Jackie Shroff, Deepa Sahi","Romance, Crime"
Aastha: In the Prison of Spring,Basu Bhattacharyya,"Rekha, Om Puri",
Aflatoon,Guddu Dhanoa,"Akshay Kumar, Urmila Matondkar",Action
Agni Morcha,Raju Chutani,"Dharmendra, Mukesh Khanna, Ravi Kishan",Action
Agnichakra,Amit Suryavanshi,"Naseeruddin Shah, Govinda, Dimple Kapadia, Somy Ali",Action
Aur Pyaar Ho Gaya,Rahul Rawail,"Bobby Deol, Aishwarya Rai",Romance
Auzaar,Sohail Khan,"Salman Khan, Shilpa Shetty, Sanjay Kapoor",Action
Banarasi Babu,,"Govinda, Ramya, Kader Khan",
Bhai,Deepak Shivdasani,"Sunil Shetty, Sonali Bendre, Pooja Batra",Action
Bhoot Bhungla,Aziz Sejawal,"Govinda, Chunky Pandey",
Border,J. P. Dutta,"Sunny Deol, Jackie Shroff, Sunil Shetty, Akshaye Khanna, Pooja Bhatt, Tabu",War
Chachi 420,Kamal Hassan,"Kamal Hassan, Tabu, Amrish Puri, Om Puri",
Chupp,Ambrish Sangal,"Jeetendra, Somy Ali, Om Puri",
Daava,,"Akshay Kumar, Raveena Tandon, Divya Dutta","Action, Comedy, Romance"
Darmiyaan,Kalpana Lajmi,"Kiron Kher, Tabu",
Daud,Ram Gopal Varma,"Sanjay Dutt, Urmila Matondkar","Romance, Crime"
Deewana Mastana,David Dhawan,"Anil Kapoor, Govinda, Juhi Chawla, Anupam Kher, Raveena Tandon","Romance, Comedy"
Dil Deewana Maane Na,Naresh Malhotra,"Govinda, Manisha Koirala",
Dil To Pagal Hai,Yash Chopra,"Shahrukh Khan, Karisma Kapoor, Madhuri Dixit, Akshay Kumar","Comedy, Drama, Romance"
Dhaal,Sameer Malkan,"Vinod Khanna, Sunil Shetty, Gautami",Action
Do Ankhen Barah Hath,Kirti Kumar,"Govinda, Madhuvanti",
Dus,Mukul S. Anand,"Sanjay Dutt, Salman Khan, Raveena Tandon, Shilpa Shetty",Action
Ek Phool Teen Kante,Anup Malik,"Vikas Bhalla, Monica Bedi",
Ghoonghat,,"Inder Kumar, Ayesha Jhulka",Romance
Ghulam-E-Mustafa,Partho Ghosh,"Nana Patekar, Raveena Tandon, Paresh Rawal","Action, Crime, Drama"
Gudia,"Gautam Ghose, Pran",,
Gudgudee,Basu Chatterjee,"Anupam Kher, Jugal Hansraj, Pratibha Sinha","Musical, Romance"
Gundagardi,,"Aditya Pancholi, Raj Babbar, Dharmendra",
Gupt: The Hidden Truth,Rajiv Rai,"Bobby Deol, Manisha Koirala, Kajol",Thriller
Hameshaa,Sanjay Gupta,"Aditya Pancholi, Saif Ali Khan, Kajol",Drama
Hero No. 1,David Dhawan,"Govinda, Karisma Kapoor",Comedy
Himalay Putra,Pankaj Parashar,"Vinod Khanna, Akshaye Khanna, Hema Malini, Anjala Zhaveri","Drama, Romance"
