Title,Director,Cast,Genre,Source
Maha Yatra,Goutam Ghose,"Shatrughan Sinha, Mohan Agashe, Kalyan Chatterjee, Vasant Choudhury","Drama, Thriller",
Majaal,K. Bapaiah,"Sadashiv Amrapurkar, Vikas Anand, Asrani",,
Mard Ki Zabaan,K. Bapaiah,"Dharmendra, Poonam Dhillon, Kimi Katkar, Jackie Shroff, Sushma Seth",,
Marte Dam Tak,Mehul Kumar,"Raaj Kumar, Govinda, Farha Naaz",,
Mera Karam Mera Dharam,Dulal Guha,"Dharmendra, Moushumi Chatterjee, Johnny Walker",,
Mera Lahoo,Veerendra,"Govinda, Kimi Katkar","Action, Crime, Drama",
Mera Suhag,Ajay Sharma,"Rati Agnihotri, Pankaj Dheer, Deepti Naval",,
Mera Yaar Mera Dushman,,"Ardhendu Bose, Mithun Chakraborty, Bindiya Goswami",Musical,
Mirch Masala,Ketan Mehta,"Ram Gopal Bajaj, Benjamin Gilani, Mohan Gokhale",Thriller,
Mohre,Raghuvir Kul,"Nana Patekar, Madhuri Dixit, Sadashiv Amrapurkar",,
Moti Veerana Chowk,Abbas-Mastan,,,
Mr. India,Shekhar Kapur,"Anil Kapoor, Sridevi, Amrish Puri","Action, Adventure, Comedy, Drama, SciFi, Musical, Fantasy",
Muqaddar Ka Faisla,Prakash Mehra,"Raaj Kumar, Rakhee Gulzar, Raj Babbar, Tina Munim, Meenakshi Sheshadri, Pran","Drama, Family",
Naam O Nishan,Ajay Kashyap,"Shashi Kapoor, Sanjay Dutt, Amrita Singh, Nirupa Roy","Action, Thriller",
Nafrat,,"Shoma Anand, Mazhar Khan",,
Nazrana,Ravi Tandon,"Rajesh Khanna, Sridevi, Priti Sapru",,
Param Dharam,Swaroop Kumar,"Mithun Chakraborty, Mandakini","Action, Crime, Drama",
Parivaar,Shashilal Nair,"Mithun Chakraborty, Meenakshi Sheshadri, Shakti Kapoor",,
Pratighaat,N. Chandra,"Nana Patekar, Sujata Mehta, Arvind Kumar, Charan Raj",Drama,
Pyaar Karke Dekho,D. Rajendra Babu,"Govinda, Mandakini, Kader Khan",Family,
Pyaar Ke Do Chaar Din,,Madhu Malhotra,,
Pyaar Ki Jeet,Saawan Kumar Tak,"Shashi Kapoor, Vinod Mehra, Rekha","Comedy, Drama, Musical",
Pyar Ke Kabil,Anil Ganguly,"Rishi Kapoor, Padmini Kolhapure, Asha Sachdev","Drama, Family, Romance",
Raahee,Raman Kumar,"Sanjeev Kumar, Shatrughan Sinha, Smita Patil","Action, Crime, Drama, Romance",
Raat Ke Andhere Mein,Vinod Talwar,"Javed Khan, Dipika, Mazhar Khan",,
Rajlakshmi,,"Farooq Shaikh, Sujata Mehta, Ashwini Bhave",,
Sadak Chhap,Anil Ganguly,"Jackie Shroff, Padmini Kolhapure, Richa Sharma","Crime, Drama",
Sansar,T. Rama Rao,"Rekha, Raj Babbar, Anupam Kher",,
Satyamev Jayate,Raj Sippy,"Vinod Khanna, Meenakshi Sheshadri, Madhavi",,
Sher Shivaji,Ram Narayan Gabale,"Parikshat Sahni, Smita Patil, Shreeram Lagoo",,
Sindoor,K. Ravi Shankar,"Shashi Kapoor, Govinda, Neelam",,
Sitapur Ki Geeta,Shibu Mittra,"Rajesh Khanna, Hema Malini, Pran","Action, Crime",
Superman,B. Gupta,"Dharmendra, Ranjeeta Kaur",SciFi,
Susman,Shyam Benegal,"Shabana Azmi, Om Puri, Kulbhushan Kharbanda",Drama,
Sutradhar,Chandrakant Joshi,"Girish Karnad, Smita Patil, Nilu Phule",Drama,
Thikana,Mahesh Bhatt,"Smita Patil, Anil Kapoor, Amrita Singh","Crime, Drama",
Uttar Dakshin,Prabhat Khanna,"Rajnikanth, Jackie Shroff, Bharathi, Madhuri Dixit",,
Vali-E-Azam,,Padma Khanna,,
Vishaal,Dinesh,"Bindiya Goswami, Kulbhushan Kharbanda, Vinod Mehra","Drama, Romance",
Waqt Ka Shahenshah,K. Bapaiah,"Sridevi, Krishna, Raogopalrao",Action,
Watan Ke Rakhwale,,"Sunil Dutt, Dharmendra, Mithun Chakraborty, Sridevi, Moushumi Chatterjee",,
Woh Din Aayega,Satyen Bose,"Ashok Kumar, Rajan Sippy, Raj Kiran",,
Yeh Woh Manzil To Nahin,Sudhir Mishra,"Manohar Singh, Habib Tanvir, B.M. Shah",Drama,
Zameen,Ramesh Sippy,,,
Zevar,Basu Chatterji,"Anupam Kher, Alok Nath, Ravi Baswani","Drama, Comedy, Family, Romance",
