Title,Director,Cast,Genre,Notes
7½ Phere,Ishaan Trvedi,"Juhi Chawla, Irfan Khan",Comedy,
99.9 FM (film),Sanjay Bhatia,"Shawar Ali, Raima Sen, Dipannita Sharma","Crime, Thriller",
Aashiq Banaya Aapne,,"Emraan Hashmi, Tanushree Dutta, Sonu Sood","Romance, Drama",
American Daylight,Roger Christian,"Nick Moran, Koel Purie, Vijay Raaz, Gulshan Grover","Comedy, Drama, Romance",
Anjaane,,"Manisha Koirala, Sanjay Kapoor",Thriller,
Antarmahal,,"Jackie Shroff, Soha Ali Khan, Abhishek Bachchan, Raima Sen","Drama, Romance",
Apaharan,,"Ajay Devgan, Bipasha Basu, Nana Patekar",Drama,
Bachke Rehna Re Baba,,"Rekha, Mallika Sherawat, Paresh Rawal, Karan Khanna, Satish Shah",Comedy,
Bad Friend,Aditya Om,"Meghna Naidu, Aditya Om, Shweta Menon",Thriller,
Barsaat,Suneel Darshan,"Bobby Deol, Bipasha Basu, Priyanka Chopra","Romance, Drama, Family",
Bewafaa,Dharmesh Darshan,"Akshay Kumar, Sushmita Sen, Kareena Kapoor, Shamita Shetty, Anil Kapoor, Manoj Bajpai",Drama,
Bhaggmati,Ashok Kaul,"Hema Malini Milind Soman, Tabu Ashok Kaul",Romance,
Bhola In Bollywood,Sumbul Gazi,"Ali Asgar, Siraj Khan, Avtar Gill, Raj Babbar",Comedy,
Black,Sanjay Leela Bhansali,"Amitabh Bachchan, Rani Mukerji",Drama,
Black Friday,,"Kay Kay Menon, Pavan Malhotra",Drama,
Blackmail,Anil Devgan,"Sunil Shetty, Ajay Devgan, Priyanka Chopra, Dia Mirza","Thriller, Drama",
Bluffmaster!,,"Abhishek Bachchan, Priyanka Chopra, Nana Patekar, Riteish Deshmukh, Boman Irani",Comedy,
Brides Wanted,,"Anuj Sawhney, Sarah-Jane Dias, Waheeda Rehman, Girish Karnad",Comedy,
Bullet Ek Dhamaka,,"Iqbal Khan, Asseem Merchant, Asad Sikandar, Saadhika",Action,
Bunty Aur Babli,Shaad Ali,"Amitabh Bachchan, Abhishek Bachchan, Rani Mukerji","Comedy, Crime",
Chaahat – Ek Nasha,Jai Prakash,"Manisha Koirala, Aryan Vaid, Preeti Jhangiani",Romance,
Chand Sa Roshan Chehra,,"Samir Aftab, Tamanna Bhatia",Romance,
Chausar,Sagar Sarhadi,,,
Chehraa,,"Bipasha Basu, Dino Morea, Preeti Jhangiani, Irrfan Khan",Thriller,
Chetna,,"Jatin Grewal, Payal Rohatgi, Navneet Kaur","Erotic, Drama",
Chocolate,Vivek Agnihotri,"Sunil Shetty, Anil Kapoor, Tanushree Dutta, Arshad Warsi, Emraan Hashmi, Irrfan Khan, Sushama Reddy","Action, Thriller, Suspense",
Chor Mandi,,"Mukul Dev, Razzak Khan, Shweta Keswani",Comedy,
Classic - Dance Of Love,Babbar Subhash,"Mithun Chakraborty, Meghna Naidu, Vikas Bhardwaj","Erotic, Thriller",
D,Ram Gopal Varma,"Randeep Hooda, Chunky Pandey, Isha Koppikar","Crime, Drama",
Dansh,,"Kay Kay Menon, Sonali Kulkarni",Drama,
Deewane Huye Paagal,Vikram Bhatt,"Akshay Kumar, Sunil Shetty, Shahid Kapoor, Rimi Sen","Romance, Comedy",
Dil Jo Bhi Kahey...,,"Amitabh Bachchan, Bhumika Chawla, Karan Sharma, Revathi","Family, Drama",
Dosti: Friends Forever,,"Akshay Kumar, Bobby Deol, Lara Dutta, Kareena Kapoor, Juhi Chawla","Drama, Romance",
Double Cross - Ek Dhoka,,"Sahil Khan, Negar Khan, Ayesha Jhulka",,
Dreams,,"Aashish Chanana, Neha Pendse, Arzoo Govitrikar, Manoj Bidwani",,
Dus,Nitin Manmohan,"Sunil Shetty, Sanjay Dutt, Shilpa Shetty, Esha Deol, Zayed Khan, Abhishek Bachchan, Dia Mirza, Raima Sen, Gulshan Grover","Action, Thriller",
Ek Ajnabee,Apoorva Lakhia,"Amitabh Bachchan, Arjun Rampal, Perizaad Zorabian",Thriller,
Ek Khiladi Ek Haseena,,"Fardeen Khan, Koena Mitra, Kay Kay Menon",Thriller,
Elaan,,"Arjun Rampal, Ameesha Patel, Mithun Chakraborty, John Abraham, Lara Dutta","Action, Drama",
Fareb,Deepak Tijori,"Shilpa Shetty, Manoj Bajpai, Shamita Shetty",Thriller,
Fun – Can Be Dangerous Sometimes,,"Aryan Vaid, Hina Rehman, Siddharth Koirala, Payal Rohatgi",Drama,
Garam Masala,Priyadarshan,"Akshay Kumar, John Abraham, Rimi Sen, Neha Dhupia",Comedy,
Hanuman,,,,
Hazaaron Khwaishein Aisi,Sudhir Mishra,"Shiney Ahuja, Chitrangada Singh, Kay Kay Menon",Drama,
Home Delivery,Sujoy Ghosh,"Vivek Oberoi, Mahima Chaudhry, Ayesha Takia",Comedy,
Hum Dum,Kushan Nandy,"Anjana Sukhani, Romit Raaj",Romance,
Insan,K. Subash,"Akshay Kumar, Ajay Devgan, Lara Dutta, Esha Deol, Tusshar Kapoor, Koena Mitra, Rahul Dev","Action, Thriller",
Iqbal,Nagesh Kukunur,"Shreyas Talpade, Naseeruddin Shah",Drama,
Jaane Hoga Kya,,"Bipasha Basu, Aftab Shivdasani, Rahul Dev, Preeti Jhangiani, Paresh Rawal","Suspense, Thriller",
Jackpot,,"Meghna Naidu, Himanshu Malik","Erotic, Crime",
Jai Chiranjeeva,K. Vijaya Bhaskar,"Arbaaz Khan, Sameera Reddy, Bhumika Chawla, Rahul Dev, Shriya Sharma",Drama,
Jalwa - Fun in Love,,"Kiran Janjani, Monalisa, Viraaj, Neha Bhatt",Romance,
James,,"Mohit Ahlawat, Nisha Kothari",Action,
Jo Bole So Nihaal,,"Sunny Deol, Kamaal Khan, Shillpi Sharma","Action, Comedy",
Jurm,Vikram Bhatt,"Bobby Deol, Milind Soman, Lara Dutta",Thriller,
Kaal,Soham Shah,"Ajay Devgan, Vivek Oberoi, John Abraham, Lara Dutta, Esha Deol","Horror, Thriller",
Kalyug,,"Kunal Khemu, Amrita Singh, Emraan Hashmi",Drama,
Karam,,"John Abraham, Priyanka Chopra, Shiney Ahuja",Thriller,
Kasak,,"Lucky Ali, Meera",,
Khamosh: Khauff Ki Raat,,"Shilpa Shetty, Juhi Chawla,",Thriller,
Kisna: The Warrior Poet,Subhash Ghai,"Vivek Oberoi, Isha Sharvani","Drama, Historical",
Koi Aap Sa,,"Aftab Shivdasani, Natassha, Himanshu Malik","Drama, Romance",
Koi Mere Dil Mein Hai,,"Priyanshu Chatterjee, Dia Mirza, Rakesh Bapat, Neha",,
Kuchh Meetha Ho Jaye,,"Arshad Warsi, Mahima Chaudhry, Shah Rukh Khan","Comedy, Drama, Romance",
Kyaa Kool Hai Hum,,"Tusshar Kapoor, Riteish Deshmukh, Isha Koppikar, Neha Dhupia",Comedy,
Kyon Ki,Priyadarshan,"Salman Khan, Kareena Kapoor, Rimi Sen, Jackie Shroff, Om Puri, Sunil Shetty","Drama, Romance",
Lucky: No Time for Love,"Radhika Rao
Vinay Sapru","Salman Khan, Mithun Chakraborty, Sneha Ullal",Romance,
Main Aisa Hi Hoon,,"Ajay Devgan, Sushmita Sen, Esha Deol",Drama,
"Main, Meri Patni Aur Woh",,"Rajpal Yadav, Rituparna Sen",,
Maine Gandhi Ko Nahin Mara,Jahnu Barua,"Urmila Matondkar, Anupam Kher",Drama,
Maine Pyaar Kyun Kiya?,,"Salman Khan, Sushmita Sen, Katrina Kaif, Sohail Khan, Arshad Warsi, Isha Koppikar",Comedy,
Mangal Pandey: The Rising,Ketan Mehta,"Aamir Khan, Rani Mukerji, Ameesha Patel, Toby Stephens","Drama, Historical",
Mashooka,Afzal Ahmed,"Aditya Bal, Meghna Naidu",Thriller,
Mazaa Mazaa,,"Payal Rohatgi, Farid Amiri, Shivani Singh, Pankaj Beri",,
Men Not Allowed,Shrey Srivastav,"Payal Rohatgi, Tarun Arora",Romance,
Mohabbat Ho Gayi Hai Tumse,,"Sanjay Dutt, Shamita Shetty, Chandrachur Singh",,
Morning Raga,,"Shabana Azmi, Perizaad Zorabian",,
Mr Ya Miss,,"Antara Mali, Aftab Shivdasani, Riteish Deshmukh",Comedy,
Mr. Prime Minister,Dev Anand,"Dev Anand, Prem Chopra, Milind Gunaji, A.K. Hangal",Drama,
Mumbai Xpress,Singeetam Srinivasa Rao,"Kamal Haasan, Manisha Koirala, Om Puri, Vijay Raaz",,
Mumbai Godfather,,"Seema Biswas, Vikram Singh",Drama,
My Brother…Nikhil,,"Juhi Chawla, Sanjay Suri",Drama,
My Wife's Murder,Jijy Philip,"Anil Kapoor, Suchitra Krishnamoorthi, Nandana Sen, Boman Irani","Drama, Thriller",
Naina,,Urmila Matondkar,Horror,
Neal 'n' Nikki,Arjun Sablok,"Uday Chopra, Tanisha, Abhishek Bachchan","Comedy, Romance",
