Title,Director,Cast,Genre
Saaz,Sai Paranjpye,"Shabana Azmi, Zakir Hussain, Aruna Irani",Drama
Saazish,Sudhir R. Nair,"Mithun Chakraborty, Pooja Batra",Action
Salaakhen,Guddu Dhanoa,"Sunny Deol, Raveena Tandon, Amrish Puri",Action
Sar Utha Ke Jiyo,Sikander Bharti,"Naseeruddin Shah, Madhoo, Manek Bedi","Action, Romance"
Satya,Ram Gopal Varma,"J. D. Chakravarthy, Urmila Matondkar, Manoj Bajpai",Action
Sham Ghansham,Ashok Ghai,"Raakhee, Chandrachur Singh, Arbaaz Khan",Drama
Sher Khan,Ambrish Sangal,"Rita Bhaduri, Dharmendra",
Soldier,Abbas-Mustan,"Bobby Deol, Preity Zinta","Romance, Action, Thriller"
Tirchhi Topiwale,Nadeem Khan,"Inder Kumar, Chunky Pandey, Monica Bedi","Comedy, Drama"
Train to Pakistan,Pamela Rooks,"Nirmal Pandey, Rajit Kapur, Divya Dutta","Drama, War"
Ustadon Ke Ustad,T L V Prasad,"Mithun Chakraborty, Jackie Shroff, Madhoo",
Vinashak - Destroyer,Ravi Deewan,"Sunil Shetty, Raveena Tandon",Action
Wajood,N. Chandra,"Madhuri Dixit, Nana Patekar",Drama
Yamraaj,Rajiv Babbar,"Mithun Chakraborty, Jackie Shroff, Sneha, Mink Singh",
Yugpurush,Partho Ghosh,"Nana Patekar, Jackie Shroff, Manisha Koirala",Drama
Zakhm,Mahesh Bhatt,"Ajay Devgan, Sonali Bendre, Pooja Bhatt, Akkineni Nagarjuna",
Zanjeer,Yusuf Bhat,"Aditya Pancholi, Sakshi Shivanand, Monica Bedi, Shakti Kapoor, Satish Kaul",Action
Zor,Sangeeth Sivan,"Sunny Deol, Sushmita Sen","Action, Crime, Drama"
Zulm-O-Sitam,K. C. Bokadia,"Mahesh Anand, Vikas Anand, Kishore Anand Bhanushali",Action
