Title,Director,Cast,Genre,Notes
6.40 PM,,,,
Aag,,,,
Aamne Samne,Suraj Prakesh,"Shashi Kapoor, Sharmila Tagore, Prem Chopra",Musical,
Aman,,Rajendra Kumar,"War, Social",
An Evening in Paris,,"Shammi Kapoor, Sharmila Tagore, Pran",,
Anita,,"Manoj Kumar, Sadhana, I.S. Johar",Suspense,
Around the World,,"Raj Kapoor, Rajshree, Pran",,
Aurat,,Pran,,
Badrinath Yatra,,,,
Baghdad Ki Raatein,,,,
Baharon Ke Sapne,"Nasir Hussain ,Asha Parekh,Rajesh Khanna",,,
Bahu Begum,M. Sadiq,"Pradeep Kumar, Meena Kumari, Ashok Kumar",Drama,
Bhakta Prahlada,,,,
Boond Jo Ban Gayee Moti,V. Shantaram,"Jeetendra, Mumtaz, Nana Palsikar, Lalita Pawar, Akash Deep and Vaishali","Social, Crime, Drama","Music: Satish Bhatia
Lyrics: Bharat Vyas"
C.I.D. 909,,,,
Chand Par Chadayee,,,,
Chandan Ka Palna,,Dharmendra Meena Kumari,,
Chhaila Babu,,,,
Chhotisi Mulaqat,,"Vyyjayantimala,Uttam Kumar",,
Dharti Ki Pukar,,,,
Dil Ne Pukara,,,,
Dilruba,,,,
Diwana,,"Raj Kapoor,Saira Banu",,
Do Dushman,,,,
Dulhan Ek Raat Ki,,"Dharmendra ,Nutan,Rehman",,
Duniya Nachegi,,,,
Farz,Ravikant Nagaich,"Jeetendra,Babita",,
Gautama the Buddha,,,,
Ghar Ka Chirag,,Dharmendra,,
Gunahon Ka Devta,,"Rajshree Shantaram,Jeetendra,leela Chitnis",,
Gunehgar,,,,
Hamare Gam Se Mat Khelo,,,,
Hamraaz,B.R. Chopra,"Sunil Dutt, Raaj Kumar, Vimi","Musical, Suspense",
Hare Kanch Ki Chooriyan,,,,
Hatey Bazarey,,,,
Hum Do Daku,,,,
Jaal,,"Mala Sinha, Biswajeet Chaterjee",,
Jab Yaad Kisi Ki Aati Hai,,"Dharmendra, Mala Sinha",,
Jewel Thief,Vijay Anand,"Dev Anand, Vaijayantimala",,
Johar in Bombay,,,,
Lamboo in Hong Kong,,,,
Latt Saheb,,"Shammi Kapoor, Nutan",,
Lav-Kush,,,,
Majhli Didi,,"Dharmendra ,Meena Kumari",,
Maya Sundari,,,,
Mehrban,,"Nutan,Sunil Dutt,Ashok Kumar",,
Mera Bhai Mera Dushman,,,,
Mera Munna,,,,
Milan,,"Sunil Dutt, Nutan, Om Prakash, Pran",,
Milan Ki Raat,,,,
Nai Roshni,,"Mala Sinha,Biswajeet,Ashok Kumar,Tanuja",,
Naunihaal,,,,
Nawab Siraz-ud-Daula,,,,
Naya Raasta,,,,
Night in London,,"Mala Sinha , Biswajeet Chaterjee",,
Noorjehan,,,,
Palki,,"Waheeda Rehman,Rajendra Kumar",,
Patthar Ke Sanam,,"Manoj Kumar, Waheeda Rehman, Mumtaz, Pran",,
Raat Aur Din,,"Nargis Dutt,Pradeep Kumar",,
Raaz,,"Rajesh Khanna, Babita",,
Ram Aur Shyam,,"Dilip Kumar, Waheeda Rehman, Mumtaz, Pran",,
Ram Rajya,Vijay Bhatt,"Bina Rai, Kumar Sen, Badri Prasad, Kanhaiyalal, Farida Jalal, Anil Kumar, Jay Vijay",Religious,"Music: Vasant Desai
Lyrics: Bharat Vyas"
Sardar,,,,
Shagird,,"Joy Mukherjee,Saira Bano",,
Shamsher,,,,
Taqdeer,,,,
Upkar,Manoj Kumar,"Manoj Kumar, Asha Parekh, Prem Chopra, Pran, Madan Puri, Kanhaiya Lal",Social,
Wahan Ke Log,,,,
Woh Koi Aur Hoga,,,,
