Title,Director,Cast,Genre,Notes
Aalha Udal,Jaswant Jhaveri,"P. Jairaj, Nirupa Roy, Sabita Chatterjee, Dilip Raj, Jeevan, Sapru, Ishwarlal","Historical, Fiction, Fantasy","Music: Jamal Sen
Lyrics: Pandit Indra"
Aankh Micholi,Ravindra Dave,"Shekhar, Mala Sinha, Jeevan, S. Nasir, Leela Mishra, Jagdish Raj, Naazi",Crime Thriller,"Music: Chitragupta
Lyrics: Majrooh Sultanpuri"
Aarti,Phani Mazumdar,"Ashok Kumar, Meena Kumari, Pradeep Kumar, Shashikala, Rajendranath, Peace Kanwal, Ramesh Deo, Chandrima Bhaduri, Keshto Mukherjee","Family, Drama","Produced: Tarachand Barjatya. Music: Roshan
Lyrics: Majrooh Sultanpuri"
Aashiq,Hrishikesh Mukherjee,"Raj Kapoor, Nanda, Padmini, Keshto Mukherjee and Leela Chitnis","Musical, Melodrama","Music: Shankar Jaikishan
Lyrics: Hasrat Jaipuri, Shailendra"
Anpadh,,"Dharmendra, Mala Sinha, Balraj Sahni, Bindu, Shashikala, Aruna Irani, Dhumal, Nazir Hussain","Social, Family, Drama","Music: Madan Mohan
Lyrics: Raja Mehdi Ali Khan"
Apna Banake Dekho,Jagdish Nirula,"Manoj Kumar, Asha Parekh, Sajjan, Sunder, Nazir Hussain, Mohan Choti",Romance,"Music: Ravi
Lyrics: Asad Bhopali, S. H. Bihari"
Asli-Naqli,Hrishikesh Mukherjee,"Dev Anand, Sadhana, Anwar Hussain, Leela Chitnis, Sandhya Roy and Keshto Mukherjee","Romance, Drama","Music: Shankar Jaikishan
Lyrics: Shailendra"
Baaje Ghungroo,Shivraj Shrivastav,"Manhar Desai, Nalini Chonkar, Sheela Kashmiri, Leela Mishra, Nazir Kashmiri, Jagdish Kanwal","Fantasy, Drama","Music: Dhaniram
Lyrics: Raja Mehdi Ali Khan, Shivraj Shrivastav, Madan Mohan"
Baat Ek Raat Ki,Shankar Mukherjee,"Dev Anand, Waheeda Rehman, Chandrashekhar, Johnny Walker, Sabita Chatterjee, Asit Sen, Ulhas, Jagdish Sethi","Romance, Thriller","Music: S. D. Burman
Lyrics: Majrooh Sultanpuri"
Baghdad Ki Raaten,Nanabhai Bhatt,"Mahipal, Shakila, Bhagwan, Ishwarlal, Leela Mishra, Ratanmala","Action, Fantasy","Music: Dilip Dholakia
Lyrics: Prem Dhawan"
