"Title","Director","Cast","Genre",
"15 August","Vicky Ranawat","Prem Chopra, Tisca Chopra, Saeed Jaffrey","",
"Aadmi","Arshad Khan","Mithun Chakraborty, Gauthami","Action, Crime, Drama, Romance",
"Aadmi Khilona Hai","J. Om Prakash","Jeetendra, Reena Roy, Govinda, Meenakshi Sheshadri","Drama, Romance",
"Aag Ka Toofan","Kanti Mehta","Shashi Kapoor, Dharmendra, Farheen","",
"Aaina","Deepak Sareen","Jackie Shroff, Juhi Chawla, Amrita Singh","Romance",
"Aaja Meri Jaan","Ketan Anand","Krishna Kumar, Tanya Singh, Shammi Kapoor, Pran","Romance",
"Aakhri Chetawani","Deva Dutta","Sadashiv Amrapurkar, Raj Babbar, Shakti Kapoor","",
"Aandha Intaquam","Swaroop Kumar","Siddharth, Shanti Priya, Ronit Roy","Action",
"Aankhen","David Dhawan","Govinda, Chunky Pandey, Ritu Shiv Puri","Comedy",
"Aashiq Awara","Umesh Mehra","Saif Ali Khan, Mamta Kulkarni","Romance",
"Aasoo Bane Angaarey","Mehul Kumar","Bindu, Jeetendra, Madhuri Dixit","Drama",
"Anari","K. Muralimohana Rao","Karisma Kapoor, Daggubati Venkatesh","",
"Andha Insaaf","","Divya Bharti","",
"Anmol","Ketan Desai","Rishi Kapoor, Manisha Koirala","",
"Anth","Sanjay Khanna","Sunil Shetty, Somy Ali, Paresh Rawal","Action",
"Antim Nyay","Sukhwant Dhadda","Arun Bakshi, C.S. Dubey, Sundeep Kashyap","",
"Ashaant","Kavita Ramsay","Akshay Kumar, Mamta Kulkarni","",
"Aulad Ke Dushman","Rajkumar Kohli","Raj Babbar, Ayesha Jhulka","Drama",
"Baaghi Sultana","R. Thakur","Puneet Issar, Shakti Kapoor, Arif Khan","",
"Baazigar","Abbas-Mustan","Shah Rukh Khan, Kajol, Shilpa Shetty","Thriller",
"Badi Bahen","Kalpataru","Asrani, Raj Babbar, Chandrashekhar","",
"Balmaa","Lawrence D'Souza","Saeed Jaffrey, Ayesha Jhulka, Anjana Mumtaz","Romance",
