Title,Director,Cast,Genre,Notes
Adarsh Mahila,,"Bashir, Leela Desai, Noorjahan, Tara, Khalil, Aftab, Quiser, Mirza",Social,"Ideal Films. Music:
Lyrics:"
Aflatoon,Pesi Karani,"Rose, Khalil",Action,"Tollywood Studio. Music: Brijlal Varma
Lyrics:"
Anath Ashram,Hemchandar Chunder,"Uma Sashi, Najmul Hussain, Prithviraj Kapoor, Trilok Kapoor, Jagdish Sethi, Nawab, Nemo, Manorama Sr., Devbala, Kalyani Das","Social, Family, Drama","New Theatres Music: R. C. Boral
Lyrics: Kidar Sharma"
Asiai Sitara,Haribhai Desai,"Master Vithal, Jenabai Pawar, Vasantrao Pehalwan, Dhulia, Krishnaswamy, Veena Devi, Minoo the Mystic, Ibrahim",Action,"Music: Master Mohammed
Lyrics: Pandit Anuj"
Atma Tarang,F. R. Irani,"Sohrab Modi, Prabha Devi, E. Tarapore, Firoz Dastur, Vasant Pahelwan, Gulzar, S. L. Puri",Social,"Sunrise Pictures Music: Habib Khan
.Lyrics:"
Aurat Ki Zindagi,F. R. Irani,"Jal Merchant, Zubeida, Rashid, Agha Jani, Mustafa",Social,"Sunrise Pictures. Music: S. P. Rame, C. Solanki
Lyrics: Munshi Salim"
Badhe Chalo,Mohan Sinha,"Radharani, Sarla, Jeevan, Fakir Chand, Badri Prasad, O. K. Dar, Ratanlal Khanjar",Social,"Manmohan Pictures. Music: Badri Prasad
Lyrics:"
Banke Sipahi,R. N. Vaidya,"Bulbule, Manchi Tuthi, Shahjahan, Samson, Baburao, Kesari","Costume, Action","Vaidya Productions. Music: Ghulam Mohammed
Lyrics: Munshi Rabil"
Begunah,Gajanan Jagirdar,"Shahu Modak, Sitara Devi, Baburao Pendharkar, Rajani, Altekar, Panna",Social,"Hans Pictures. Music: B. S. Hoogan
Lyrics: Pandit Indra"
Bharat Ka Jiwan,M. D. Shah,"Ghulam Hussain, Miss Pokhraj, Nurjahan, S. Alam, Putlibai, Patehsingh",Action,"Vishwapati. Music: Chimanlal Shah
Lyrics:"
Bismil Ki Arzoo,B. S. Hijle,"Sardar Akhtar, Ramola, Rafi Ahmed, Mirza, Tarabai",Action,"U. P. Cinetone. Music:
Lyrics:"
Bulldog,Dwarka Khosla,"Yusuf Effendi, Indubala, Gope, Ashalata, Ramlal, Devaskar, Kashmiri",Action,"Daryani Production. Music: Anil Biswas
Lyrics: G. S. Akhtar"
Calcutta After Midnight,A. R. Kabuli,"Ramola, Brijrani, Shiraz, Sitara Devi, Ghulam Qadir, Sher Ali, Zohra Sehgal, A. R. Kabuli","Suspense, Drama","Prince Movies. Music: A. R. Kabuli
Lyrics:"
Capt. Kirti Kumar,C. M. Luhar,"Motilal, Bibbo, Yakub, Krishna Kumari, V. H. Desai, Bhudo Advani Ram Marathe, Sankatha Prasad, Pesi Patel",Action,"Sagar Pictures. Music: Bhaskar Rao
Lyrics:"
Chabuk Sawar,M. Udwadia,"Gohar Karnataki, Amritlal Nagar, Brijmala, Vijay Kumar, Bhim, Nurjahan, Sheelprabha, P. R. Joshi",Action,"Jay Bharat. Music: Gohar Karnataki
Lyrics: Gauri Shankarlal Akhtar"
Challenge,Balwant Bhatt,"Lalita Pawar, Jayant, Rajkumari, Shirin, Lallubhai, Gulab, Jahangir, M. Zahur, Ismail",Action,"Prakash Pictures. Music: Lallubhai Nayak
Lyrics: Pandit Anuj"
Chevrolet 1936,G. P. Pawar,"Lalita Pawar, Madhav Kale, Bhagwan, Varne, B. Sohni, V. Mehta",Action,"Purnima Pictures. Music: K. Yagnik
Lyrics:"
Danger Signal,K. Amarnath,"Kumar, Nazir, Lalita, Masiah, Takle",Action,"Mohan Pictures. Music: Annasaheb Mainkar
Lyrics:"
Daulat,S. M. Yusuf,"Harishchandra, Chandrarao Kadam, Mehar Sultana, Shah Nawaz, Usha Rani, Khatoon, Agha, Brijmala, S. M. Sadiq, Usha Rani",Social,"Harishchandra Art Production. Music: Mukherji
Lyrics: Wahid Qureshi"
