Title,Genre,Director,Cast,Source
Table No. 21,"Thriller, Drama",Aditya Datt,"Paresh Rawal, Rajeev Khandelwal, Tena Desae",[4]
Dehraadun Diary,Thriller,Milind Ukey,"Adhyayan Suman, Rohit Bakshi (actor), Ragini Nandwani, Ashwini Kalsekar, Rati Agnihotri",[5]
Meri Shadi Karao,Comedy,Syed Noor,Gurdeep Singh Mehndi,[6]
Matru Ki Bijlee Ka Mandola,Comedy,Vishal Bhardwaj,"Imran Khan, Anushka Sharma, Pankaj Kapur",[7]
Pyaar Mein Aisa Hota Hai,Thriller,Rajeesh Kumar,"Mohd Nazim, Aanamika Bawa, Rohit Rajawat, Aayushi Sharma",[8]
Gangoobai,Drama,Priya Krishnaswamy,"Sarita Joshi, Purab Kohli, Mita Vasisht",[9]
Inkaar,"Romance, Crime",Sudhir Mishra,"Arjun Rampal, Chitrangada Singh, Gaurav Dwivedi",[10]
Mumbai Mirror,Action,Ankush Bhatt,"Sachiin Joshi, Gihana Khan, Prakash Raj",[11]
Bandook,Crime,Aditya Om,"Aditya Om, Manisha Kelkar, Arshad Khan",[12]
Race 2,"Action, Thriller",Abbas-Mustan,"Saif Ali Khan, Deepika Padukone, John Abraham, Jacqueline Fernandez, Anil Kapoor, Ameesha Patel",[13]
Akaash Vani,Romance,Luv Ranjan,"Kartik Tiwari, Nushrat Bharucha",[14]
Main Krishna Hoon,"Animation, Musical",Rajiv S. Ruia,"Hrithik Roshan, Juhi Chawla, Rajneesh Duggal, Misti Mukherjee, Katrina Kaif",[15]
David,Crime,Bejoy Nambiar,"Vikram, Lara Dutta, Vinay Virmani, Neil Nitin Mukesh, Tabu",[16]
Vishwaroop,Action,Kamal Hassan,"Kamal Hassan, Pooja Kumar, Shekhar Kapur, Andrea Jeremiah, Rahul Bose",[17]
Mai...,"Drama, Family",Mahesh Kodiyal,"Asha Bhosle, Ram Kapoor, Padmini Kolhapure",[18]
Listen... Amaya,Drama,Avinash Kumar Singh,"Farooq Sheikh, Deepti Naval, Swara Bhaskar",[19]
Special 26,"Drama, Comedy",Neeraj Pandey,"Akshay Kumar, Kajal Aggarwal, Manoj Bajpayee, Anupam Kher, Jimmy Shergill[20]",
The Unsound,Thriller,Alok Shrivastava,"Shadaab Khan, Anurita Jha[21]",
Jayantabhai Ki Luv Story,"Comedy, Romance",Vinnil Markan,"Vivek Oberoi, Neha Sharma[22]",
Murder 3,Thriller,Vishesh Bhatt,"Randeep Hooda, Aditi Rao Hydari, Mona Lizza",[23]
Kai Po Che!,Drama,Abhishek Kapoor,"Amit Sadh, Sushant Singh Rajput, Rajkummar Rao, Amrita Puri",[24]
Zilla Ghaziabad,Action,Anand Kumar,"Arshad Warsi, Vivek Oberoi, Harsh Raj Gond, Sanjay Dutt, Minissha Lamba, Ravi Kishan, Paresh Rawal",[25]
"I, Me, aur Main","Romance, Comedy",Kapil Sharma,"John Abraham, Prachi Desai, Chitrangda Singh",[26]
Bloody Isshq,"Romance, Thriller",Arup Dutta,"Akash Singh, Shilpa Anand, Tripta Parashar",[27]
"Saheb, Biwi Aur Gangster Returns","Drama, Thriller",Tigmanshu Dhulia,"Jimmy Shergill, Mahie Gill, Irrfan Khan, Soha Ali Khan",[28]
Saare Jahaan Se Mehnga,"Satire, Comedy",Anshul Sharma,"Sanjai Mishra, Ranjan Chhabra, Disha Pandey, Vishwa Mohan Badola, Pramod Pathak, Zakir Hussain",[29]
3G,Thriller,Shantanu & Sheershak,"Neil Nitin Mukesh, Sonal Chauhan",[30]
Mere Dad Ki Maruti,Comedy,Ashima Chibber,"Saqib Saleem, Ram Kapoor, Rhea Chakraborty, Prabal Panjabi",[31]
Jolly LLB,"Comedy, Satire",Subash Kapoor,"Arshad Warsi, Amrita Rao, Boman Irani, Saurabh Shukla",[32]
Rangrezz,Action,Priyadarshan,"Jackky Bhagnani, Priya Anand, Rajpal Yadav, Evelyn Sharma",[33]
Himmatwala,"Action, Comedy",Sajid Khan,"Ajay Devgan, Tamannaah, Mahesh Manjrekar, Riteish Deshmukh",[34]
Chashme Baddoor,Comedy,David Dhawan,"Ali Zafar, Siddharth, Taapsee Pannu, Divyendu Sharma[35]",
Nautanki Saala,"Comedy, Romance",Rohan Sippy,"Ayushmann Khurrana, Kunaal Roy Kapur, Pooja Salvi, Evelyn Sharma[36]",
Commando-A One Man Army,"Action, Romance",Dilip Ghosh,"Vidyut Jamwal, Pooja Chopra, Jaideep Ahlawat[37]",
Ek Thi Daayan,Horror,Kannan Iyer,"Emraan Hashmi, Huma Qureshi, Konkona Sen Sharma, Kalki Koechlin[38]",
Aashiqui 2,"Musical, Romance",Mohit Suri,"Aditya Roy Kapur, Shraddha Kapoor, Shaad Randhawa[39]",
Shree,Thriller,Rajesh Bachchani,"Hussain Kuwajerwala, Paresh Ganatra, Anjali Patil[40]",
Shootout at Wadala,"Crime, Thriller",Sanjay Gupta,"John Abraham, Anil Kapoor, Ronit Roy, Manoj Bajpayee, Kangana Ranaut, Sonu Sood, Tushar Kapoor, Mahesh Manjrekar, Priyanka Chopra, Sunny Leone, Karan Patel, Jackie Shroff, Raju Kher[41]",
Bombay Talkies,Anthology,"Anurag Kashyap, Karan Johar, Zoya Akhtar, Dibakar Banerjee","tanmay pant, Rani Mukerji, Nawazuddin Siddiqui, Randeep Hooda, Saqib Saleem, Sadashiv Amrapurkar, Katrina Kaif[42]",
Chhota Bheem And The Throne of Bali,"Children, Animation",Rajiv Chilaka,"Chhota Bheem, Raju, Chutki, arjun[43]",
Go Goa Gone,"Zombie, Comedy","Raj Nidimoru, Krishna D.K.","Saif Ali Khan, Kunal Khemu, Vir Das, Puja Gupta[44]",
Gippi,,Sonam Nair,"Riya Vij, Divya Dutta, Taaha Shah[45]",
Aurangzeb,"Drama, Action",Atul Sabharwal,"Arjun Kapoor, Prithviraj Sukumaran, Jackie Shroff, Rishi Kapoor, Sasha Agha[46]",
