Title,Director,Cast,Genre,Notes
Abhagin,Prafulla Roy,"Vijay Kumar,Molina, Prithviraj Kapoor, Kamla Jharia, Chaman Puri, Pankaj Mullick, Nemo, Bikram Kapoor, Devbala, Trilok Kapoor, Rajlakshmi",Social,"New Theatres. Music: R. C. Boral
Lyrics: Arzu Lucknavi, Rashid Gorakhpuri"
Adhikar,P. C. Barua,"P. C. Barua, Pahari Sanyal, Jamuna, Menaka Devi, Molina Devi, Rajlakshmi, Sailen Choudhary, Indubala, Pankaj Mullick, Chitralekha, Jagdish Sethi, Bikram Kapoor","Social, Romance, Drama","New Theatres. Music: Timir Baran
Lyrics: Arzu Lucknavi"
Alauddin Aur Jadui Chirag a.k.a. Alladin And The Wonderful Lamp,Nanubhai Vakil,"Navinchandra, Bansi Karnataki, Moti, G. Kadar, Sundari, Moosa, Sardar Mansur, Pokhraj","Fantasy, Action","Indian Liberty. Music: Damodar Sharma
Lyrics: N. C. Pande, Akhtar, D. N. Madhok"
Asha,"Perry Devia, Ranjit Sen","Vijay Kumar, Kamlesh Kumari, Poorna Choudhary, Kamran, Natwar, Tulsi Lahiri, R. P. Kapoor, Dev Bala",Social,"Film Corporation of India. Music: Bikram Choudhary
Lyrics: L. Meghani"
Baghban,Abdul Rashid Kardar,"Bimla Kumari, Sitara Devi, Nazir, Yasmin, B. Nandrekar, Ashraf Khan, K. N. Singh, Putlibai, Mirza Musharraf, Wasti, Lala Yaqub","Social, Drama","General Films. Music:
Lyrics: : Mushtaq Hussain
Lyrics: Mirza Musharraf"
Bahadur Kisan,"Bhagwan, Chandrarao Kadam","Hansa Wadkar, Bhagwan, Indira Wadkar, Chandrarao, Vasantrao Phalwan, Sunetra, Varne, Devraj",Social,"Chandra Art. Music: Mir Sahib
Lyrics: Ehsan Rizvi"
Ban Ki Chidiya,Jayant Desai,"E. Billimoria, Madhuri, Ishwarlal, Charlie, Ghory, Apte, Kesari",Action,"Ranjit Studios. Music: Gyan Dutt
Lyrics: Pyare Lal Santoshi"
Banke Sawariya,Nanubhai Vakil,"Navinchandra, Vatsala Kumtekar, Sardar Mansur, Yasmin, Maruti Rao, Mirajkar","Action, Romance","Indian Liberty Pictures. Music: Damodar Sharma
Lyrics:"
Bazigar,Manibhai Vyas,"Trilok Kapoor, Khatoon, Ila Devi, Charlie, Suresh, Anees Baig",Action,"Ranjit Pictures. Music: Gyan Dutt
Lyrics: Pyare Lal Santoshi"
Bhabhi,Franz Osten,"P. Jairaj, Renuka Devi, Maya Devi, P. F. Pithawala, V. H. Desai, Rama Shukul, M. Nazir, Ranibala, Lalita Devulkar, Saroj Borkar, Agha Jani Kashmiri","Social, Family, Drama","Bombay Talkies. Music: Saraswati Devi
Lyrics: J. S. Kashyap, Mira Bai"
Bhedi Burkha,A. H. Essa,"Ganpat Bhalerao, Bansi Karnataki, Ghulam Qadir, Bose, Mirajkar, Roshan, Faiman, Ali","Action, Suspense","Indian Liberty Pics. Music: Damodar Sharma
Lyrics:"
Bhedi Trishul,A. M. Khan,"Shiraz, Zohra, Ata Mohammed, Ameena, Khatoon, Kamala, Ansari, Haroon",Action,"Mohan Pictures. Music: Mushtaq Hussain
Lyrics: Munshi Nayab"
Billi a.k.a. The Cat,Jayant Desai,"E. Billimoria, Sunita, Ila Devi, Ishwarlal, Ram Apte, Mazhar, Ghory, Kalyani Das",Action,"Ranjit Pictures. Music: Gyan Dutt
Lyrics: Pyare Lal Santoshi"
Brahmachari,Master Vinayak,"Minakshi, Vinayak, Damuanna Malvankar, V. G. Jog, Salvi",Social,"Huns Pictures. Music: Chandekar
Lyrics: Pandit Indra"
Chabukwali,A. M. Khan,"Shiraz, Romila, Hirabai, Sultan, Garib Shah, F. M. Khan, Haroon, S. Rafiq, Kamla, S. S. Koko",Action,"Mohan Pictures. Music: A. C. Vishwas
Lyrics: Munshi Nayab"
Chhote Sarkar,Homi Master,"Jal Merchant, Leela Chitnis, Mehar Sultana, Keki Adjania, Rewashankar, Jamshedji, Rajkumari, Aziz, Heera",Social,"Sunder Movies. Music: Shanti Kumar Desai
Lyrics: Pandit Indra"
Cyclewali,A. M. Khan,"Benjamin, Ramola, Khatoon, Shiraz, Ansari, Ameena, Haroon, S. Alam",Action,"Mohan Pictures Music: Bashir, Krishna Swamy
Lyrics: A. M. Khan"
Devbala,Baburao Apte,"Benjamin, Mehtab, Rajkumari, Amritlal, Tara, Gulab, Khatoon, Ghulam Hussain, Abdul Rahman Kabuli",Costume,"JayaBharat. Music: Shanti Kumar Desai
Lyrics: A. R. Kabuli"
Dharti Mata,Nitin Bose,"K. L. Saigal, Uma Shashi, Kamlesh Kumari, K. C. Dey, Jagdish Sethi, Nemo, Bikram Kapoor, Nawab, Siraj, Vaid, Sham Laha and Iliyas",Social,"New Theatres. Music: Pankaj Mullick
Lyrics: Pandit Sudarshan"
Dhruv Kumar,K. P. Bhave,"Indira Wadkar, Raja Paranjpe, Kumar Prabhakar, Rohini, Manohar","Mythology, Devotional","Shalini Cine Music: Vishwanath Buwa Jadhav
Lyrics: S. K. Prem"
Double Cross,M. D. Bhavnani,"Bimla Kumari, Dilawar, Master Hussain, Nayampalli, David, Ameena, Fatty Prasad, A. S. Gyani, Rai Mohan",Social,"Bhavnani Productions. Music: Badri Prasad
Lyrics:"
Dulhan,Premankur Atorthy,"Rattan Bai, Ghulam Mohammed, W. M. Khan, Jilloobai",Social,"Imperial Film Company. Music: Ram Gopal Pande
Lyrics:"
Duniya Kya Hai,G. P. Pawar,"Lalita Pawar, Madhav Kale, Indira Wadkar, Begum Fatima, Ghanshyam, Bipin Mehta, Varne",Social,"Diamond Pictures. Music: Annasahib Mainkar, Kikubhai Yagnik
Lyrics: Munshi Aziz"
Dynamite,C. M. Luhar,"Surendra, Bibbo, Yakub, Maya Bannerji, Kayam Ali, Sankatha Prasad, Jamu Patel, Pande, Bhudo Advani",Action,"Sagar Movietone. Music: Anil Biswa
Lyrics: Zia Sarhadi"
Fashionable Wife,Dhirubhai Desai,"Anil Kumar, Suvarna, Urmila, S. Nazir, Chandrika, Samson, Mehar Sultana",Social,"Vishnu Cine. Music: Kikubhai Yagnik
Lyrics:"
Ghunghatwali,Kanjibhai. J. Rathod,"Prem Adib, Rajkumari, Ansuya, Vidya, Charlie, Fazlu, Haridas",Action,"Vishwa Kala. Music: Shanti Kumar Desai
Lyrics: Pandit Amar"
Gopal Krishna,"V. G. Damle, Sheikh Fattelal","Shanta Apte, Ram Marathe, Parshuram, Ulhas, Sophia, Ganpat Rao, Karuna Devi, Haribau, Prahlad",Religious,"Prabhat Film Company Music: Master Krishnarao
Lyrics: Pandit Anuj"
Gorakh Aya,Chaturbhuj Doshi,"Trilok Kapoor, Rajkumari, Mazhar, Kalyani Das, Ram Apte, Sarla, Bhagwandas, Ila Devi",Devotional,"Ranjit Pictures. Music: Gyan Dutt
Lyrics: Pyare Lal Santoshi"
Gramophone Singer,"Chimanlal Desai, Ramchandra Thakur","Surendra, Bibbo, Prabha Devi, Sankatha Prasad, Bhudo Advani, Kayam Ali, Pesi Patel, Sawant, Kanhaiyalal, Gulzar",,"Sagar Movietone. Music:
Lyrics: Pandit Sudarshan"
Himalay Ki Beti,M. D. Bhavnani,"Enakshi Rama Rao, Maya Chatterji, S. L. Puri, Ramanand Sharma, David, Badri Prasad, Rai Mohan, Gyani",Costume,"Bhavnani Productions. Music: Badri Prasad
Lyrics: Narottam Vyas"
Hum Tum Aur Woh,Mehboob Khan,"Motilal, Rose, Yakub, Harish, Maya, Bhudo Advani, Sankatha Prasad, Sunalini Devi, Pande",,"Sagar Movietone. Music:Anil Biswas
Lyrics: Wajahat Mirza, Zia Sarhadi"
Impossible,R. N. Vaidya,"Protima Das Gupta, Baburao Pahelwan, Nazir Begum, Shahjahan, Sunder, V. K. Das, Sunderlal",Action,"Indira Movies. Music: Prem Kumar
Lyrics:"
Industrial India,Mohan Sinha,"Shobhana Samarth, Prem Adib, Wasti, Shama Devi, K. N. Singh, Mirza Musharraf",Social,"General Films. Music: Mushtaq Hussain
Lyrics: Mohan Sinha"
Jailor,Sohrab Modi,"Leela Chitnis, Sohrab Modi, E. Tarapore, Kamala Kumari, Sharifa, Kusum Deshpande, Abu Bakar, Sadiq Ali","Social, Drama","Minerva Movietone Music: Mir Sahib
Lyrics: Kamal Amrohi"
Jeevan Ek Paheli,P. Razdan,,Social,"Central India Theatres. Music:
Lyrics:"
Jungle Ka Javan,Chunilal Parekh,"Shankar Vazre, Rajkumari, Putlibai, Kamala Kumari, Fakir Mohammed, Garib Shah, Jamshid Banu, Haroon, Narsi",Action,"Mohan Pictures. Music: Amulyacharan Biswas
Lyrics: Munshi Jilani Shyam"
Jwala,Master Vinayak,"Chandra Mohan, Ratnaprabha, Master Vinayak, Rajani, Dhavale, Chandrakant, Bulbule","Costume, Drama","Huns Pictures. Music: Dhamman Khan, Chandekar
Lyrics: Pandit Indra"
Karmaveer,Vithaldas Panchotia,"Radharani, V. Panchotia, Prabha Devi, Leela, Jayshankar, Putlibai, Khalil, Heera, Fakir Chand, M. Isaq",Action,"Sitaram Cine. Music: Nagardas Nayak
Lyrics: Vithaldas Panchotia"
Khatarnak Aurat,,,Action,"Madan Theatres. Music:
Lyrics:"
Kis Liye,J. K. Mehta,"Mohini, Ghulam Mohammed, Padma Devi, Ghulam Rasool, Rafiqe Ghaznavi, Asuji",Social,"Imperial Films. Music: K. Bhole
Lyrics:"
Lal Bujakkad,Kanti Patel,"Padmini, Kashinath, Shahzadi Jahangir, Fakir Mohammed, Lakshmi, Kusum",Action,"National Cine Corporation. Music: Master Madhavlal
Lyrics:"
Lutaru Lalna,Homi Wadia,"Fearless Nadia, Sardar Mansur, Sayani Atish, Master Mohammed, Dilawar, Sarita Devi, Boman Shroff, Mithu Miyan, Nazira, Minoo Cooper","Action, Adventure","Wadia Movietone Music: Master Madhav, Baldev Nayak
Lyrics: Pandit Gyan Chandra"
Madhraat Ka Mehmaan,Kikubhai Desai,"Moti, Shankar Vazre, Ganpat Rao, Dhulia, Bose, Bachcha",Action,"Indian Liberty. Music: Master Basant
Lyrics:"
Madhur Milan,Zia Sarhadi,"P. Jairaj, Khursheed, Zebunisa, Hari Shivdasani, Balabhai","Social, Romance, Drama","Saroj Movietone. Music:
Lyrics:"
Master Man a.k.a. Ustad,G. K. Mehta,"Leela Chitnis, Majid Khan, Indira Wadkar, Gope, Ramlal, Jeevan, Dar, Gulab",Action,"Music: Sunderdas Bhatia
Lyrics: Ehsan Rizvi, M. R. Kapoor"
Meetha Zahar,Sohrab Modi,"Naseem Banu, Sohrab Modi, Shanta Dutt, E. Tarapore, Sadiq Ali, Ghulam Hussain, Fakir Chand, Gajanan Jagirdar, Ghulam Mohiuddin, Sheela, Abu Bakar","Social, Drama","Minerva Movietone. Music: B. S. Hoogan
Lyrics: Munshi Irshad Ahmed"
Mera Ladka,Keshav Narayan Kale,"Shahu Modak, Shanta Hublikar, Ulhas, Balakram, Vasant Thengdi, Sundarabai, Mama Bhatt",Social,"Prabhat Film Company. Music: Keshavrao Bhole
Lyrics: Pandit Anuj"
Mother India,Gunjal,"Pramila, W. M. Khan, Sharifa, Ghulam Mohammed, Ashiq Hussain, Sushila, Ghulam Rasool",Social,"Indian Cine Pictures. Music: Ram Gopal Pande
Lyrics:"
Mr.X,Dwarka Khosla,"Rattan Bai, Jayant, Ranjit, Indurani, Anant Marathe, Hari Shivdasani, Shyam Sunder, Lallubhai",,"Music: Shankar Rao Vyas, Lallubhai Nayak
Lyrics: Pandit Anuj"
Na Honewali Baat,R. N. Vaidya,"Protima Das Gupta, V. K. Das, Nazir Begum, Baburao Pehalwan, Sunder, Shanti, Shahjahan",Action,"Indira Movies. Music: Prem Kumar
Lyrics: H. S. Rawail, Safdar Mirza"
Nandakumar,K. Dhaibar,"Durga Khote, Anant Marathe, Govind Kurvalikar, Jayshree Kamulkar, Govindrao Tembe",Devotional,"Jayshree Films. Music: G. P. Kapoor
Lyrics: Pandit Vir"
Nirmala,Franz Osten,"Devika Rani, Ashok Kumar, Maya Devi, Balwant Singh, Sankatha Prasad, Mumtaz Ali, Nazir Bedi, P. F. Pithawala, Saroj Borkar, M. Nazir, Gulab",Social,"Bombay Talkies. Music: Saraswati Devi
Lyrics: J. S. Kashyap"
Perfect Man a.k.a. Nigah-e-Kamil,Rukesh,"Sita, Ghulam Mohammed, Lakshmi, Ghulam Rasool, Kesar, Kakir Chand",Action,"Circle Pictures. Music: Ram Gopal Pande
Lyrics:"
Purnima,Balwant Bhatt,"Sardar Akhtar, Umakant, Ranjit, Noor Jehan, Shirin, Badri Prasad, Shanker Rao, Putlibai, Tarabai, Lallubhai, Jahangir, Athavale, Gulab",Social,"Prakash. Music: Shankar Rao Vyas
Lyrics: Pandit Anuj"
Postman,"Zia Sarhadi, Mahendra Thakore","Kumar, Bibbo, Yakub, Maya Devi, Harish, Sankatha Prasad, Sunalini Devi, Bhudo Advani",Social,"Sagar Movietone. Music: Anil Biswas
Lyrics: Zia Sarhadi"
Prem Samadhi,G. K. Mehta,"Khursheed, Zebunissa, Shyam Sunder, Prabhashankar Balabhai, Yusuf Effendi",Social,"Saroj Movies Music: Keshavrao Naik
Lyrics:"
Prithvi Putra,Jayant Desai,"Madhuri, E. Billimoria, Mazhar Khan, Waheedan Bai, Ram Apte, Ghory, Dinkar, Kantilal, Khatoon, Kalyani Das, Radha",Mythology,"Ranjit Pictures. Music: Gyan Dutt
Lyrics: Pyare Lal Santoshi"
Professor Waman M. Sc.,Manibhai Vyas,"E. Billimoria, Sitara Devi, Mazhar Khan, Sunita, Bhagwandas, Rajkumari, Waheedan Bai, Ibrahim, Kesari, Satyavati",Social,"Ranjit Pictures. Music: Gyan Dutt
Lyrics: Pyare Lal Santoshi"
Punarjanma,Ramnik Desai,"Jal Merchant, Roshanara Begum, Putlibai, Baburao, Dinkar, Gangaram, Jivanand, Sadiq",Action,"Royal Movies. Music: Shanti Kumar Desai,
Lyrics: Arshad Gujrati, Akhtar"
Raja Gopichand,Bhalji Pendharkar,"Ratnaprabha, Chandrakanta, Leela Chitnis, Ranade, G. M. Londhe, Dongre, Danve, Usha, Dinkar Kamanna",Devotional,"Saraswati Cine. Music: C. Balaji
Lyrics:"
Rajkumari,Dwarka Khosla,"Lalita Pawar, Nazir, Jeevan, Shiraz, Gope, Ameena, O. K. Dar, Omkar, Majid",Costume,"Krishna Movies. Music: Sunderdas Bhatia
Lyrics:"
Rangila Mazdoor,S. M. Yusuf,"Harishchandra Rao, Violet Cooper, Shah Nawaz, Nazira, Dilawar, Agha, A. Haq, Gulshan, Bismillah",Social,"Wadia Movietone. Music: Master Madhavlal Damodar
Lyrics: Waheed Qureshi"
Rifle Girl,Rama Chowdhary,"P. Jairaj, Rose, Yusuf Effendi, Balabhai, Mehdi Raja, Bibijan",Action,"Saroj Movies. Music: B. R. Devdhar
Lyrics: Arzu Lucknavi"
Rikshawala,Ezra Mir,"Mazhar Khan, Indubala, Ila Devi, Charlie, Wasti, Waheedan Bai, Dixit, Ghory, Tarabai",Social,"Ranjit Pictures. Music: Gyan Dutt
Lyrics: Pyare Lal Santoshi"
Royal Commander,M. Udwadia,"Anil Kumar, Noor Jehan, Ashiq Hussain, Mehar Sultana, Fazlu, Samson, Gulab, F. M. Butt",Action,"Vishnu. Music: Shyam Babu Pathak
Lyrics: Kabil Amritsari"
