"Title","Director","Cast","Genre","Sources",
"Aadat Se Majboor","Irfan Malik","Irfan Malik, Nadeen Aldah, Falak Naaz Khan, Sromona","Action, Crime, Drama, Family","",
"Hyatt","Irfan Malik","Irfan Malik, Nadeem Aldah, Falak Naaz Khan, Sromona, Mr. Vasai, Neeraj Yadav","Comedy","",
"Aadharshila","Ashok Ahuja","Anita Kanwar, Annu Kapoor, Pankaj Kapur","","",
"Aagman","Muzaffar Ali","Rani Deepa, Anupam Kher, Suresh Oberoi","Drama","",
"Aamne Samne","Ashim S. Samanta","Mithun Chakraborty, Aarti Geeta, Tarun Ghosh","Action","",
"Afsana Do Dilon Ka","K.S. Sethumadhavan","Kamal Hassan, Shobha, Vidhubala","","",
"Angoor","Gulzar","Sanjeev Kumar, Deven Verma, Moushumi Chatterjee","Comedy","",
"Anmol Sitaare","Geeta Priya","Master Baboo, Rakesh Bedi, Ramesh Deo","Drama","",
"Anokha Bandhan","Mehul Kumar","Shabana Azmi, Seema Deo, Aruna Irani","Drama","",
"Aparoopa","Jahnu Barua","Gopi Desai, Jagdeep, Girish Karnad","","",
"Apmaan","Ami Asthana","Ami Asthana, Suresh Chatwal, Manik Irani","Drama","",
"Apna Bana Lo","J. Om Prakash","Jeetendra, Rekha, Shakti Kapoor","Drama, Family","",
"Apradhi Kaun?","Mohan Bhakri","Javed Khan, Rajni Sharma, Arpana Choudhary","Thriller","",
"Arth","Mahesh Bhatt","Shabana Azmi, Smita Patil","Drama","",
"Ashanti","Umesh Mehra","Rajesh Khanna, Mithun Chakraborty, Zeenat Aman, Parveen Babi","Action, Adventure, Crime","",
"Ayaash","Shakti Samanta","Sanjeev Kumar, Rati Agnihotri, Arun Govil","Romance","",
"Baawari","A. C. Tirulokchandar","Jayapradha, Yogeeta Bali, Shreeram Lagoo","Family","",
"Bachche Teen Aur Daku Chhe","Govind Saraiya","","","",
"Badle Ki Aag","Raj Kumar Kohli","Sunil Dutt, Dharmendra, Jeetendra","Action","",
"Baghavat","Ramanand Sagar","Dharmendra, Hema Malini, Reena Roy","Action, Romance","",
"Barrister","Salil M. Ghosh","Arun Govil, Vinod Mehra, Sulakshana Pandit","Drama","",
"Baazar","Sagar Sarhadi","Farooq Shaikh, Smita Patil, Naseeruddin Shah","Drama, Family","",
"Bemisal","Hrishikesh Mukherjee","Amitabh Bachchan, Rakhee Gulzar, Vinod Mehra","Drama, Family","",
"Bezubaan","Bapu","Shashi Kapoor, Reena Roy, Raj Kiran","Drama, Romance","",
"Bhai Aakhir Bhai Hota Hai","R.C Nanda","Kumari Naaz, Monty Nath","","",
"Bheegi Palkein","Sisir Misra","Raj Babbar, Smita Patil, Dina Pathak","Romance","",
"Chalti Ka Naam Zindagi","Kishore Kumar","Kishore Kumar, Rita Bhaduri, Master Bhagwan, Harindranath Chattopadhyay","","",
