"Title","Director","Cast","Genre","Sources",
"Chambal Ke Daku","","Javed Khan","","",
"Chorni","Jyoti Sarup","Jeetendra, Neetu Singh, Shreeram Lagoo","Family","",
"Dard Ka Rishta","Sunil Dutt","Sunil Dutt, Reena Roy, Smita Patil","Drama","",
"Daulat","Mohan Segal","Vinod Khanna, Zeenat Aman, Amjad Khan","Action, Crime, Drama, Family","",
"Davedar","","","","",
"Deedar-E-Yaar","Harnam Singh Rawail","Jeetendra, Rekha, Rishi Kapoor","Drama, Romance","",
"Desh Premee","Manmohan Desai","Amitabh Bachchan, Sharmila Tagore, Hema Malini, Parveen Babi, Amjad Khan","Action, Drama","",
"Dharam Kanta","Sultan Ahmed","Raaj Kumar, Rajesh Khanna, Jeetendra Waheeda Rehman, Reena Roy, Sulakshana Pandit","Action, Drama, Family","",
"Dial 100","S. Ramanathan","Ashok Kumar","","",
"Dil Hi Dil Mein","Desh Gautam","Manju Bhatia, Dhumal, Iftekhar","","",
"Dil Ka Sathi Dil","","Kamal Hassan, Zarina Wahab","","",
"Dil-E-Nadaan","C.V. Sridhar","Rajesh Khanna, Jayapradha, Shatrughan Sinha","Drama, Romance","",
"Dil... Akhir Dil Hai","Esmayeel Shroff","Rakhee Gulzar, Parveen Babi, Naseeruddin Shah","Drama","",
"Disco Dancer","Babbar Subhash","Mithun Chakraborty, Kim Yashpal","Musical, Drama","",
"Do Dishayen","Dulal Guha","Dharmendra, Hema Malini","","",
"Do Guru","Ravi Tandon","Shashi Kapoor, Padma Khanna, Neetu Singh","Action","",
"Do Ustad","S.D. Narang","Shatrughan Sinha, Reena Roy, Danny Denzongpa","","",
"Dulha Bikta Hai","Anwar Pasha","Raj Babbar, Anita Raj, Simple Kapadia","Family, Drama","",
"Farz Aur Kanoon","K. Raghavendra Rao","Jeetendra, Hema Malini, Rati Agnihotri, Raj Kiran","","",
"Ghazab","Dixit","Seema Deo, Dharmendra, Krishan Dhawan, Rekha","Drama, Family","",
"Gopichand Jasoos","Naresh Kumar","Raj Kapoor, Zeenat Aman, I.S. Johar","Comedy","",
"Gumsum","Dayanand","Arun Govil, Madhu Kapoor, Shakti Kapoor","Drama","",
"Haathkadi","Surendra Mohan","Sanjeev Kumar, Reena Roy, Shatrughan Sinha","Family, Thriller, Drama","",
"Hamari Bahu Alka","Basu Chatterjee","Rakesh Roshan, Bindiya Goswami, Utpal Dutt","","",
"Hearbeat","Biplab Roy Chowdhury","Utpal Dutt, Anita Kanwar, Amol Palekar","Drama","",
"Insaan","Narendra Bedi","Jeetendra, Vinod Khanna, Reena Roy","Drama, Family","",
"Jawalaa Dahej Ki","Chaman Nillay","Shoma Anand, Arun Govil, Sonia Sahni","","",
"Jeeo Aur Jeene Do","Shyam Ralhan","Jeetendra, Reena Roy, Danny Denzongpa, Pran","","",
"Jeevan Dhaara","Rama Rao Tatineni","Rekha, Raj Babbar, Amol Palekar, Simple Kapadia","Drama","",
"Jivan Rahasya","Bhimsain","","Animation","",
"Johny I Love You","Rakesh Kumar","Sanjay Dutt, Rati Agnihotri, Suresh Oberoi","Action, Romance","",
"Kaamchor","K. Vishwanath","Rakesh Roshan, Jayapradha, Tanuja","Drama, Family","",
"Kachche Heere","Narendra Bedi","Feroz Khan, Reena Roy, Danny Denzongpa","Action","",
"Kanchan Aur Ganga","Mehul Kumar","Kiran Kumar","","",
"Kanya Dweep","Ramanna","Jayshree T.","Musical","",
"Kasam Durga Ki","","Padma Khanna, Raza Murad, Rajni Sharma","","",
"Khud-daar","Ravi Tandon","Sanjeev Kumar, Amitabh Bachchan, Vinod Mehra, Parveen Babi","Drama","",
"Khush Naseeb","","Padmini Kolhapure, Vinod Mehra","","",
"Lakshmi","B.S. Thapa","Reena Roy, Raj Babbar, Ranjeet","Drama","",
"Log Kya Kahenge","B.R. Ishara","Navin Nischol, Shabana Azmi, Shatrughan Sinha","Family","",
"Lubna","","Prema Narayan, Kanwaljit Singh","","",
"Main Intequam Loonga","Rama Rao Tatineni","Dharmendra, Reena Roy, Shreeram Lagoo","","",
"Maine Jeena Seekh Liya","Bhisham Kohli","Mohammad Asif, Rajni Bala, Geeta Behl","Drama, Romance","",
"Maut Ka Saya","Tulsi Ramsay","Geeta Behl, Anil Dhawan, Vijayendra Ghatge","Drama","",
"Meharbaani","Ajit Singh Deol, A. Nairang","Mahendra Sandhu, Sarika, Narendra Nath","","",
"Mehndi Rang Layegi","Narayana Rao Dasari","Jeetendra, Rekha, Anita Raj","Drama, Family","",
"Nadiya Ke Paar","Govind Moonis","Inder Thakur, Mitali, Savita Bajaj","Drama, Family","",
"Namak Halaal","Prakash Mehra","Amitabh Bachchan, Waheeda Rehman, Shashi Kapoor, Smita Patil, Parveen Babi","Drama","",
"Namkeen","Gulzar","Sanjeev Kumar, Sharmila Tagore, Waheeda Rehman, Shabana Azmi","Drama","",
"Nikaah","B. R. Chopra","Raj Babbar, Salma Agha","Romance","",
"Partner","Anil Tejani","Deepti Naval, Pran, Shakti Kapoor","","",
"Prem Rog","Raj Kapoor","Rishi Kapoor, Padmini Kolhapure","Drama","",
"Pyaar Ke Rahi","Atma Ram","Padmini Kapila, Jyoti Sarup, Kanwaljit Singh","","",
"Pyaar Mein Sauda Nahin","","Rakesh Bedi, Raj Kiran, Sharat Saxena","","",
"Pyara Tarana","K. Balachander","Asrani, Kamal Hassan, Shafi Inamdar","","",
"Raakh Aur Chingari","","Vinod Mehra","","",
"Raaste Pyar Ke","V.B. Rajendra Prasad","Jeetendra, Rekha, Shabana Azmi","Drama, Family","",
"Raj Mahal","K. Parvez","Asrani, Neetu Singh, Vinod Khanna","Drama","",
"Rajuput","Vijay Anand","Rajesh Khanna, Dharmendra, Hema Malini","Action, Crime, Romance","",
"Ramnagari","Kantilal Rathod","Sulabha Deshpande, Suhasini Mulay, Ram Nagarkar","Drama","",
"Rustom","Dara Singh","Dara Singh, Tanuja, Sohrab Modi","","",
"Saath Saath","Raman Kumar","Rakesh Bedi, Sudha Chopra, Avtar Gill","Drama","",
"Samraat","Mohan Segal","Dharmendra, Jeetendra, Hema Malini","Action, Thriller","",
"Sanam Teri Kasam","Narendra Bedi","Reena Roy, Kamal Hassan, Jagdeep","Drama, Family, Crime, Romance, Comedy","",
"Sant Gyaneshwar","","Kanan Kaushal, Mahesh Kothare, Dev Kumar","","",
"Sati Aur Bhagwan","","Vijay Arora","","",
"Satte Pe Satta","Raj Sippy","Amitabh Bachchan, Hema Malini","Comedy","",
"Saugandh","Ravikant Nagaich","","","",
"Sawaal","Ramesh Talwar","Shashi Kapoor, Sanjeev Kumar, Waheeda Rehman","Drama, Family","",
"Shadi Shadi","Bhimsain","","Animation","",
"Shakti","Ramesh Sippy","Dilip Kumar, Amitabh Bachchan, Raakhee, Smita Patil, Kulbhushan Kharbanda, Amrish Puri, Anil Kapoor","Drama","",
"Shaukeen","Basu Chatterjee","Ashok Kumar, A.K. Hangal, Utpal Dutt, Mithun Chrwaborty, Rati Agnihotri","Comedy","",
"Shiv Charan","Anil Kumar","Chandana Choudhary, Jankidas, Vinod Mehra","","",
"Shriman Shrimati","Vijaya Reddy","Sanjeev Kumar, Rakhee Gulzar, Rakesh Roshan","Comedy, Drama, Family","",
"Sindoor Bane Jwala","K. Bapaiah","Sanjeev Kumar, Sharada","","",
"Sitam","Arunavikas, Arunavikas","Naseeruddin Shah, Smita Patil, Vikram","Drama, Family","",
"Star","Vinod Pande","Kumar Gaurav, Rati Agnihotri, Padmini Kolhapure","Romance","",
"Sultana Daku","Mohammed Hussain","Dara Singh, Ajit, Helen","Action","",
"Sumbandh","Shibu Mittra","Ashok Kumar, Vinod Mehra, Rati Agnihotri","Action, Drama, Thriller, Romance","",
"Sun Sajna","Chander Bahl","Mithun Chakraborty, Ranjeeta Kaur, Iftekhar","Drama, Family, Romance","",
"Suraag","Jagmohan Mundhra, Ambrish Sangal","Sanjeev Kumar, Shabana Azmi, Rajesh Khanna","Thriller, Mystery","",
"Swami Dada","Dev Anand, T.K. Desai","Dev Anand, Mithun Chakraborty, Rati Agnihotri","Action, Drama, Family","",
"Taaqat","","Vinod Khanna, Parveen Babi, Rakhee Gulzar, Pran","","",
"Taqdeer Ka Badshah","Babbar Subhash","Mithun Chakraborty, Ranjeeta Kaur, Amjad Khan, Pran","","",
"Teesri Aankh","Subodh Mukerji","Dharmendra, Shatrughan Sinha, Zeenat Aman","Action, Thriller","",
"Teri Kasam","A. C. Tirulokchandar","Kumar Gaurav, Poonam Dhillon","Romance","",
"Teri Maang Sitaron Se Bhar Doon","Raj Khosla","Nutan, Padmini Kolhapure, Raj Kiran","Family","",
"Thirst","O.P. Ralhan","Zeenat Aman, Anju Mahendru, Madan Puri","","",
"Satyen Bose","Satyen Bose","Suresh Oberoi, Swaroop Sampat, Master Ravi","Drama, Family","",
"Umbartha","Jabbar Patel","Smita Patil, Girish Karnad, Shrikant Moghe","Drama","",
"Ustadi Ustad Se","Deepak Bahry","Mumtaz Begum, Master Bhagwan, Master Bittoo","Action, Crime, Drama, Romance","",
"Vakil Babu","Asit Sen","Zeenat Aman, Raj Kapoor, Shashi Kapoor","","",
"Vidhaata","Subhash Ghai","Dilip Kumar, Sanjay Dutt, Shammi Kapoor, Sanjeev Kumar","Drama","",
"Vijeta","Govind Nihalani","Shashi Kapoor, Rekha, Supriya Pathak","Drama","",
"Waqt Ke Shehzade","Kukoo Kapoor","Rati Agnihotri, Aruna Irani, Kalpana Iyer","Musical","",
"Waqt-Waqt Ki Baat","Santosh Saroj","Rameshwari, Rakesh Roshan","","",
"Yeh Nazdeekiyan","Vinod Pande","Marc Zuber, Shabana Azmi, Parveen Babi","Drama, Romance","",
"Yeh To Kamaal Ho Gaya","T. Rama Rao","Vijay Arora, Kumud Bole, Suresh Chatwal","Action, Comedy, Drama","",
"Yeh Vaada Raha","Kapil Kapoor","Rishi Kapoor, Poonam Dhillon, Tina Munim","Musical, Drama, Romance","",
"Zakhmee Insaan","Deepak Balraj Vij","Javed Khan","","",
