Title,Director,Cast,Genre,Sources
36 Chowringhee Lane,Aparna Sen,Jennifer Kendal,Drama,
Aadat Se Majboor,Apurba Kishore Bir,"Mithun Chakraborty, Ranjeeta, Rameshwari, Madan Puri",,
Aakhri Mujra,Hiren Nag,"Ajit Khan, Asha Parekh",Drama,
Bhakt Gorakumbhar,Dinesh Rawal,"Rajni Bala, Ramesh Mehta, Shrikant Soni, Arvind Trivedi",Drama,
Bhula Na Dena,Harsh Kohli,"Kaajal Kiran, Helen, Sujit Kumar",,
Biwi-O-Biwi: The Fun-Film,Randhir Kapoor,"Randhir Kapoor, Poonam Dhillon, Sanjeev Kumar",Comedy,
Black Cobra,K. S. R. Das,"Rajinikanth, Padma Khanna",,
Chakra,,"Smita Patil, Naseeruddin Shah, Om Puri, Ranjit Chaudhary",,
Chashme Buddoor,Sai Paranjpye,"Ravi Baswani, Rakesh Bedi, Farooq Shaikh, Deepti Naval",Drama,
Chehre Pe Chehra,Raj Tilak,"Sanjeev Kumar, Vinod Mehra, Rekha, Sulakshana Pandit",Thriller,
Chhori Gaon Ki,Rajkumar Trivedi,"Rikki Oberai, Shama Kakkad, Ramesh Deo",Drama,
Commander,Rakesh Kumar,"Arun Govil, Tanuja, Amjad Khan",Action,
Daasi,Raj Khosla,"Sanjeev Kumar, Rekha, Moushumi Chatterjee, Rakesh Roshan",Drama,
Dahshat,"Shyam Ramsay, Tulsi Ramsay","Navin Nischol, Sarika, Om Shivpuri, Nadira Babbar",Horror,
Dard,,"Rajesh Khanna, Hema Malini",,
Der Aaye Durust Aaye,,,,
Dhanwan,,"Rajesh Khanna, Reena Roy, Rakesh Roshan",,
Dhuaan,Dulal Guha,"Mithun, Raakhee, Ranjeeta, Amjad Khan",,
Do Dil Diwane,C. V. Rajendran,"Kamal Hassan, Rati Agnihotri, Deepa",Romance,
Ek Aur Ek Gyarah,Ashok Roy,"Shashi Kapoor, Vinod Khanna, Zarina Wahab, Neetu Singh",Comedy,
Ek Duuje Ke Liye,K. Balachander,"Kamal Hassan, Rati Agnihotri",Drama,
Ek Hi Bhool,T. Rama Rao,"Jeetendra, Rekha","Family, Drama",
Fiffty Fiffty,Somu Mukherjee,"Rajesh Khanna, Tina Munim, Kader Khan",,
Ganga Maang Rahi Balidan,Radhakant,"Sohrab Modi, Hina Kausar, Dev Kumar",Drama,
Gehra Zakhm,Deepak Bahry,"Vinod Mehra, Ranjeeta Kaur",Romance,
Ghamandee,Ramesh Bedi,"Mithun Chakraborthy, Sarika",Action,
Ghungroo Ki Awaaz,"Shyam Ramsay
Tulsi Ramsay","Vijay Anand, Rekha",Drama,
Gramayan,Arun Khopkar,"Tushar Dalvi, Parzun Dastur, Amin Gazi",,
Guru Suleman Chela Pahelwan,Radhakant,"Mehmood, Dara Singh, Padma Khanna",Comedy,
Harjaee,,"Randhir Kapoor, Tina Munim, Shammi Kapoor",,
Hotel,,"Navin Nischol, Rakesh Roshan, Bindiya Goswami",Mystery,
Hum Se Badkar Kaun,Deepak Bahry,"Amjad Khan, Mithun Chakraborty, Danny Denzongpa, Vijendra, Ranjeeta, Kajal Kiran, Kalpana Iyer, Ranjeet",,
Itni Si Baat,,"Sanjeev Kumar, Moushmi Chatterjee",,
Jail Yatra,,"Vinod Khanna, Reena Roy",,
Jeene Ki Arzoo,Rajashekar,"Mithun Chakraborthy, Rakesh Roshan, Rati Agnihotri",Romance,
Jiyo To Aise Jiyo,,"Mithun Chakraborty, Ranjeeta, Rameshwari, Madan Puri",,
Josh,,"Amjad Khan, Vidya Sinha",,
Jwala Daku,R. P. Swamy,"Salma Agha, Birbal, Urmila Bhatt",Drama,
Jyoti,,"Hema Malini, Jeetendra, Vijendara Ghatge, Ashok Kumar",,
Kaalia,Tinnu Anand,"Amitabh Bachchan, Parveen Babi, Pran, Asha Parekh, Kader Khan, K. N. Singh, Amjad Khan",Action,
Kaaran,B. R. Ishara,"Ramesh Deo, Shoma Anand, Aruna Irani",Romance,
Kahan Kahan Se Guzar Gaya,M. S. Sathyu,"Anil Kapoor, Pankaj Kapur, Farah Khan",Drama,
Kahani Ek Chor Ki,S. Ramanathan,"Moushumi Chatterjee, Jeetendra, Vinod Mehra, Nirupa Roy",Drama,
Kal Hamara Hai,Girish Ranjan,"Asrani, Aarti Bhattacharya, A. K. Hangal, Padma Khanna",Drama,
Kalyug,Shyam Benegal,"Shashi Kapoor, Rekha, Raj Babbar",Drama,
Kanoon Aur Mujrim,,"Padma Khanna, Jayshree T.",,
Katilon Ke Kaatil,"Anil Hingorani, Arjun Hingorani","Dharmendra, Rishi Kapoor, Zeenat Aman",Romance,
Khara Khota,B.R. Ishara,,,
Khawaja Ki Diwani,,"Bharat Bhushan, Arpana Choudhary, Mazhar Khan",,
Khel Muqaddar Ka,Veerendra,"Bharat Bhushan, Asha Parekh, Dara Singh","Action, Family",
Khilte Suman,Sukhdev Ahluwalia,,,
