Title,Director,Cast,Genre,Music director
Asmaan Se Ooncha,,"Jeetendra, Sonam",,
Awara Zindagi,,"Raj Kiran, Jagdish Raj",,
Babul,,,,
Bade Ghar Ki Beti,,Pran,,
Bahurani,,,,
Batwara,"Dharmendra, Vinod Khanna",,,
Bhrashtachar,,"Mithun Chakraborty, Rekha",,
Billoo Badshah,,,,
ChaalBaaz,Pankaj Parashar,"Rajnikant, Sunny Deol, Sridevi, Anupam Kher","Romance, Comedy",Laxmikant Pyarelal
Chaalu Pe Chaalu,,,,
Chahungi Tujhe Bar Bar,,,,
Chandni,Yash Chopra,"Vinod Khanna, Rishi Kapoor, Sridevi",Romance,Shiv Hari
Charana,,,,
Chingari,Ram Maheshwari,"Sanjay Khan, Leena Chandavarkar, Pran, Shatrughan Sinha, Tiwari",,
Clerk,,"Manoj Kumar, Mohammed Ali, Shashi Kapoor, Rekha",,
Daata,Sultan Ahmed,"Mithun Chakravorty. Shammi Kapoor, Padmini Kolhapure, Suresh Oberoi",,
Daddy,Mahesh Bhatt,"Pooja Bhatt, Anupam Kher",,Rajesh Roshan
Dana Paani,,,,
Dav Pech,,,,
Deep,Raj Babbar,"Deepti Naval, Kanwaljeet",,
Desh Ke Dushman,,,,
Dil Lagake Dekho,,,,
Hisaab Khoon Ka,,,,
Hum Bhi Insaan Hain,Manivannan,"Sanjay Dutt, Jackie Shroff, Neelam, Jaya Prada",,Bappi Lahiri
Hum Intezaar Karenge,,,,
Jaaydaad,,,,
Jaisi Karni Waisi Bharni,,Govinda,,
Jawani Ke Gunah,,,,
Jism Ka Rishta,,,,
Joshilaay,Shekhar Kapoor,"Anil Kapoor, Sunny Deol. Sridevi",,
Khayal Gatha,Kumar Shahani,"Rajat Kapoor, Poonam Dhillon",Drama,
Ladaai,,,,
Ladki,,,,
Lal dupatta malmal ka,,,,
Lashkar,Dev Anand,,,
Love Love Love,,,,
Mahaadev,,,,
Mahal,,,,
Main Azaad Hoon,,"Amitabh Bachchan, Shabana Azmi",,
Main Tera Dushman,,,,
Maine Pyar Kiya,Sooraj R. Barjatya,"Salman Khan, Bhagyashree, Laxmikant Berde, Mohnish Behl","Romance, Drama",
Parinda,Vidhu Vinod Chopra,"Jackie Shroff, Anil Kapoor, Nana Patekar, Madhuri Dixit, Anupam Kher",,
Prem Pratigyaa,,,,
Purani Haveli,,,,
Raakh,,,,
Raasta,,,,
Rakhwala,,,,
Ram Lakhan,Subhash Ghai,"Anil Kapoor, Jackie Shroff, Madhuri Dixit","Romance, Action, Comedy",
Santosh,,,,
Shanakht,,,,
Shehzaade,,,,
Shukriya,A C Trilok Chandra,"Rajeev Kapoor, Amrita Singh, Pran, Beena, Prem Chopra",,
Sikka,,"Dimple Kapadia, Jackie Shroff, Dharmendra",,
Tere Bina Kya Jeena,,,,
Toofan,Ketan Desai,"Amitabh Bachchan, Meenakshi Seshadri, Amrita Singh, Pran, Kamal Kapoor, Goga Kapoor",,
Touhean,,,,
Tridev,Rajiv Rai,"Naseeruddin Shah, Jackie Shroff, Sunny Deol, Madhuri Dixit, Sangeeta Bijlani, Sonam, Raza Murad, Anupam Kher, Amrish Puri","Action, Thriller",
Tujhe Nahin Chhodunga,,,,
Ustaad,,,,
Vardi,,,,
Vicky Dada,,,,
Zaher,,,,
Zakhm,,,,
