Title,Director,Cast,Genre,Notes
Pyar Hi Pyar,Bhappi Sonie,"Dharmendra, Vyjayanthimala, Pran, Mehmood, Madan Puri, Helen, Salim Khan, Dhumal, Mehmood Jr., Sulochana",Romance,"Music: Shankar Jaikishan
Lyrics: Hasrat Jaipuri"
Pyar Ka Mausam,,"Shashi Kapoor, Asha Parekh",,
Pyar Ka Sapna,Hrishikesh Mukherjee,"Ashok Kumar, Mala Sinha, Biswajeet, Johnny Walker",,
Rahgir,Tarun Majumdar,"Biswajeet, Sandhya Roy, Shashikala, Kanhaiyalal, Iftekhar, Nirupa Roy, Asit Sen, Padma, Vasant Choudhary","Romantic, Social, Drama","Music: Hemant Kumar
Lyrics: Gulzar"
Raja Saab,,Shashi kapoor Nanda,,
Rakhi Rakhi,,,,
Road to Sikkim,,Dev Kumar,,
Saat Hindustani,Khwaja Ahmad Abbas,"Utpal Dutt, Madhu, Jalal Agha, Amitabh Bachchan",,Debut appearance of Amitabh Bachchan
Sachaai,,"Shammi Kapoor, Sanjeev Kumar, Babita, Pran",,
Sajan,,"Manoj Kumar, Asha Parekh, Madan Puri, Shatrughan Sinha",,
Samay Bada Balwan,Sohrab Modi,"Sohrab Modi, Sailesh Kumar, Shahida, Mehtab, Aruna Irani, Helen","Social, Drama","Music: Usha Khanna
Lyrics: D. N. Madhok"
Sansar Leela,,,,
Sara Akash,,,,
Satyakam,,"Dharmendra, Sanjeev Kumar",,
Shart,,,,
Shatranj,,Rajendra kumar Waheeda rehman mehamood,,
Simla Road,,,,
Surya Devata,,,,
Talash,O.P. Ralhan,"Rajendra Kumar, Sharmila Tagore",,
Tamanna,,,,
Toofan,,,,
Tumse Achha Kaun Hai,Pramod Charkavorty,"Shammi Kapoor, Babita, Pran",,
Vishwas,,"Jeetendra, Aparna Sen",,
Wapas,,,,
Wardrobe,,,,
Waris,Ramanna,"Jeetendra, Hema Malini, Mehmood, Aruna Irani, Prem Chopra, Nazima, David, Kamini Kaushal, Sudesh Kumar, Sunder, Sachin","Family, Romance, Action",Music: R. D. Burman<Lyrics: Rajendra Krishan
Yakeen,,"Dharmendra, Sharmila Tagore",,
