Title,Director,Cast,Genre,Notes
Aadmi Aur Insaan,,"Dharmendra, Feroz Khan, Saira Banu",,
Aansoo Ban Gaye Phool,,"Ashok Kumar, Debu Mukherjee, Pran, Anup Kumar, Nirupa Roy, Helen, Alka",,
Anjaan Hai Koi,Babubhai Mistry,"Feroz Khan, Nalini Chonkar, Aruna Irani, Helen, Tiwari, Mohan Choti","Thriller, Suspense","Music: Usha Khanna
Lyrics: Asad Bhopali, Usha Khanna, Manohar Khanna, Sardar Bikaneri"
Anjaana,,"Rajendra Kumar, Babita, Pran",,
Anmol Moti,,"Jeetendra, Babita, Jayant, Jagdeep",,
Apna Khoon Apna Dushman,Kamran,"Dara Singh, Mumtaz, Randhawa, Tiwari, Shyam Kumar, Sanjana, Tun Tun, Maruti, Habib, Meenaxi Shirodkar, Ulhas",Action,"Music: Lala Sattar
Lyrics: Farooq Qaiser"
Aradhana,Shakti Samanta,"Rajesh Khanna, Sharmila Tagore, Farida Jalal, Sujeet Kumar, Ashok Kumar",,
Aya Sawan Jhoom Ke,,"Dharmendra, Asha Parekh",,
Badi Didi,,,,
Balak,,Sarika,,
Bandhan,,"Rajesh Khanna, Mumtaz, Rupesh Kumar",,
Beti,,"Nanda, Sanjay Khan",,
Bhai Bahen,,"Ashok Kumar, Sunil Dutt, Nutan, Pran",,
Bhuvan Shome,Mrinal Sen,"Utpal Dutt, Suhasini Mulay",,
Chanda Aur Bijli,,"Jeevan, Padmini, Sachin, Junior Mehmood",,
Chirag,Raaj Khosla,"Sunil Dutt, Asha Parekh",,
Dharti Kahe Pukarke,,"Jeetendra, Sanjeev Kumar, Nanda, Kanaiya Lal, Leela Mishra",,
Do Bhai,,Jeetendra,,
Do Raaste,,"Rajesh Khanna, Mumtaz, Balraj Sahani, Jayant, Prem Chopra",,
Doli,,"Rajesh Khanna, Babita",,
Ek Phool Do Mali,Devendra Goel,"Balraj Sahani, Sanjay Khan, Sadhna",,
Ek Shriman Ek Shrimati,,"Shashi kapoor, Babita, Om Prakash, Rajendra Nath",,
Gunda,,Sujit Kumar,,
The Guru,,,,
Gustakhi Maaf,,,,
Hum Ek Hain,,,,
Insaaf Ka Mandir,,,,
Intaquam,R.K. Nayyar,"Sadhna, Ashok Kumar, Rehman, Sanjay Khan",,
Ittefaq,Yash Chopra,"Rajesh Khanna, Nanda, Iftkhaar, Sujit Kumar, Bindu, Gajanan Jagirdar",,
Jaal Saz,,,,
Jahan Pyar Mile,Lekh Tondon,Shashi kapoor hema malini,,
Jeene Ki Raah,L.V.Prasad,"Jeetendra, Tanuja, Manmohan Krishn",,
Jigri Dost,,Jeetendra mumtaz,,
Jyoti,,"Sanjeev Kumar, Navodita",,
Kanyadaan,Mohan Sehgal,"Shashi Kapoor, Asha Parekh, Sayeeda Khan, Chandrashekhar, Om Prakash, Dilip Raj, Achala Sachdev, Birbal, Bela Bose, Meena T., Tun Tun, Laxmi","Romance, Social","Music: Shankar Jaikishan
Lyrics: Gopaldas Neeraj, Hasrat Jaipuri"
Khamoshi,,"Rajesh Khanna, Waheeda Rehman,Dharmendra",,
Madhavi,Chanakya,"Sanjay Khan, Deepa, Pran, Padmini, Mukri, Mehmood, Roopesh Kumar, Murad, Aruna Irani",,
Mahabaladu,,,,
Mahal,,"Dev Anand, Asha Parekh",,
Mahua,,,,
Mera Dost,,,,
Mera Yaar Mera Dushman,,,,
Meri Bhabhi,,,,
Mr. Murder ',Nisar Ahmad Ansari,"Nisar Ahmad Ansari, Nakhi Jahan, Change Usmani",Suspense,Asha Bhosle
Mujhe Seene Se Laga Lo,,,,
Munna,,,,
Nanha Farishta,,Pran,,
Nateeja,,,,
Paisa Ya Pyaar,,,,
Patthar Ke Khwab,,,,
Prarthana,,,,
Prince,,"Shammi Kapoor, Vyjayanti Mala",,
Priya,,,,
Pujarin,,,,
Pyaasi Sham,,"Sunil Dutt, Sharmila Tagore",,
