Title,Director,Cast,Genre
7 Days,,,
Aashique Mastane,Ajay Kashyap,"Maya Alagh, Vikas Anand, Mohnish Bahl",Comedy
Aatank Hi Aatank,Dilip Shankar,"Aamir Khan, Juhi Chawla","Crime, Romance"
Aazmayish,Sachin Pilgaonkar,"Rohit Kumar, Dharmendra, Anjali Jathar",
Ab Insaf Hoga,Harish Shah,"Vikas Anand, Sahila Chaddha, Mithun Chakraborty",
Ahankaar,Ashim S. Samanta,"Mithun Chakraborty, Mamta Kulkarni, Mohnish Bahl, Prem Chopra",
Akele Hum Akele Tum,Mansoor Khan,"Aamir Khan, Manisha Koirala",Romance
Andolan,,"Govinda, Mamta Kulkarni, Sanjay Dutt",Comedy
Anokha Andaaz,Lawrence D'Souza,"Asrani, Bindu, Annu Kapoor",Romance
Anokhi Chaal,A. Salaam,"Amjad Khan, Suresh Oberoi, Divya Rana",
Baazi,Ashutosh Gowarikar,"Aamir Khan, Mamta Kulkarni",Action
Barsaat,Rajkumar Santoshi,"Bobby Deol, Twinkle Khanna",Romance
Bewafa Sanam,Gulshan Kumar,"Krishna Kumar, Shilpa Shirodkar, Sagar",Drama
Bombay,Mani Ratnam,"Arvind Swamy, Manisha Koirala","Romance, Drama"
Coolie No. 1,David Dhawan,"Govinda, Karishma Kapoor",Comedy
Criminal,Mahesh Bhatt,"Akkineni Nagarjuna, Manisha Koirala, Ramya Krishna, Nassar, Gulshan Grover, and Sharat Babu",
Dance Party,,"Raman Trikha, Raymond Singh, Aakruti","Family, Musical, Romance"
Dil Ka Doctor,Avtar Bhogal Singh,"Mahmud Babai, Nimai Bali, Shabnam Chowdhary",Comedy
Dilwale Dulhania Le Jayenge,Aditya Chopra,"Shahrukh Khan, Kajol, Amrish Puri, Farida Jalal",Romance
Diya Aur Toofan,K. Bapaiah,"Mithun Chakraborty, Madhoo, Suresh Oberoi, Mohnish Bahl, Kader Khan","SciFi, Crime Thriller"
Dushmani: A Violent Love Story,Bunty Soorma,"Sunny Deol, Jackie Shroff, Manisha Koirala","Action, Romance"
Faisla Main Karungi,Anil Sharma,"Sadashiv Amrapurkar, Sudhir Dalvi, Danny Denzongpa",Action
Fauji,Lawrence D'Souza,"Master Altaf, Raj Babbar, Suresh Chatwal","Action, Crime, Drama"
Gaddaar,Deepak Sareen,"Sunil Shetty, Harish Kumar, Sonali Bendre","Action, Drama, Romance, Thriller"
God and Gun,Esmayeel Shroff,"Raaj Kumar, Jackie Shroff, Gautami",
Guddu,Prem Lalwani,"Shahrukh Khan, Manisha Koirala, Deepti Naval, Mukesh Khanna, Mehmood",Drama
Gundaraj,Guddu Dhanoa,"Ajay Devgan, Kajol,",Drama
Guneghar,Vikram Bhatt,"Atul Agnihotri, Ishrat Ali, Pooja Bhatt",
