Title,Director,Cast,Genre,Music Director
Aathank,Prem Lalwani,"Dharmendra, Girish Karnad, Nafisa Ali, Hema Malini, Amjad Khan, Kader Khan, Ravi Kishan",Action,Laxmikant-Pyarelal
Agni Sakshi,Partho Ghosh,"Jackie Shroff, Nana Patekar, Manisha Koirala","Thriller, Drama",Nadeem-Shravan
Aisi Bhi Kya Jaldi Hai,Sachin Pilgaonkar,"Sachin Pilgaonkar, Vivek Mushran, Ashok Saraf, Shrishti Arya","Comedy, Romance",
Ajay,Suneel Darshan,"Sunny Deol, Karishma Kapoor, Reena Roy, Sharat Saxena",Action,Anand Milind
Angaara,Anil Ganguly,"Sadashiv Amrapurkar, Suresh Bhagwat, Hemant Birje",,
Army,Raam Shetty,"Sridevi, Danny Denzongpa, Mohnish Behl, Ronit Roy, Shahrukh Khan",Drama,Anand Milind
Aur Ek Prem Kahani,Balu Mahendra,"Ramesh Aravind, Heera Rajagopal, Revathy, Sudhir Ahuja, Sushma Ahuja, Akshay Anand",,
Aurat Aurat Aurat,K. Vishwanath,"Rekha, Vinod Mehra, Rakesh Roshan, Aruna Irani, Neeta Mehta",Drama,Laxmikant-Pyarelal
Bal Bramhachari,"Prakash Mehra, Beendhu Shukla","Puru Rajkumar, Karisma Kapoor, Deepak Tijori",,
Bambai Ka Babu,Vikram Bhatt,"Saif Ali Khan, Kajol, Atul Agnihotri","Action, Romance",Anand-Milind
Bandish,Prakash Jha,"Juhi Chawla, Guddi Maruti, Paresh Rawal","Comedy, Drama, Romance",
Beqabu,N. Chandra,"Sanjay Kapoor, Mamta Kulkarni, Amrish Puri","Action, Drama, Romance, Family",
Bhairavi,Arunaraje,"Ashwini Bhave, Sridhar, Manohar Singh","Drama, Musical, Romance",
Bhishma,Jagadish A. Sharma,"Mithun Chakraborty, Anjali Jathar, Vani Viswanath, Harish",Action,Dileep Sen- Sameer Sen
Cha Cha Charlee,K. Balachander,"Kamal Hassan, Revathy, Srividya",Comedy,
Chaahat,Mahesh Bhatt,"Shah Rukh Khan, Naseeruddin Shah, Anupam Kher, Pooja Bhatt, Ramya Krishna","Drama, Comedy, Thriller",Anu Malik
Chall,,Jackie Shroff,,
Chhota Sa Ghar,Kalpataru,"Asrani, Neelima Azim, Ajinkya Deo",,
Chhote Sarkar,Manoj Agarwal,"Govinda, Shilpa Shetty",Drama,Anand Milind
Daanveer,T.L.V. Prasad,"Mithun Chakraborty, Vikas Anand, Anusha, Asrani","Action, Crime, Drama",
Daraar,Abbas-Mustan,"Rishi Kapoor, Juhi Chawla, Arbaaz Khan, Johnny Lever, Sushma Seth","Drama, Thriller",Anu Malik
Dastak,Mahesh Bhatt,"Sharad Kapoor, Mukul Dev, Sushmita Sen, Manoj Bajpai",Thriller,Rajesh Roshan
Dil Tera Deewana,,"Saif Ali Khan, Twinkle Khanna","Romance, Thriller",Aadesh Shrivastava
Diljale,Harry Baweja,"Ajay Devgan, Sonali Bendre, Madhoo, Amrish Puri, Gulshan Grover",Action,Anu Malik
Duniyaa Jhukti Hai,,"Sadashiv Amrapurkar, Jamuna, Anupam Kher",,
Dushman Duniya Ka,Mehmood,"Manzoor Ali, Laila Mehdin, Farida Jalal, Jeetendra, Shahrukh Khan, Salman Khan",Drama,Anu Malik
Ek Anari Do Khiladi,Ravi Raja,"Raveena Tandon, Balakrishna, Ramya Krishnan","Action, Romance, Drama",
Ek Tha Raja,Dayal Nihalani,"Sunil Shetty, Saif Ali Khan, Aditya Pancholi, Neelam Kothari",Romance,Anand Milind
English Babu Desi Mem,Praveen Nischol,"Shah Rukh Khan, Sonali Bendre",Romance,Nikhil - Vinay
Fareb,Vikram Bhatt,"Faraaz Khan, Suman Ranganathan, Milind Gunaji",Thriller,Jatin-Lalit
Fire,Deepa Mehta,"Nandita Das, Shabana Azmi",Social,A. R. Rahman
Ghatak,Raj Kumar Santoshi,"Sunny Deol, Meenakshi Seshadri, Amrish Puri, Om Puri, Danny Denzongpa","Action, Romance",R. D. Burman
Gehra Raaz,Ramesh Bedi,"Salma Agha, Raj Babbar, Jamuna",,
Great Robbery,Ram Gopal Varma,"Nagarjuna Akkineni, Arun Govil, Paresh Rawal",,
Hahakaar,Sudarshan K. Rattan,"Akshay Anand, Chandni, Neelima Azim","Action, Crime, Drama",
Halo,Santosh Sivan,"Benaf Dadachandji, Rajkumar Santoshi, Sahil Choujar",,
Hasina Aur Nagina,Gautam Bhatia,"Sadashiv Amrapurkar, Jagdeep, Kiran Kumar",,
Himmat,Sunil Sharma,"Sunny Deol, Shilpa Shetty, Tabu",Action,Anand Milind
Himmatvar,Talat Jani,"Arun Bakshi, Gajendra Chouhan, Dharmendra",Action,
Hukumnama,B.R. Ishara,"Amjad Khan, Mukesh Khanna, Rajat Kumar",,
