Title,Director,Cast,Genre,Sources
Biwi Ho To Aisi,JK Bihari,"Rekha, Salman Khan, Farooq Shaikh, Bindu, Kader Khan",,
The Deceivers,,,,
Hero Hiralal,,Nasriudin Shah,Comedy,
Aage Ki Soch,Dada Kondke,"Dada Kondke, Huma Khan, Shakti Kapoor, Satish Shah, Raja Murad,",Comedy,
Kabzaa,Mahesh Bhatt,"Sanjay Dutt, Amrita Singh, Paresh Rawal, Raj Babbar",Action,
Kanoon Apna Apna,Gopal B,"Dilip Kumar, Nutan Behl, Sanjay Dutt, Madhuri Dixit",Action,
Khoon Bhari Maang,Rakesh Roshan,Rekha,Drama,
Libaas,,Subodh Shreedhar,,
Pushpak,Singeetham Srinivasa Rao,"Kamal Hassan, Amala, Tinnu Anand","Silent, Comedy",
Qayamat Se Qayamat Tak,Mansoor Khan,"Aamir Khan, Juhi Chawla",Romance,
Ram-Avtar,Sunil Hingorani,"Sunny Deol, Anil Kapoor, Sridevi",Drama,
Salaam Bombay!,Mira Nair,Nana Patekar,Drama,
Shahenshah,Tinu Anand,"Amitabh Bachchan, Meenakshi, Amrish Puri, Pran, Prem Chopra, Kader Khan",Action,
Soorma Bhopali,Jagdeep,"Jagdeep, Amitabh Bachchan, Dharmendra, Rekha",,
Tezaab,N Chandra,"Anil Kapoor, Madhuri Dixit, Chunky Pandey","Action, Romance",
Zakhmi Aurat,Avtar Bhogal,"Dimple Kapadia, Raj Babbar",Action,
Aaj Ke Angaare,Archana Puran Singh,"Hemant Birje, Raja Duggal, Rohini Hattangadi",,
Aaj Ka Robin Hood,Tapan Sinha,"Anil Chatterjee, Utpal Dutt, Robi Ghosh",,
Aage Ki Soch,Dada Kondke,"Shakti Kapoor, Huma Khan, Dada Kondke",Comedy,
Aag Ke Sholay,,"Hemant Birje, Gulshan Grover, Vijayata Pandit",,
Aakhri Adaalat,Rajiv Mehra,"Vinod Khanna, Dimple Kapadia, Jackie Shroff, Sonam",Action,
Aakhri Nishchay,K.C. Agarwal,Surendra Pal,,
Abhishapt,Prakash Jha,"Deepti Naval, Pyare Mohan Sahay, Vasant Joglekar",,
Agnee,J. Om Prakash,"Mithun Chakraborty, Chunky Pandey, Amrita Singh",,
Akarshan,Tanvir Ahmed,"Akbar Khan, Sonu Walia, Girish Karnad",Romance,
Akhri Muqabla,Sudesh C. Issar,"Shashi Kapoor, Rajan Sippy, Suresh Oberoi",Action,
Anjaam Khuda Jaane,,"Danny Denzongpa, Gulshan Grover, Imtiaz Khan",,
Aurat Teri Yehi Kahani,Mohanjee Prasad,"Shoma Anand, Vikas Anand, Raj Babbar",,
Bandhar Bahon Kaa,,Raj Kiran,,
Be Lagaam,Naval Kishore,"Biswajeet, Rakesh Roshan, Jayshree T.",,
Bedroom Story,,Jayshree T.,,
Bees Saal Baad,Rajkumar Kohli,"Mithun Chakraborty, Dimple Kapadia, Meenakshi Sheshadri","Action, Horror",
Bhatakti Jawani,Inderjit Doshi,"Mukri, Lalita Pawar",,
Bhayaanak Mahal,Baby,"Babu Antony, Ravi, Jaya, Rekha",Horror,
Bhed Bhav,Navin Kumar,Pradeep Kumar,,
Charnon Ki Saugandh,K. Bapaiah,"Asrani, Mithun Chakraborty, Prem Chopra, Amrita Singh","Action, Drama, Family",
Chintamani Surdas,Ram Pahwa,Rakesh Pandey,,
Commando,B. Subhash,"Mithun Chakraborty, Mandakini, Hemant Birje","Action, Drama, Romance",
Daisy,Pratap Pothan,"Harish, Sonia, Laxmi",,
Dariya Dil,K. Ravishankar,"Govinda, Kimi Katkar, Roshni","Drama, Family",
Dayavan,Feroz Khan,"Vinod Khanna, Feroz Khan, Amala","Action, Crime, Drama, Family, Romance",
Dharam Shatru,Harmesh Malhotra,"Shatrughan Sinha, Reena Roy, Nirupa Roy",,
Dharamyudh,Sudarshan Nag,"Shatrughan Sinha, Sunil Dutt, Kimi Katkar",,
Do Waqt Ki Roti,Satpal,"Feroz Khan, Sanjeev Kumar, Reena Roy",Action,
Ek Aadmi,Khwaja Ahmad Abbas,"Shabana Azmi, Parikshat Sahni, Tun Tun",,
Ek Hi Maqsad,Pravin Bhatt,"Raj Kiran, Om Puri, Divya Rana","Action, Drama, Thriller",
Ek Naya Rishta,Vinod Pande,"Rekha, Raj Kiran, Mazhar Khan",Family,
Faisla,S. Ramanathan,"Saira Banu, Bindu, Vinod Khanna",,
Falak,Shashilal K. Nair,"Rakhee Gulzar, Jackie Shroff, Shekhar Kapur","Action, Crime, Drama, Family",
Ganga Tere Desh Mein,Vijay Reddi,"Raj Babbar, Dharmendra, Dimple Kapadia, Jayapradha",,
Gangaa Jamunaa Saraswathi,Manmohan Desai,"Amitabh Bachchan, Mithun Chakraborty, Jayapradha, Meenakshi Sheshadri","Action, Drama, Family, Crime, Adventure",
Ghar Aakir Ghar Hai,,"Javed Khan, Rajesh Puri",,
Ghar Ghar Ki Kahani,Kalpataru,"Govinda, Farha Naaz, Rishi Kapoor","Drama, Comedy, Family",
Ghar Mein Ram Gali Mein Shyam,Subhash Sonik,"Beena Banerjee, Rita Bhaduri, Govinda","Drama, Family, Action, Comedy",
Gharwali Baharwali,Sripathi Panditharadhyula Rajaram,"Chandrashekhar, Ramesh Deo, Satyendra Kapoor",Family,
Ghayal Sherni,,"Aruna, Jayanthi, Satyanarayana Kaikala",,
Gunahon Ka Faisla,Shibu Mitra,"Shatrughan Sinha, Dimple Kapadia, Chunky Pandey",Action,
Gunahon Ke Shatranj,Chandrakant Sangani,,,
Halaal Ki Kamai,Swaroop Kumar,"Govinda, Farha Naaz, Sonika Gill",Family,
Halla Gulla,,,,
Hamara Khandaan,Anwar Pasha,"Rishi Kapoor, Farha Naaz, Kiran Juneja","Drama, Romance",
Hatya,Kirti Kumar,"Govinda, Neelam, Raj Kiran","Action, Crime, Drama, Romance, Thriller",
Hero Hiralal,"Ketan Mehta, V.N. Menon","Naseeruddin Shah, Sanjana Kapoor, Deepa Sahi","Action, Comedy, Drama",
Hum Farishte Nahin,Jatin Kumar,"Raj Babbar, Om Puri, Deepak Seth","Action, Thriller",
Hum To Chale Pardes,Ravindra Peepat,"Rajiv Kapoor, Shashi Kapoor, Kulbhushan Kharbanda",,
Insaaf Ki Jung,,"Shafi Inamdar, Priya Tendulkar",,
Insaaf Ki Manzil,,"Bhushan Jeevan, Shekhar Suman",,
Insaniyat,,Kimi Katkar,,
Inteqam,Rajkumar Kohli,"Sunny Deol, Kimi Katkar, Anil Kapoor",,
Janam Janam,Vijay Sadanah,"Rishi Kapoor, Danny Denzongpa, Amrish Puri",,
Jawani Ki Lahren,,"Manmauji, Rakesh Pandey",,
Jeete Hain Shaan Se,Kawal Sharma,"Mithun Chakraborty, Sanjay Dutt, Govinda, Mandakini, Vijeta Pandit",Action,
Jungle Ki Beti,,"Rakesh Bedi, Joginder Shelly",,
Kaal Chakra,,"Sadashiv Amrapurkar, Madan Jain, Suresh Oberoi",,
Kab Tak Chup Rahungi,T. Prakash Rao,"Amala, Aruna Irani, Saeed Jaffrey",,
Kabrastan,Mohan Bhakri,"Hemant Birje, Kamna, Javed Khan",,
Kanoon Ki Hathkadee,K. Bapaiah,"Sridevi, Krishna, Gummadi",Action,
Kanwarlal,S.S. Ravichandra,"Arjun, Raj Babbar, Birbal",,
Kasam,Umesh Mehra,"Anil Kapoor, Poonam Dhillon",,
Kaun Jeeta Kaun Haara,Rakesh Kumar,"Amitabh Bachchan, Kishore Kumar",,
Kharidar,,"Daljit Kaur, Paresh Rawal, Sarika",,
Khatron Ke Khiladi,T. Rama Rao,"Dharmendra, Sanjay Dutt, Chunky Pandey","Action, Comedy, Crime, Drama",
Khoon Bahaa Ganga Mein,Pravin Bhatt,"Avtar Gill, Annu Kapoor, Bharat Kapoor",Action,
Khoon Bhari Maang,Rakesh Roshan,"Rekha, Kabir Bedi, Sonu Walia","Action, Drama, Thriller",
Lathi,Hrishikesh Mukherjee,,,
Maalamaal,Kewal Sharma,"Naseeruddin Shah, Poonam Dhillon, Mandakini",Comedy,
Mahakali,,"Farha Naaz, Master Rinku",,
Mahaveera,Naresh Saigal,"Krishna A.R., Salma Agha, Raj Babbar",Action,
Main Tere Liye,Vijay Anand,"Suneil Anand, Meenakshi Sheshadri, Rajendra Kumar",,
Main Zinda Hoon,Sudhir Mishra,"Rajendra Gupta, Pankaj Kapur, Deepti Naval",Drama,
Mar Mitenge,,"Jeetendra, Mithun Chakraborty, Raj Babbar, Madhavi, Bhanupriya",,
Mardangi,S.R. Pratap,"Aman Virk, Hemant Birje, Dara Singh",,
Mardon Wali Baat,Brij,"Shabana Azmi, Danny Denzongpa, Dharmendra","Adventure, Action, Comedy, Crime",
Mera Muqaddar,,"Prem Chopra, Kulbhushan Kharbanda, Tanuja",,
Mera Shikar,Keshu Ramsay,"Kabir Bedi, Dimple Kapadia, Navin Nischol",Action,
Mere Baad,Vishwamitra,"Rakhee Gulzar, Anupam Kher",Drama,
Mohabbat Ke Dushman,,"Raaj Kumar, Hema Malini, Sanjay Dutt, Farha Naaz","Action, Thriller",
Mulzim,K.S.R. Doss,"Jeetendra, Hema Malini, Amrita Singh, Kimi Katkar",,
Namumkin,Hrishikesh Mukherjee,"Raj Babbar, Vinod Mehra, Zeenat Aman","Drama, Mystery",
Om-Dar-Ba-Dar,Kamal Swaroop,"Gopi Desai, Manish Gupta, Anita Kanwar",,
Paanch Fauladi,,"Salma Agha, Raj Babbar, Birbal",,
Paap Ki Duniya,Shibu Mitra,"Sunny Deol, Neelam, Pran",Action,
Paap Ko Jalaa Kar Raakh Kar Doonga,K.R. Reddy,"Dharmendra, Govinda, Anita Raj, Farha Naaz",,
Parbat Ke Us Paar,Raman Kumar,"Rakesh Bedi, Abhinav Chaturvedi, Avtar Gill",,
Pehla Kadam,Ketan Mehta,,,
Pestonjee,Vijaya Mehta,"Shabana Azmi, Cyprus Dastoor, Dady Dustoor","Comedy, Drama",
Pyaar Mohabbat,Ajay Kashyap,"Rakhee Gulzar, Govinda, Mandakini",,
Pyaasi Atma,"Ismail Inamdar, A.K. Misra","Lalita Pawar, Rajesh Puri",,
Pyar Ka Mandir,K. Bapaiah,"Mithun Chakraborty, Madhavi, Bharat Bhushan","Drama, Family",
Qasoor Kiska,,,,
Qatil,Ashok Gaikwad,"Aditya Pancholi, Sangeeta Bijlani, Shakti Kapoor",,
Raj Dulari,Dinesh Thakur,,,
Rama O Rama,Mirza Brothers,"Raj Babbar, Kimi Katkar, Aashif Sheikh","Action, Drama, Romance",
Rihaee,Arunaraje,"Vinod Khanna, Hema Malini, Naseeruddin Shah",,
Rukhsat,Simi Garewal,"Mithun Chakraborty, Simi Garewal, Anuradha Patel",Romance,
Saazish,Rajkumar Kohli,"Raaj Kumar, Mithun Chakraborty, Dharmendra, Dimple Kapadia, Anita Raj",Action,
Sagar Sangam,Dulal Guha,"Mithun Chakraborty, Shatrughan Sinha, Padmini Kolhapure, Anita Raj",,
Sherni,Harmesh Malhotra,"Birbal, Jagdeep, Kader Khan",,
Shesh,Amit Khanna,,,
Shiv Shakti,,"Govinda, Gulshan Grover, Kimi Katkar",,
Shukriyaa,A.C. Tirilokchander,"Rajiv Kapoor, Amrita Singh, Asrani",,
Sila,B.R. Ishara,,,
Siyasat,Mahesh Bhatt,Neelam,,
Sone Pe Suhaaga,K. Bapaiah,"Jeetendra, Dharmendra, Nutan, Anil Kapoor, Poonam Dhillon, Sridevi, Kimi Katkar","Action, Family",
Tamacha,Ramesh Ahuja,"Jeetendra, Rajnikanth, Amrita Singh, Kimi Katkar, Bhanupriya","Action, Romance",
Tohfa Mohabbat Ka,Ram Govind,"Govinda, Kimi Katkar",,
Trishagni,Nabendu Ghosh,"Nana Patekar, Pallavi Joshi, Alok Nath","Historical, Drama",
Udbhav,T.S. Ranga,"Pranay Agrawal, Mamta Rao",,
Veerana,"Shyam Ramsay, Tulsi Ramsay","Hemant Birje, Jasmin, Sahila Chaddha","Action, Drama, Horror, Thriller",
Vijay,Yash Chopra,"Rajesh Khanna, Anil Kapoor, Rishi Kapoor, Raj Babbar, Hema Malini, Meenakshi Sheshadri, Sonam, Moushumi Chatterjee","Action, Drama, Romance",
Waaris,Ravindra Peepat,"Smita Patil, Amrita Singh, Raj Babbar",Drama,
Waqt Ki Awaz,K. Bapaiah,"Mithun Chakraborty, Sridevi, Neelam, Moushumi Chatterjee","Action, Crime, Drama, Romance",
Woh Phir Aayegi,B.R. Ishara,"Rajesh Khanna, Farha Naaz, Moon Moon Sen","Horror, Mystery, Thriller",
Yateem,J.P Dutta,"Sunny Deol, Farha Naaz, Danny Denzongpa",,
Yeh Pyar Nahin,,,,
Zalzala,Harish Shah,"Dharmendra, Shatrughan Sinha, Kimi Katkar, Vijeta Pandit",,
Zinda Jala Doonga,Kiran Kumar,,,
Zulm Ko Jala Doonga,Mahendra Shah,"Naseeruddin Shah, Sumeet Saigal, Suparna Anand",,
