Title,Director,Cast,Genre
Darna Mana Hai,,"Saif Ali Khan, Shilpa Shetty, Sameera Reddy, Vivek Oberoi, Sohail Khan, Aftab Shivdasani, Antara Mali, Nana Patekar, Rajpal Yadav, Isha Koppikar, Sanjay Kapoor","Horror, Thriller"
Dhoop,,"Om Puri, Revathi, Sanjay Suri",
Dhund: The Fog,,"Sameer Upadhyay, Aditi Gowitrikar",
Dil Ka Rishta,,"Arjun Rampal, Aishwarya Rai, Priyanshu Chatterjee, Isha Koppikar, Raakhee, Paresh Rawal","Drama, Romance"
Dil Pardesi Ho Gayaa,,,Romance
Dum,,"Vivek Oberoi, Diya Mirza, Atul Kulkarni","Action, Drama, Romance"
Ek Alag Mausam,,"Nandita Das, Anupam Kher",
Ek Aur Ek Gyarah,,"Sanjay Dutt, Govinda, Amrita Arora",Comedy
Ek Din 24 Ghante,Anant Balani,"Rahul Bose, Nandita Das",
Escape from Taliban,,Manisha Koirala,Drama
Final Solution,,,
Footpath,,"Aftab Shivdasani, Bipasha Basu, Emraan Hashmi, Rahul Dev,",Drama
Fun 2shh: Dudes in the 10th Century,Imtiaz Punjabi,"Gulshan Grover, Paresh Rawal, Farida Jalal",
Gangaajal,Prakash Jha,"Ajay Devgan, Gracy Singh",Drama
Ganges: River to Heaven,,,
Guru,,,
Haasil,Tigmanshu Dhulia,"Jimmy Shergill, Irrfan Khan, Hrishita Bhatt",Drama
Hawa,,"Tabu, Shahbaj khan",Horror
Hawayein,,,
The Hero: Love Story of a Spy,Anil Sharma,"Sunny Deol, Preity Zinta, Priyanka Chopra",Drama
Humein Tumse Pyar Ho Gaya Chupke Chupke,,,
Hungama,Priyadarshan,"Akshaye Khanna, Rimi Sen, Aftab Shivdasani, Rajpal Yadav, Paresh Rawal",Comedy
Indian Babu,,,
Inteha,,"Vidya Malvade, Ashmit Patel","Drama, Thriller"
Ishq Vishk,Ken Ghosh,"Shahid Kapoor, Amrita Rao",Romance
Jaal: The Trap,Guddu Dhanoa,"Sunny Deol, Tabu, Reema Sen","Action, Romance"
Jajantaram Mamantaram,,javed jaffari,
Janasheen,,"Fardeen Khan, Celina Jaitley, Firoz Khan",Thriller
Jhankaar Beats,,"Juhi Chawla, Rahul Bose, Rinke Khanna, Sanjay Suri, Riya Sen",Drama
Jism,Anurag Basu,"Bipasha Basu, John Abraham, Gulshan Grover","Drama, Romance, Thriller"
Jodi Kya Banayi Wah Wah Ramji,,,
Joggers Park,Anant Balani,"Victor Banerjee,Parijat Zorabian",
Kaash... Hamara Dil Pagal Na Hota,Mangal Anand,"Mukesh Ahuja, Chetan Aneja Nigel Borade",
Kagaar: Life on the Edge,N. Chandra,"Om Puri, Nandita Das, Amitabh Dayal",
Kahan Ho Tum,,,
Kaise Kahoon Ke... Pyaar Hai,,Sunny Deol,
Kal Ho Naa Ho,Nikhil Advani,"Shahrukh Khan, Saif Ali Khan, Preity Zinta, Jaya Bachchan, Sanjay Kapoor, Sonali Bendre","Drama, Romance, Family, Social, Comedy"
Kash Aap Hamare Hote,,"Juhi Babbar, Sonu Nigam",Romance
Kaya Poochhe Maya Se,,,
Khanjar: The Knife,Chander Sharma,"Sunil Shetty, Tabu",Action
Khel,Yusuf Khan,"Sunil Shetty, Sunny Deol, Ajay Jadeja, Celina Jaitley",Thriller
Khushi,,"Fardeen Khan, Kareena Kapoor, Amrish Puri",Romance
Khwahish,Govind Menon,"Mallika Sherawat, Himanshu Malik",Drama
Koi... Mil Gaya,Rakesh Roshan,"Rekha, Hrithik Roshan, Preity Zinta","Romance, Fantasy"
Kucch To Hai,,"Tusshar Kapoor, Esha Deol, Natassha, Yash Tonk, Rishi Kapoor, Jeetendra, Moonmoon Sen, Johny Lever",Thriller
Kuch Naa Kaho,,"Abhishek Bachchan, Aishwarya Rai, Arbaaz Khan","Drama, Romance"
Kyon?,,,
Larger Than Life,,,
LOC Kargil,J.P. Dutta,"Sunil Shetty, Sanjay Dutt, Ajay Devgan, Saif Ali Khan, Kareena Kapoor, Rani Mukerji, Abhishek Bachchan, Akshaye Khanna, Sanjay Kapoor, Manoj Bajpai, Isha Koppikar, Mahima Chaudhry, Karan Nath, Esha Deol, Raveena Tandon","War, Drama"
Love at Times Square,,Sonu Nigam,
Maa Santoshi Maa,,,
Main Madhuri Dixit Banna Chahti Hoon,,"Antara Mali, Rajpal Yadav",Comedy
Main Prem Ki Diwani Hoon,Sooraj R. Barjatya,"Hrithik Roshan, Kareena Kapoor, Abhishek Bachchan",Romance
Market,,Manisha Koirala,
Matrubhoomi: A Nation Without Women,,Tulip Joshi,Drama
Miss India: The Mystery,,,
Mudda: The Issue,,,
Mumbai Matinee,Anant Balani,"Rahul Bose,Parijat Zorabian, Anusha Dhandekar",
Mumbai Se Aaya Mera Dost,Apoorva Agnihotri,"Abhishek Bachchan, Lara Dutta",Drama
Munna Bhai M.B.B.S.,Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Gracy Singh, Jimmy Shergill, Boman Irani, Sunil Dutt",Comedy
Naag Lok,,,
Nayee Padosan,,,
October,,,
Om,,,
Oops!,Dipak Tijori,,
Out of Control,,"Ritesh Deshmukh, Hrishita Bhatt, Brande Roderick, Amrish Puri","Comedy, Romance"
Paanch,,,
Parwana,,"Ajay Devgan, Amisha Patel, Pooja Batra","Action, Drama, Thriller"
Patth,,,
Pehli Nazar Ka Pehla Pyaar: Love at First Sight,,,
Pinjar,Chandrakant Dwivedi,"Urmila Matondkar, Manoj Bajpai, Sanjay Suri, Priyanshu Chatterjee, Isha Koppikar",Drama
The Pink Mirror,,,
Pran Jaye Par Shaan Na Jaye,Sanjay Manjerekar,"Aman Verma, Rinke Khanna, Raveena Tandon, Namrata Shirodkar, Dia Mirza",Comedy
Qayamat: City Under Threat,Harry Baweja,"Ajay Devgan, Sunil Shetty, Sanjay Kapoor, Neha Dhupia, Arbaaz Khan, Raveena Tandon, Isha Koppikar, Riya Sen, Aashish Chaudhary, Chunky Pandey",Thriller
Raghu More: Bachelor of Hearts,,,
Raghu Romeo,Rajat Kapoor,,
Raja Bhaiya,,"Govinda, Arti Chhabriya",
Rasikan Re,,,
"Right Here, Right Now",,,
Rules: Pyaar Ka Superhit Formula,Parvati Balagopalan,Milind Soman,
Saaya,,"John Abraham, Tara Sharma, Mahima Chaudhry",Drama
Sala Bandar!,,,
Samay: When Time Strikes,,"Sushmita Sen, Jackie Shroff, Sushant Singh",Thriller
Sanatta: The Silence,,,
Sandhya,,,
Satta,Madhur Bhandarkar,Raveena Tandon,Drama
Satyaghath: Crime Never Pays,Priyadarshan,"Mohanlal, Mahesh Anand, Cochin Haneefa",
Shanti,,,
Sssshhh...,,,
Stumped,,,
Supari,,"Uday Chopra, Namrata Shirodkar",
Surya,,,
Tada,Sishir Mishra,,
Taj Mahal: A Monument of Love,Sanjay Khan,,
Talaash: The Hunt Begins...,Suneel Darshan,"Akshay Kumar, Kareena Kapoor",Thriller
Tareekh,,,
Tehzeeb,Khalid Mohammad,"Urmila Matondkar, Shabana Azmi, Arjun Rampal, Rishi Kapoor, Diya Mirza, Namrata Shirodkar",
Tere Naam,Satish Kaushik,"Salman Khan, Bhoomika Chawla","Drama, Romance"
Tu Bal Bramhachari Main Hoon Kanya Kunwari,,,
Tujhe Meri Kasam,,"Ritesh Deshmukh, Genelia D'souza",Romance
Tumse Milke Wrong Number,,Tinnu Anand,
Valentine Days,,,
Waisa Bhi Hota Hai Part II,,"Arshad Warsi, Sandhya Mridul, Prashant Narayanan",
Where's the Party Yaar?,,Kal Pen,
Xcuse Me,N. Chandra,"Sahil Khan, Sharman Joshi, Payal Rohatgi",Comedy
Yeh Dil,,"Tushar Kapoor, Natassha",
Zameen,Rohit Shetty,"Ajay Devgan, Abhishek Bachchan, Bipasha Basu",Thriller
