Title,Director,Cast,Genre
3 Deewarein,Nagesh Kukunoor,"Naseeruddin Shah, Jackie Shroff, Juhi Chawla",Drama
88 Antop Hill,Kushan Nandy,"Rahul Dev, Shweta Menon, Atul Kulkarni",Thriller
Aaj Ka Andha Kanoon,,Sudesh Berry,
Aanch,,"Nana Patekar, Paresh Rawal",
Aapko Pehle Bhi Kahin Dekha Hai,Anubhav Sinha,"Priyanshu Chatterji, Sakshi Shivanand, Om Puri, Farida Jalal",Romance
Aisaa Kyon,,,
Aman Ke Farishtey,,,
Andaaz,Suneel Darshan,"Akshay Kumar, Priyanka Chopra, Lara Dutta",Romance
Armaan,Honey Irani,"Amitabh Bachan, Anil Kapoor, Preity Zinta, Gracy Singh, Randhir Kapoor","Drama, Family"
Baaja,,,
Baap Ka Baap,,,
Baaz: A Bird in Danger,Tinnu Verma,"Sunil Shetty, Karisma Kapoor, Dino Morea, Jackie Shroff",Thriller
Baghban,Ravi Chopra,"Amitabh Bachchan, Hema Malini, Aman Verma, Samir Soni, Rimi Sen, Suman Ranganathan, Divya Dutta, Salman Khan, Paresh Rawal, Mahima Chaudhry",Drama
Bas Yun Hi,Raja Menon,"Nandita Das, Purab Kohli, Sameer Malhotra, Sandhya Shetty",Drama
Basti,,"Samir Soni, Faisal Khan",Action
Bhoot,Ram Gopal Varma,"Urmila Matondkar, Rekha, Ajay Devgan, Nana Patekar, Fardeen Khan",Horror
Boom,,"Amitabh Bachchan, Jackie Shroff, Katrina Kaif, Madhu Sapre, Padma Lakshmi",Thriller
Butterfly,,,
The Bypass,,,
Calcutta Mail,Sudhir mishra,"Anil Kapoor, Rani Mukerji, Manisha Koirala",Drama
Chalte Chalte,Aziz Mirza,"Shahrukh Khan, Rani Mukerji",Romance
Chokher Bali,,Aishwarya Rai,Drama
Chori Chori,Milan Luthria,"Ajay Devgan, Rani Mukerji, Sonali Bendre",Romance
Chota Jadugar,Jose Punnoose,"Suraj Balajee, S.P. Balasubramaniam, Tirlok Malik, Pooja Kumar",
Chupke Se,,"Zulfi Syed, Masumeh Makhija",
Chura Liyaa Hai Tumne,Sangeeth Sivan,"Zayed Khan, Esha Deol","Action, Drama, Romance, Thriller"
Dabdaba,,,
Danav,,,
