"Title","Director","Cast","Genre","Sources",
"Aaj Ka M.L.A. Ram Avtar","Narayana Rao Dasari","Rajesh Khanna, Shabana Azmi, Deven Verma","Action, Drama","",
"Aaj Ki Awaz","Ravi Chopra","Raj Babbar, Smita Patil, Rashmi Chauhan","Action, Drama, Crime","",
"Aakhri Sangram","Thaayillamal Naan Illai","Kamal Hassan, Madhu Malini, Rajinikanth","","",
"Aan Aur Shaan","Ravi Tandon","Rishi Kapoor, Shammi Kapoor, Ranjeet","Drama","",
"Aasmaan","Tony","Mukul Agarwal, Bhola, Birbal","","",
"Ab Ayega Mazaa","Pankaj Parashar","Ravi Baswani, Raja Bundela, Pavan Malhotra","Comedy","",
"Abodh","Hiren Nag","Mohan Choti, Sheela David, Madhuri Dixit","","",
"Akalmand","N.S. Rajbharath","Ashok Kumar, Jeetendra, Sridevi","Comedy, Romance","",
"All Rounder","Mohan Kumar","Kumar Gaurav, Rati Agnihotri","Action, Drama","",
"Anand Aur Anand","Dev Anand","Dev Anand, Suneil Anand, Raj Babbar","Family, Drama, Romance","",
"Andar Baahar","Raj N. Sippy","Beena Banerjee, Danny Denzongpa, Gulshan Grover","Action, Thriller","",
"Andhi Gali","Buddhadev Dasgupta","Deepti Naval, Mahesh Bhatt, Vikas Desai","Drama, Thriller","",
"Apna Bhi Koi Hota","Girish Ranjan","Kavita, Sunil Pandey, Seema Deo","","",
"Asha Jyoti","Narayana Rao Dasari","Rajesh Khanna, Reena Roy, Rekha","Drama, Family, Romance","",
"Aurat Ka Inteqam","B.R. Ishara","Vinod Mehra","","",
"Awaaz","Shakti Samanta","Rajesh Khanna, Jayapradha, Rakesh Roshan","Action, Crime, Drama","",
"Bad Aur Badnaam","Feroz Chinoy","Anita Raj, Shreeram Lagoo, Parveen Babi","Family, Thriller","",
"Bhavna","Pravin Bhatt","Shabana Azmi, Marc Zuber, Saeed Jaffrey","Drama","",
"Bhemaa","","Brahm Bhardwaj, Bharat Bhushan, Birbal","Action, Crime, Drama","",
"Bhooka Sher","","Manorama, Rajinikanth, Seema","Action","",
