"Title","Director","Cast","Genre","Sources",
"Bindiya Chamkegi","Tarun Dutt","Rekha, Vinod Mehra, Johnny Walker","Comedy, Family","",
"Boxer","Raj N. Sippy","Tanuja, Mithun Chakraborty, Rati Agnihotri","Action, Crime, Drama, Adventure","",
"Captain Barry","Surjit Gill","Kalpana Iyer, Mac Mohan, Priyadarshinee","","",
"Chandani Bani Chudel","R. Mittal","Vijay Solanki, Reena Kapoor, Nisha","Drama, Horror","",
"Dharm Aur Qanoon","Joshi","Rajesh Khanna, Dharmendra, Vinod Mehra","Adventure, Crime, Thriller","",
"Dhokebaaz","Chand","Ranjeeta Kaur, Amjad Khan, Prema Narayan","Action","",
"Dilawar","","Kim, Sachin","","",
"Divorce","","Sharmila Tagore, Girish Karnad, Abhi Bhattacharya","Romance, Drama","",
"Duniya","Ramesh Talwar","Dilip Kumar, Rishi Kapoor, Amrita Singh, Amrish Puri, Pran","","",
"Ek Nai Paheli","K. Balachander","Raaj Kumar, Hema Malini, Kamal Hassan","","",
"Ek Naya Itihas","","Satyendra Kapoor, Hema Malini, Vinod Mehra","","",
"Ek Swaal Munni Ka","Balwant Dullat","","","",
"Farishta","Sunil Sikand","Ashok Kumar, Kanwaljit Singh, Smita Patil, Pran","Drama","",
"Gangvaa","Rajasekhar","Rajinikanth, Shabana Azmi, Sarika","Action","",
"Ghar Ek Mandir","K. Bapaiah","Shashi Kapoor, Moushumi Chatterjee, Mithun Chakraborty","","",
"Giddh: The Vulture","T.S. Ranga","Om Puri, Smita Patil, Nana Patekar","Drama","",
"Grahasthi","Prashant Nanda","Yogeeta Bali, Bharat Bhushan, Ramesh Deo","","",
"Haisiyat","Narayana Rao Dasari","Jeetendra, Jayapradha, Pran","Crime, Drama, Family","",
"Hanste Khelte","Dayanand","Mithun Chakraborty, Vijayendra Ghatge, Jagdeep","Crime","",
"Hip Hip Hurray","Prakash Jha","Satish Anand, Ram Gopal Bajaj, Nikhil Bhagat","","",
"Holi","Ketan Mehta","Aamir Khan, Ashutosh Gowariker","","",
"Hum Do Hamare Do","B. Aar. Ishara","Raj Babbar, Smita Patil, Shoma Anand","Drama, Family","",
"Hum Hain Lajawaab","Mohan Segal","Kumar Gaurav, Padmini Kolhapure, Monty Nath","Action, Comedy, Drama, Family, Romance","",
"Hum Rahe Na Hum","Chetan Anand, Ketan Anand","Vijay Anand, Shabana Azmi, Rehana Sultan","","",
"Inquilaab","T. Rama Rao","Amitabh Bachchan, Sridevi, Sunil Dutt","Action, Drama","",
"Inquilab Ke Baad","Utpal Dutt","Utpal Dutt, Robi Ghosh","","",
"Insaaf Kaun Karega","Sudarshan Nag","Dharmendra, Rajinikanth, Jayapradha","","",
"Inteha","Shibu Mitra","Raj Babbar, Reena Roy, Shakti Kapoor","Drama, Family","",
"Jaag Utha Insan","K. Vishwanathan","Deven Verma, Sujit Kumar, Beena Banerjee","Drama, Family","",
"Jagir","Pramod Chakravorty","Dharmendra, Mithun Chakraborty, Zeenat Aman, Pran","Action, Crime, Drama","",
"Jawaani","Ramesh Behl","Karan Shah, Neelam, Moushumi Chatterjee","Romance, Drama","",
"Jeene Nahi Doonga","Rajkumar Kohli","Dharmendra, Shatrughan Sinha, Raj Babbar","Action","",
"John Jani Janardhan","T. Rama Rao","Rajinikanth, Rati Agnihotri, Poonam Dhillon","Action, Comedy, Romance","",
"Jhutha Sach","Esmayeel Shroff","Dharmendra, Rekha, Amrish Puri","Drama, Family","",
"Kaamyaab","K. Raghavendra Rao","Asrani, Shabana Azmi, Rita Bhaduri","","",
"Kahan Tak Aasmaan Hai","Mehmood Kureshi","","","",
"Kamla","Jag Mundhra","Shabana Azmi, Deepti Naval, Marc Zuber","Drama","",
"Kanoon Kya Karega","Mukul Anand","Suresh Oberoi, Deepti Naval, Iftekhar","Thriller","",
"Kanoon Meri Mutthi Mein","K. Prasad","Raj Babbar, Smita Patil, Kader Khan","Action","",
"Karishmaa","I.V. Sasi","Reena Roy, Kamal Hassan, Tina Munim","Thriller","",
"Kasam Paida Karne Wale Ki","B. Subhash","Mithun Chakraborty, Smita Patil, Salma Agha","Action, Family","",
"Khandhar","Mrinal Sen","Shabana Azmi, Annu Kapoor, Pankaj Kapur","Drama","",
"Laila","Saawan Kumar","Sunil Dutt, Poonam Dhillon, Anil Kapoor, Pran","Musical, Romance","",
"Lakhon Ki Baat","Basu Chatterji","Sanjeev Kumar, Farooq Shaikh, Anita Raj","Comedy, Romance, Musical","",
"Lorie","Vijay Talwar","Shabana Azmi, Farooq Shaikh, Swaroop Sampat","Drama, Crime, Family","",
"Love Marriage","Mehul Kumar","Asrani, Master Bhagwan, C.S. Dubey","","",
"Maan Maryada","R.P. Swamy","Sadashiv Amrapurkar, Birbal, Gajanan Jagirdar","Action","",
"Maati Maangey Khoon","Raj Khosla","Shatrughan Sinha, Raj Babbar, Rekha","Action, Thriller","",
"Maqsad","K. Bapaiah","Rajesh Khanna, Jeetendra, Jayapradha","Action, Crime, Musical","",
"Mashaal","Yash Chopra","Dilip Kumar, Anil Kapoor, Rati Agnihotri, Waheeda Rehman & Amrish Puri","","",
"Maya Bazaar","Babubhai Mistri","Dara Singh, Rakesh Pandey, Rita Bhaduri","","",
"Meraa Dost Meraa Dushman","Raj Khosla","Shatrughan Sinha, Smita Patil, Geeta Behl","Action","",
"Mera Faisla","S.V. Rajendra Singh","Sanjay Dutt, Rati Agnihotri, Jayapradha, Pran","","",
"Meri Adalat","A.T. Raghu","Rajinikanth, Sonia Sahni, Kader Khan","Action, Thriller","",
"Mohabbat Ki Aag","","","","",
"Mohan Joshi Hazir Ho!","Saeed Akhtar Mirza","Salim Ghouse, Mohan Gokhale, Rohini Hattangadi","","",
"Mujhe Shakti Do","","Vinod Mehra","","",
"My Dear Kuttichaathan","Jijo","Alummoodan, Arvind","Action, Comedy, Adventure, Family, Fantasy","",
"Nadaniyan","","Prem Krishan","","",
"Naya Kadam","K. Raghavendra Rao","Rajesh Khanna, Padmini Kolhapure, Sridevi","Family, Romance, Drama","",
"Paapi Pet Ka Sawaal Hai","Sohanlal Kanwar","Rajesh Khanna, Jayapradha, Shatrughan Sinha","","",
"Paar","Goutam Ghose","Naseeruddin Shah, Shabana Azmi, Utpal Dutt","Drama","",
"Pakhandi","Samir Ganguly","Shashi Kapoor, Sanjeev Kumar, Zeenat Aman","","",
"Paroma","Aparna Sen","Rakhee Gulzar, Aparna Sen, Mukul Sharma","Drama","",
"Party","Govind Nihalani","Deepa Sahi, Ila Arun, Mohan Bhandari","Drama","",
"Pavitra Ganga","H.N. Reddy","Nirupa Roy","","",
"Pet Pyaar Aur Paap","Durai","Raj Babbar, Smita Patil, Tanuja","Drama, Family","",
"Phulwari","Mukul Dutt","Debashree Roy, Shashi Puri, Ashok Saraf","Drama, Family","",
"Preet Na Jane Reet","","Bharat Kapoor","","",
"Purana Mandir","Shyam Ramsay, Tulsi Ramsay","Mohnish Bahl, Arti Gupta, Puneet Issar","Comedy, Drama, Horror","",
"Pyasa Shaitan","Joginder","Kamal Hassan, Joginder Shelly, Madhu Malhotra","Horror","",
"Qaidi","","Asrani, Urmila Bhatt, Bharat Bhushan","","",
"Raaj Tilak","Rajkumar Kohli","Dharmendra, Hema Malini, Pran","Action, Drama","",
"Raavan","Johny Bakshi","Smita Patil, Vikram, Gulshan Arora","Drama, Family","",
"Raja Aur Rana","Shibu Mitra","Ajit, Chandrashekhar, Mohan Choti, Pran","Action, Comedy, Crime, Drama","",
"Rakta Bandhan","Rajat Rakshit","Rati Agnihotri, Birbal, Mithun Chakraborty","Action, Comedy, Crime, Drama","",
"Ram Ki Ganga","haran K. Chand","Brahm Bhardwaj, Bindu, Birbal","Drama","",
"Ram Tera Desh","Swaroop Kumar","Hema Malini, Ashok Kumar, Vijayendra Ghatge","","",
"Saaransh","Mahesh Bhatt","Anupam Kher, Rohini Hattangadi, Soni Razdan, Madan Jain","","",
"Sasural","","Dina Pathak, Sadhana Singh","","",
"Shapath","Ravikant Nagaich","Raj Babbar, Smita Patil, Ranjeet","Action","",
"Sharaabi","Prakash Mehra","Amitabh Bachchan, Jaya Prada, Pran","","",
"Sheeshay Ka Ghar","Amit Khanna","Raj Babbar, Vikas Desai, Padmini Kolhapure","","",
"Sharara","S.V. Rajendra Singh","Mithun Chakraborty, Kader Khan, Raaj Kumar","","",
"Shravan Kumar","Chandrakant","Chandrima Bhaduri, Abhi Bhattacharya, Bharat Bhushan","","",
"Sohni Mahiwal","Umesh Mehra, Latif Faiziyev","Sunny Deol, Poonam Dhillon, Pran, Zeenat Aman","Action, Adventure, Drama, Romance, Family","",
"Sunny","Raj Khosla","Master Bhagwan, Sunny Deol, Dharmendra","","",
"Tarang","Kumar Shahani","Jeetendra, Rekha, Moushumi Chatterjee","Drama, Family","",
"Tarkeeb","Ravikant Nagaich","Mithun Chakraborty, Shakti Kapoor, Ranjeeta Kaur","","",
"Taru","Ram Mohan","","Animation","",
"Tere Mere Beech Mein","Dada Kondke","Jayshree T.","Comedy, Drama, Romance","",
"Teri Bahon Mein","Umesh Mehra","Mohnish Bahl, Ayesha Shroff, Navin Nischol","Romance","",
"The Gold Medal","Ravikant Nagaich","Dharmendra, Bindu, Jeetendra","","",
"Tohfa","Raghavendra Rao","Jeetendra, Sridevi, Jaya Prada","","",
"Unchi Uraan","Jagjit Khurana","Suresh Chatwal, P. Jairaj, Javed Khan","Drama, Romance","",
"Utsav","Girish Karnad","Rekha, Amjad Khan, Kulbhushan Kharbanda","Drama","",
"Wanted: Dead or Alive","Ambrish Sangal","Mithun Chakraborty, Tina Munim","Action, Crime, Drama","",
"Waqt Ki Pukar","Desh Gautam","Shoma Anand, Yogeeta Bali, Vijayendra Ghatge","","",
"Waqt Se Pehle","Govind Saraiya","","","",
"Yaadgaar","Dasari Narayana Rao","Sanjeev Kumar, Kamal Hassan, Poonam Dhillon","Action, Comedy, Drama","",
"Yaadon Ki Zanjeer","Shibu Mitra","Sunil Dutt, Shashi Kapoor, Reena Roy","","",
"Yahan Wahan","Rajat Rakshit","Aruna Irani, Jagdeep, Surinder Kaur","","",
"Yeh Desh","Rama Rao Tatineni","Zeenat Aman, Kamal Hassan, Jeetendra","Action, Drama","",
"Yeh Ishq Nahin Aasaan","Tinnu Anand","Rishi Kapoor, Padmini Kolhapure, Asrani","Romance","",
"Yeh Kahani Nahi","Biplab Roy Chowdhury","","","",
"Zakhmi Sher","Narayana Rao Dasari","Jeetendra, Dimple Kapadia, Amrish Puri","Action, Thriller","",
"Zameen Aasmaan","Bharat Rangachary","Shashi Kapoor, Sanjay Dutt, Rekha","","",
"Zindagi Jeene Ke Liye","K.S. Sethu Madhavan","Rakhee Gulzar, Suresh Oberoi, Vijay Arora","","",
