Title,Genre,Director,Cast
Shirin Farhad Ki Toh Nikal Padi,"Romance, Comedy",Bela Sehgal,"Boman Irani, Farah Khan[57]"
Joker,Drama,Shirish Kunder,"Akshay Kumar, Sonakshi Sinha, Shreyas Talpade, Minnisha Lamba[58]"
Jalpari: The Desert Mermaid,"Thriller, Social",Nila Madhab Panda,"Rahul Singh, Suhasini Mulay, Lehar Khan, Harsh Mayar, Tannishtha Chatterjee, Parvin Dabas"
From Sydney with Love,Romance,Prateek Chakravorty,"Sharad Malhotra, Karan Sagoo, Evelyn Sharma[59]"
I M 24,Comedy,Saurabh Shukla,"Ranvir Shorey, Neha Dhupia, Saurabh Shukla, Rajat Kapoor, Karan Singh Grover, Manjari Fadnis"
Raaz 3,"Adult, Suspense, Thriller",Vikram Bhatt,"Emraan Hashmi, Bipasha Basu, Esha Gupta[60]"
Chal Pichchur Banate Hain,Comedy,Pritish Chakraborty,"Rahil Tandon, Bhavna Ruparel[61]"
Barfi!,"Romance, Comedy",Anurag Basu,"Ranbir Kapoor, Priyanka Chopra, Ileana D'Cruz[62]"
Jeena Hai Toh Thok Daal,Drama,Manish Vatsalya,"Ravi Kissen, Yashpal Sharma, Govind Namdev, Hazel, Sharat Saxena[63]"
Heroine,"Adult, Drama",Madhur Bhandarkar,"Kareena Kapoor, Arjun Rampal, Randeep Hooda, Mugdha Godse, Rakesh Bapat, Divya Dutta[64]"
Kamaal Dhamaal Malamaal,Comedy,Priyadarshan,"Paresh Rawal, Om Puri, Nana Patekar, Shreyas Talpade, Rajpal Yadav, Madhurima[65]"
Oh My God,Comedy,Umesh Shukla,"Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Lubna Salim [66]"
English Vinglish,Drama,Gauri Shinde,"Sridevi, Priya Anand, Mehdi Nebbou, Amitabh Bachchan[67]"
Kismet Love Paisa Dilli,Comedy,Sanjay Khanduri,"Vivek Oberoi, Mallika Sherawat[68]"
Aiyyaa,"Romance, Comedy",Sachin Kundalkar,"Rani Mukerji, Prithviraj Sukumaran[69]"
Makkhi,"Action, Fantasy",S S Rajamouli,"Sudeep, Nani, Samantha[70]"
Login,"Drama, Thriller",Sanjeev Reddy,"Himansu Bhatt, Radhika Roy, Akkash Basant, Rashmi Gautam, Nandini Rai,[71]"
Chittagong (film),Drama,Bedabrata Pain,"Manoj Bajpai, Vega Tamotia, Nawazuddin Siddiqui, Barry John[72]"
Bhoot Returns,Horror,Ram Gopal Verma,"Manisha Koirala, J. D. Chakravarthy[73]"
Student Of The Year,"Romance, Comedy",Karan Johar,"Siddharth Malhotra, Alia Bhatt, Varun Dhawan, Rishi Kapoor[74]"
Delhi Safari,Animation,Nikhil Advani,"Voice-Over By Akshaye Khanna, Suniel Shetty, Urmila Matondkar, Boman Irani, Govinda, Swini Khara[75]"
Chakravyuh,"Political, Thriller",Prakash Jha,"Arjun Rampal, Abhay Deol, Esha Gupta, Manoj Bajpai, Kabir Bedi[76]"
Ajab Gazabb Love,Comedy,Sanjay Gadhvi,"Jackky Bhagnani, Nidhi Subbaiah, Arjun Rampal, Darshan Jariwala, Kirron Kher[77]"
Rush,"Thriller, Crime","Shamin Desai, Priyanka Desai","Emraan Hashmi, Neha Dhupia, Sagarika Ghatge, Aditya Pancholi[78]"
Luv Shuv Tey Chicken Khurana,Comedy,Sameer Sharma,"Kunal Kapoor, Huma Qureshi[79]"
1920 - Evil Returns,Horror,Bhushan Patel,"Aftab Shivdasani, Tia Bajpai, Vidya Malvade[80]"
Ata Pata Laapata,"Musical, Comedy",Rajpal Yadav,"Rajpal Yadav, Ashutosh Rana, Asrani[81]"
Sons Of Ram,"Animation, Drama, Children",Kushal Ruia,"Voice over by Sunidhi Chauhan, Aditya Kapadia, Devansh Doshi, Saptharishi Ghosh[82]"
Future To Bright Hai Ji,Drama,Sanjay Amar,"Aamir Bashir, Sonal Sehgal, Satish Kaushik[83]"
Jab Tak Hai Jaan,"Romance, Drama",Yash Chopra,"Shahrukh Khan, Katrina Kaif, Anushka Sharma[84]"
Son Of Sardaar,Comedy,Ashwni Dhir,"Ajay Devgn, Sonakshi Sinha, Sanjay Dutt, Juhi Chawla[85]"
Talaash,"Drama, Suspense",Reema Kagti,"Aamir Khan, Rani Mukerji, Kareena Kapoor, Nawazuddin Siddiqui[86]"
Khiladi 786,"Action, Comedy",Ashish R Mohan,"Akshay Kumar, Asin Thottumkal, Mithun Chakraborty, Raj Babbar, Himesh Reshammiya, Paresh Rawal[87]"
Cigarette Ki Tarah,"Drama, Thriller",Akashaditya Lama,"Bhoop Yaduvanshi, Prashant Narayanan, Madhurima Tuli, Sudesh Berry,[88]"
Dabangg 2,"Action, Comedy",Arbaaz Khan,"Salman Khan, Sonakshi Sinha, Arbaaz Khan, Prakash Raj, Vinod Khanna[89]"
