"Title","Director","Cast","Genre","Sources",
"Aao Pyaar Karen","Prakash Mehra","Benjamin Gilani, Radhika Barkatke, Amrit Patel","Romance","",
"Achha Bura","Hrishikesh Mukherjee","Raj Babbar, Anita Raj, Amjad Khan","Bollywood, World Cinema","",
"Agar Tum Na Hote","Lekh Tandon","Rajesh Khanna, Rekha, Raj Babbar","Drama, Family","",
"Agent 123","Gita Priya","Baby Indira, Master Ram Krishna, Bhanu Prakash","Thriller","",
"Andha Kanoon","T. Rama Rao","Rajnikanth, Hema Malini, Reena Roy, Amitabh Bachchan, Pran","Drama","",
"Ardh Satya","Govind Nihalani","Om Puri, Smita Patil, Amrish Puri, Sadashiv Amrapurkar","Crime, Drama","",
"Arohan","Shyam Benegal","Victor Banerjee, Noni Ganguly, Pankaj Kapur","Drama","",
"Arpan","J. Om Prakash","Jeetendra, Reena Roy, Parveen Babi","Drama, Family","",
"Ashray","Biplab Roy Chowdhury","","","",
"Avtaar","Mohan Kumar","Rajesh Khanna, Shabana Azmi, Sachin, Gulshan Grover, A. K. Hangal","Family, Drama","",
"Bade Dil Wala","Bhappi Sonie","Rishi Kapoor, Tina Munim, Sarika, Pran","Drama, Action, Crime, Family, Romance","",
"Bandhan Kuchchey Dhaagon Ka","Anil Sharma","Shashi Kapoor, Zeenat Aman, Rakhee Gulzar","Drama, Family","",
"Bekaraar","Rajendra Prasad V.B.","Asrani, Mohnish Bahl, Mohan Choti","","",
"Bekhabar","Kedar Kapoor","","","",
"Betaab","Rahul Rawail","Sunny Deol, Amrita Singh, Shammi Kapoor, Prem Chopra","Romance","",
"Chatpati","V. Ravindra","Smita Patil, Raj Kiran, Reema Lagoo","Comedy","",
"Chor Police","Amjad Khan","Shatrughan Sinha, Parveen Babi, Vinod Mehra, Shakti Kapoor, Ashok Kumar","Action, Crime, Drama","",
"Coolie","Manmohan Desai","Amitabh Bachchan, Waheeda Rehman, Rishi Kapoor, Rati Agnihotri, Kadar Khan","Action","",
"Dard-E-Dil","Suraj Prakash","Mukesh Khanna, Zarina Wahab, Shashikala","Action","",
"Daulat Ke Dushman","Bimal Rawal","Shatrughan Sinha, Vinod Khanna, Manjushree, Pran","Action","",
"Dhat Tere... Ki","Meraj","Ravi Baswani, Abhi Bhattacharya, Akhil Mishra","","",
"Do Gulab","Durai","Vijay Arora, Rakesh Bedi, Dilip Dhawan","Drama, Romance","",
"Doosri Dulhan","Lekh Tandon","Victor Banerjee, Sharmila Tagore, Shabana Azmi","Drama, Family","",
"Du-Janay","Ardhendu Chatterjee","","","",
"Ek Baar Chale Aao","Jagdish Saldanah","Farooq Shaikh, Deepti Naval, Girish Karnad","","",
"Ek Din Bahu Ka","Desh Gautam","Vijay Arora, Saeed Jaffrey, Suresh Oberoi","Drama","",
