"Title","Director","Cast","Genre","Sources",
"Ek Jaan Hain Hum","Rajiv Mehra","Rakesh Bedi, Avtar Gill, Gulshan Grover, Pran","Family, Romance","",
"Faraib","Rajat Rakshit","Mithun Chakraborty, Ranjeeta Kaur","","",
"Fareb","Tej Sapru","","","",
"Film Hi Film","Hiren Nag","Pran, Ramesh Deo, Seema Deo","Comedy, Drama, Musical, Romance","",
"Ganga Meri Maa","Shyam Ralhan","Danny Denzongpa, Iftekhar, Sujit Kumar","","",
"Gehri Chot: Urf - Door-Desh","Ambrish Sangal","Shashi Kapoor, Sharmila Tagore, Parveen Babi, Raj Babbar, Nadeem","Action, Crime, Drama","",
"Ghungroo","Ram Sethi","Smita Patil, Shashi Kapoor, Kunal Goswami","Family","",
"Godam","Dilip Chitre","Satyadev Dubey, K.K. Raina, Trupti","Drama","",
"Greed","Shankar Nag","Vinod Mehra","","",
"Haadsaa","Akbar Khan","Akbar Khan, Ranjeeta Kaur, Smita Patil","Action, Thriller","",
"Hero","Subhash Ghai","Jackie Shroff, Meenakshi Sheshadri, Shammi Kapoor","Action","",
"Himmatwala","T. Rama Rao","Jeetendra, Sridevi","Drama","",
"Hum Se Hai Zamana","Deepak Bahry","Zeenat Aman, Major Anand, Beena Bawa","","",
"Humse Na Jeeta Koi","Shibu Mitra","Shoma Anand, Birbal, Mohan Choti","","",
"Jaane Bhi Do Yaaro","Kundan Shah","Naseeruddin Shah, Om Puri, Ravi Baswani","Comedy","",
"Jaani Dost","K. Raghavendra Rao","Dharmendra, Jeetendra, Parveen Babi, Sridevi","Action, Comedy, Crime, Drama, Romance","",
"Jaanwar","Ali Raza","Rajesh Khanna, Zeenat Aman, Pradeep Kumar, Pran","Action, Drama","",
"Jai Baba Amarnath","B.R. Ishara","Mohan Choti, Vikram","","",
"Jeet Hamaari","R. Thyagarajan","Rakesh Roshan, Rajnikanth, Ranjeeta Kaur","Action","",
"Jeevan Sukh","","Praveen Paul","","",
"Justice Chaudhury","K. Raghavendra Rao","Jeetendra, Hema Malini, Sridevi","Action, Drama, Family, Comedy","",
"Kaise Kaise Log","D.S. Azad","Rohini Hattangadi, Ayesha Jhulka, Goga Kapoor","","",
"Kalaakaar","P. Sambasiva Rao","Kunal Goswami, Sridevi, Rakesh Bedi","Family, Romance","",
"Kalka","","Mazhar Khan, Paintal, Shatrughan Sinha","","",
"Karate","Deb Mukherjee","Mithun Chakraborty, Deb Mukherjee, Mazhar Khan, Yogeeta Bali, Kaajol Kiran","Action","",
"Kashmira","Sukhdev Ahluwalia","","","",
"Katha","Sai Paranjape","Naseeruddin Shah, Farooq Shaikh, Deepti Naval","Comedy, Drama","",
"Kaun? Kaisey?","","Bina, Ardhendu Bose, Mithun Chakraborty","Crime","",
"Kaya Palat","Satyen Bose","Ashok Kumar","","",
"Kissi Se Na Kehna","Hrishikesh Mukherjee","Farooq Shaikh, Deepti Naval, Utpal Dutt","Comedy","",
"Lalach","Shankar Nag","Vinod Mehra, Bindiya Goswami, Ranjeet, Pran","","",
"Lal Chunariyaa","Sudarshan Lal","Minaxi Anand, Mithun Chakraborty, Dulari","Action, Drama","",
"Lovers","Bharathi Raja","Kumar Gaurav, Padmini Kolhapure, Rakesh Bedi","Comedy, Drama, Romance","",
"Love in Goa","Hersh Kohli","Ashok Kumar, Om Prakash, Mayur Verma","","",
"Mahaan","S. Ramanathan","Amitabh Bachchan, Waheeda Rehman, Parveen Babi, Zeenat Aman, Amjad Khan, Shakti Kapoor","Action, Drama","",
"Main Awara Hoon","Ashim S. Samanta","Sanjay Dutt, Raj Babbar, Jayapradha","Drama, Family","",
"Mandi","Shyam Benegal","Shabana Azmi, Smita Patil, Naseeruddin Shah","Comedy, Drama","",
"Mangal Pandey","Harmesh Malhotra","Ranjit Sood, Ajit Khan, Harbans Darshan M. Arora","Action, Crime, Thriller, Drama","",
"Masoom","Shekhar Kapur","Naseeruddin Shah, Shabana Azmi, Urmila Matondkar, Jugal Hansraj","Drama","",
"Mawaali","T. Rama Rao","Jeetendra, Sridevi, Jayapradha, Kadar Khan, Prem Chopra, Shakti Kapoor","Drama","",
"Mazdoor","Ravi Chopra","Dilip Kumar, Raj Babbar, Padmini Kolhapure, Rati Agnihotri","Drama","",
"Mehndi","Asit Sen","Vinod Mehra, Raj Babbar, Ranjeeta Kaur","","",
"Mujhe Insaaf Chahiye","T. Rama Rao","Mithun Chakraborty, Rekha, Rati Agnihotri","Drama","",
"Mujhe Vachan Do","Shibu Mitra","","","",
"Nastik","Pramod Chakravorty","Amitabh Bachchan, Hema Malini, Pran","Action","",
"Naukar Biwi Ka","Rajkumar Kohli","Dharmendra, Reena Roy, Pran, Raj Babbar, Anita Raj, Om Prakash","Drama","",
"Nishaan","Surendra Mohan, Late Shri Sikander Khanna","Rajesh Khanna, Jeetendra, Rekha","Action, Drama, Family, Musical, Romance","",
"Painter Babu","Ashok","Rajiv Goswami, Meenakshi Sheshadri, Neelima","Romance","",
"Pasand Apni Apni","Basu Chatterji","Mithun Chakraborty, Rati Agnihotri, Utpal Dutt","Comedy","",
"Prem Tapasya","Dasari Narayana Rao","Jeetendra, Rekha, Reena Roy","Drama, Family","",
"Pukar","Ramesh Behl","Amitabh Bachchan, Randhir Kapoor, Zeenat Aman, Tina Munim","Drama","",
"Pyaasi Aankhen","Ram Kelkar","Shabana Azmi, Amol Palekar, Waheeda Rehman","","",
"Qayamat","Raj Sippy","Dharmendra, Shatrughan Sinha, Jayapradha","Action, Drama","",
"Raaste Aur Rishte","","Mazhar Khan, Priyadarshinee","","",
"Rachna","Sathish","Beena Banerjee, Jezebel, Anil Kapoor","Family","",
"Rang Birangi","Hrishikesh Mukherjee","Amol Palekar, Parveen Babi, Farooq Shaikh","Comedy","",
"Rishta Kagaz Ka","Ajay Goel","Nutan, Raj Babbar, Rati Agnihotri","Drama, Musical","",
"Romance","Ramanand Sagar","Shammi Kapoor, Kumar Gaurav, Poonam Dhillon","Romance","",
"Sadma","Balu Mahendra","Kamal Hassan, Sridevi, Gulshan Grover, Silk Smitha","Romance","",
"Sant Ravidas Ki Amar Kahani","Babubhai Mistri","","","",
"Sati Naag Kanya","Babubhai Mistri","Neera, Vikram Gokhale, Manher Desai","Drama, Adventure, Action, Fantasy","",
"Shubh Kaamna","K. Vishwanath","Rati Agnihotri, Asrani, Utpal Dutt","Comedy, Drama","",
"Sookha","M.S. Sathyu","Anant Nag","","",
"Souten","Sawan Kumar Tak","Rajesh Khanna, Padmini Kolhapure, Tina Munim, Prem Chopra, Pran","","",
"Sun Meri Laila","Chander Bahl","Birbal, Deepika, Iftekhar","Romance","",
"Sweekar Kiya Maine","Zaheer D. Lari","Vinod Mehra, Shabana Azmi, Prema Narayan","Comedy, Drama","",
"Talabandi","Sunil Chadha","Neelam Mehra, Javed Khan, Pushpa Soni","Action","",
"Taqdeer","Birj","Shatrughan Sinha, Mithun Chakraborty, Hema Malini, Zeenat Aman","Action, Crime, Drama, Romance","",
"Tum Laut Aao","Bhimsain","Ravi Baswani, Kavita Chaudhary, Karan Razdan","","",
"Woh Jo Hasina","Deepak Bahry","Mithun Chakraborty, Ranjeeta Kaur, Pran","Romance","",
"Woh Saat Din","Bapu","Anil Kapoor, Padmini Kolhapure, Naseeruddin Shah, Master Raju","Drama","",
"Yahan Se Shehar Ko Dekho","Mahendra Sandhu","","","",
"Zakhmi Dil","B.S. Shaad","Dharmendra, Daljit Kaur, Manorama","","",
"Zara Si Zindagi","K. Balachander","Kamal Hassan, Anita Raj, Nilu Phule","Drama, Family","",
"Zulf Ke Saye Saye","Anand Sagar","","","",
