Title,Director,Cast,Genre,Sources
Aaj Ki Dhara,Mukul Dutt,"Danny Denzongpa, Waheeda Rehman, Rehana Sultan",Drama,
Aakhri Kasam,Dinesh-Ramanesh,"Kabir Bedi, Om Shivpuri, Vinod Mehra, Yogeeta Bali",,
Aangan Ki Kali,Harsh Kohli,"Geeta Khanna, Lakshmi Narayan, Prema Narayan, Rakesh Roshan",,
Aatish,Ambrish Sangal,"Mumtaz Begum, Brahm Bhardwaj, Birbal, Leena Das, Jeetendra",,
Ahimsa,Chand,"Sunil Dutt, Rekha, Ranjeet, Rajendra Nath",Action,
Ahsaas,Surinder Suri,"Shashi Kapoor, Simi Garewal, Amjad Khan, Bindu, Simple Kapadia, Shammi Kapoor",,
Aladdin and the Wonderful Lamp,I.V. Sasi,"Kamal Hassan, Rajnikanth, Srividya",,
Amar Deep,"R. Krishnamurthy, K. Vijayan","Rajesh Khanna, Vinod Mehra","Romantic, Drama",
Atmaram,Sohanlal Kanwar,"Farida, Bindiya Goswami, Aruna Irani, Amjad Khan, Pran",Family,
Aur Kaun?,"Shyam Ramsay, Tulsi Ramsay","Roopesh Kumar, Madan Puri, Sachin, Om Shivpuri",Horror,
Bagula Bhagat,,,,
Baton Baton Mein,Basu Chatterjee,"Amol Palekar, Tina Munim, Asrani, Pearl Padamsee, Tun Tun, Mazhar Khan",Comedy,
Bhayaanak,S. U. Saiyed,Mithun Chakraborty,Horror,
Bin Phere Hum Tere,Rajat Rakshit,"Asha Parekh, Vinod Mehra, Sarika, Nazneen, Kamal Kapoor",Drama,
Bombay by Nite,A. Shamsheer,"Ramesh Deo, Prithviraj Kapoor, Sanjeev Kumar",,
Chambal Ki Rani,Radhakant,"Mahendra Sandhu, Dara Singh, Chand Usmani, Amjad Khan","Crime, Action",
Cinema Cinema,Krishna Shah,"Amitabh Bachchan, Zeenat Aman, Dharmendra, Hema Malini",Documentary,
Dada,Jugal Kishore,"Vinod Mehra, Bindiya Goswami, Jeevan, Amjad Khan","Action, Drama, Family",
Dhongee,,Randhir Kapoor,,
Dil Kaa Heera,,"Dharmendra, Hema Malini","Action, Thriller",
Do Ladke Dono Kadke,Basu Chatterjee,"Amol Palekar, Asrani, Moushumi Chatterjee",Comedy,
Do Shikaari,Kuljit Pal,"Vinod Khanna, Biswajeet, Rekha, Amjad Khan",Action,
Dooriyaan,Bhimsain,"Uttam Kumar, Sharmila Tagore, Shreeram Lagoo",Drama,
Duniya Meri Jeb Mein,,"Shashi Kapoor, Rishi Kapoor, Neetu Singh",,
Ganga Bhavani,T. Prakash Rao,Gummadi,Drama,
Gautam Govinda,,"Shashi Kapoor, Shatrughan Sinha",,
Ghar Ki Laaj,B. R. Ishara,"Sanjeev Kumar, Moushumi Chatterjee",Drama,
Gol Maal,Hrishikesh Mukherjee,"Amol Palekar, Utpal Dutt",Comedy,
Gopal Krishna,Vijay Sharma,"Sachin, Zarina Wahab",Romance,
The Great Gambler,,"Amitabh Bachchan, Zeenat Aman, Neetu Singh",Action,
Griha Pravesh,Basu Bhattacharya,"Sanjeev Kumar, Sharmila Tagore, Sarika",Romance,
Hamare Tumhare,Umesh Mehra,"Sanjeev Kumar, Raakhee, Amjad Khan, Prem Krishen, Anil Kapoor, Lucky Ali, Amrish Puri",Romance,
Har Har Gange,Babubhai Mistri,"Ashish Kumar, Anjana Mumtaz, Vikram Gokhale","Fantasy, Drama",
Heera-Moti,,"Shatrughan Sinha, Reena Roy, Danny Denzongpa",Action,
Hum Tere Ashiq Hain,Prem Sagar,"Jeetendra, Hema Malini, Amjad Khan",Romance,
Jaan-E-Bahaar,Prakash Kapur,"Sachin, Sarika",Romance,
Jaandaar,S. K. Luthra,"Jeetendra, Vinod Mehra, Bindiya Goswami, Asrani, Aruna Irani",Drama,
Jaani Dushman,Nishi Films,"Sunil Dutt, Sanjeev Kumar, Reena Roy, Shatrughan Sinha, Rekha, Vinod Mehra, Jeetendra, Neetu Singh",Horror,
Janata Havaldar,,"Rajesh Khanna, Hema Malini, Yogita Bali",Romance,
Jeena Yahan,Basu Chatterjee,"Amol Palekar, Shekar Kapur, Shabana Azmi",Romance,
Jhoota Kahin Ka,,"Rishi Kapoor, Neetu Singh, Rakesh Roshan",Romance,
Jurmana,,"Amitabh Bachchan, Rakhee Gulzar, Vinod Mehra",Romance,
Kaala Patthar,Yash Chopra,"Shashi Kapoor, Raakhee, Amitabh Bachchan, Shatrughan Sinha",Action,
Kartavya,Mohan Sehgal,"Dharmendra, Rekha, Vinod Mehra",,
Khandan,Anil Ganguly,"Jeetendra, Bindiya Goswami, Nirupa Roy","Family, Drama",
Lahu Ke Do Rang,Mahesh Bhatt,"Vinod Khanna, Shabana Azmi",Romance,
Lakhan,,"Navin Nischol, Padma Khanna, Ranjeeta Kaur",Drama,
Lok Parlok,Tatineni Rama Rao,"Jeetendra, Jayapradha, Amjad Khan",Drama,
Love in Canada,S. Ramanathan,"Vinod Mehra, Jeetendra, Moushumi Chatterjee",Romance,
Maan Apmaan,N. V. Deshpande,"Sanjeev Kumar, Kanan Kaushal",Drama,
Magroor,Brij Sadanah,"Shatrughan Sinha, Vidya Sinha","Romance, Drama",
Mata Velankanni(Dubbed from Tamil),K. Thangappan,Gemini Ganesan Jayalalitha,Devotional,
Manzil,Basu Chatterjee,"Amitabh Bachchan, Moushumi Chatterjee",Drama,
Meera,Gulzar,"Shammi Kapoor, Hema Malini, Vinod Khanna",Drama,
Meri Biwi Ki Shaadi,Rajat Rakshit,"Amol Palekar, Ranjeeta Kaur",Comedy,
Mr. Natwarlal,Rakesh Kumar,"Amitabh Bachchan, Rekha, Amjad Khan, Ajit, Waheeda Rehman","Action, Drama",
Muqabla,Rajkumar Kohli,"Sunil Dutt, Rajesh Khanna, Shatrughan Sinha, Reena Roy",Action,
Nagin Aur Suhagin,Shantilal Soni,"Vijay Arora, Mahesh Bhatt, Rita Bhaduri",Drama,
Naiyya,Prashanta Nanda,"Prashanta Nanda, Zarina Wahab, Baldev Khosa",Drama,
Nauker,Ismail Memon,"Sanjeev Kumar, Jaya Badhuri",Comedy,
Noorie,Manmohan Krishna,"Farooq Shaikh, Poonam Dhillon",Drama,
Prem Bandhan,Ramanand Sagar,"Rajesh Khanna, Rekha, Moushumi Chatterjee",Romance,
Prem Vivah,Basu Chatterjee,"Mithun Chakraborthy, Asha Parekh, Bindiya Goswami",Romance,
Raadha Aur Seeta,Vijay Kapoor,"Arun Govil, Rita Bhaduri",Romance,
Raakhi Ki Saugandh,Shibu Mitra,"Rajan Haskar, Ajit, Vinod Mehra, Sarika",Drama,
Raja Harishchandra,Asish Kumar,"Asish Kumar, Lalita Pawar",Mythology,
Ratnadeep,Basu Chatterjee,"Girish Karnad, Hema Malini, A. K. Hangal",Drama,
Saanch Ko Aanch Nahin,Satyen Bose,"Arun Govil, Urmila Bhatt, Om Puri",Drama,
Salaam Memsaab,Asrani,"Yogeeta Bali, Zarina Wahab, Asrani",Drama,
Sampark,Inder Sen,"Madhu Kapoor, Girish Karnad, Mazar Khan",Drama,
Sargam,K. Vishwanath,"Rishi Kapoor, Jayapradha",Romance,
Sarkari Mehmaan,N. D. Kothari,"Vinod Khanna, Padma Khanna, Amjad Khan",Drama,
Sawan Ko Aane Do,Kanak Mishra,"Arun Govil, Zarina Wahab, Rita Bhaduri",Romance,
Shaayad,,"Naseeruddin Shah, Om Puri, Simi Garewal",Drama,
Shabhash Daddy,Kishore Kumar,"Kishore Kumar, Amit Kumar, Yogita Bali",Romance,
Shikshaa,S. Ramanathan,"Raj Kiran, Sushma Verma, Beena Bannerjee",Drama,
Shodh,Biblap Roy Chowdhary,Om Puri,Horror,
Solva Sawan,Bharathi Raja,"Amol Palekar, Sridevi",Romance,
Suhaag,Manmohan Desai,"Amitabh Bachchan, Shashi Kapoor, Rekha",Romance,
Sunayana,Hiren Nag,"Naseeruddin Shah, Sulochana Latkar",Drama,
Surakshaa,Ravikant Nagaich,"Mithun Chakraborthy, Ranjeeta Kaur",Romance,
Tarana,Deepak Bahry,"Mithun Chakraborthy, Ranjeeta Kaur",Romance,
Teen Chehre,,Pran,,
Yuvraaj,T R Ramanna,"Vinod Khanna, Neetu Singh, Jaya Malini, Aruna Irani",Romance,
