Title,Director,Cast,Genre,Music
Shrimanji,Ram Dayal,"Kishore Kumar, Shahida, I. S. Johar, Murad, Veena, Meena Rai, Ram Avtar, Hiralal",Comedy,"Music: O P Nayyar
Lyrics: Aziz Kashmiri, S. H. Bihari"
Spy in Rome,B. K. Adarsh,"Dev Kumar, Jayamala, K. N. Singh, Rajendranath, Lata Sinha, Madhumati","Action, Spy, Thriller","Music: Laxmikant Pyarelal
Lyrics: Anand Bakshi"
Suhaag Raat,R. Bhattacharya,"Jeetendra, Rajashree, Shabnam, Mehmood, Sulochana, Dhumal, Mehmood Jr., Laxmi Chhaya, Bipin Gupta, Parshuram",Melodrama,"Music: Kalyanji Anandji
Lyrics: Indeevar, Qamar Jalalabadi, Akhtar Romani"
Sunghursh,Harnam Singh Rawail,"Dilip Kumar, Vyjayanthimala, Balraj Sahni, Sanjeev Kumar, Iftekhar, Jayant, Durga Khote, Ulhas, Ulhas, Deven Verma, Sulochana",Drama,"Music: Naushad
Lyrics: Shakeel Badayuni"
Tarzan In Fairyland,Sushil Gupta,"Azad, Indira, Shyam Kumar, Amar Ram Kumar, Ram Mohan, Kumud Tripathi, Nazir Kashmiri","Action, Fantasy","Music: Jimmy Premnath
Lyrics: Shewan Rizvi"
Tatar Ki Hasina,Aslam Ilahabadi,"Raj Gulshan, Nalini Chonkar, Sherry, Murad, Jeevankala, Heera Sawant, Kumud Tripathi",Fantasy,"Music: S. Kishan
Lyrics: Aslam Ilahabadi"
Teen Bahuraniyan,"S. S. Balan, S. S. Vasan","Prithviraj Kapoor, Shashikala, Agha, Ramesh Deo, Lalita Pawar, Dhumal, Kanhaiyalal, Jagdeep","Family, Comedy","Music: Kalyanji Anandji
Lyrics: Anand Bakshi"
Teri Talash Mein,Kewal Mishra,"Sailesh Kumar, Kumkum, Madan Puri, Indira Billi, Mohan Choti, Amarnath, W. M. Khan, Ram Mohan","Crime, Mystery, Action","Music: Sapan-Jagmohan
Lyrics: Naqsh Lyallpuri"
Vaasna,T. Prakash Rao,"Raaj Kumar, Padmini, Biswajeet, Tiwari, Kumud Chhugani, Mukri, Sayeeda Khan, Rajendranath","Social, Family, Drama","Music: Chitragupta
Lyrics: Sahir Ludhianvi"
Watan Se Door,Kamran,"Dara Singh, Nishi, Randhawa, Bela Bose, Daisy Irani, Amarnath, Tiwari, Amar, Tun Tun, Habib","Action, War","Music: Lala Sattar
Lyrics: Faruq Kaiser"
