Title,Director,Cast,Genre,Notes
Aaina,S.M. Yusuf,"Trilok Kapoor, Sulochana Chatterjee, Yakub, Gope, Kaushalya, Yashodhra Katju, Husn Banu, Mirza Musharraf, Leela Mishra",Social,"Music: Fateh Ali Khan, Gulshan Sufi
Lyrics: Pandit Phani, Tanveer Naqvi"
Anban,Niren Lahiri,"Nargis, Pahari Sanyal, Shah Nawaz, Shobhana Samarth, Gajanan Jagirdar, Mubarak","Social, Drama","Music: Gyan Dutt
Lyrics: Pandit Madhur"
Bade Nawab Saheb,Vedi,"Chandra Mohan, Pramila, Pahari Sanyal, Bibbo, Kumar, Leela Mishra, Sushil Kumar, Shanta Patel, Ghory",Social,"Music: Bashir Dehlvi
Lyrics: Shams Lakhnavi"
Badi Baat,Mazhar Khan,"Swarnalata, Mazhar Khan, Ulhas, Yakub, Zarina, Kumar, Gulab, Madhusudan",Social,"Music: Firoz Nizami
Lyrics: Swami Ramanand Saraswati, Roopbani, Saraswati Kumar Deepak"
Badmash,A. Karim,"Anil Kumar, Shantarin, Benjamin, Leela Pawar, Sadiq, Jehangir",Action,"Music: Khan Mastana
Lyrics: A. Karim"
Bahadur,Bhagwan,"Bhagwan, Shanta Patel, Baburao Pendharkar, Surekha, Samson, Bibijan, Gharpure",Action,"Music: C. Ramchandra
Lyrics: Ehsan Rizvi"
Bahar,M. Sadiq,"Mehtab, Wasti, Nirmala Devi, Badri Prasad",Social,"Music: Naushad
Lyrics:"
Bandukwali,K. Amarnath,"S. Nazir, Romila, Anil Kumar, Rekha Pawar, Prakash, Mehar Banu",Action,"Music: Ram Gopal Pandey
Lyrics: Ehsan Rizvi"
Beda Paar,Tara Harish,"Sulochana Chatterjee, Dalpat, Bibìjan, Baburao Pehalwan, Nazira, Fazlu, M. Sandow",Action,"Music: Vasant Kumar Naidu
Lyrics: Shams Lakhnavi"
Bhagya Laxmi,Sarvottam Badami,"Shanta Apte, Prem Adib, Vasanti, Jagdish Sethi, Agha, Rajkumari Shukla, Moni Chatterjee","Family, Drama","Music: G. M. Durrani
Lyrics:"
Bhai,Krishna Dev Mehra,"Zahur Raja, Asha, Satish, Radharani, Manorama, Sabir","Family, Drama","Music: Ghulam Haider
Lyrics: Shatir Ghaznavi"
Bhanvara,Kidar Sharma,"K. L. Saigal, Monica Desai, Yakub, Kamla Chatterjee, Arun Kumar, Kesari, Brijmala","Romance, Comedy","Music: Khemchand Prakash
Lyrics: Kidar Sharma, Swami Ramanand Saraswati, Pandit Indra"
Bhartruhari,Chaturbhuj Doshi,"Mumtaz Shanti, Surendra, Sulochana Chatterjee, Arun Kumar, Yashwant Dave, Jehanara Kajjan, Nagendra","Fantasy, Devotional","Music: Khemchand Prakash
Lyrics: Pandit Indra"
Caravan,Aspi Irani,"Arun Kumar, Kamla Chatterjee, Kesari, Sylvie St. Clair, Premlata",Action,"Music: Bulo C. Rani
Lyrics: Swami Ramanand Saraswati, Pandit Indra, Munshi Aziz, Sharma"
Chal Chal Re Navjavan,Gyan Mukherjee,"Ashok Kumar, Naseem Banu, Rafiq Ghaznvi, V. H. Desai, Jagdish Sethi, Motibai, Navin YagniK",Social,"Music: Ghulam Haider
Lyrics: Kavi Pradeep"
Chand,D.D. Kashyap,"Sitara Devi, Prem Adib, Begum Para, Sapru, Shashikala, Balakram, Guru Dutt, Ram Singh",Social,"Music:
Lyrics:"
Char Aankhen,Sushil Majumdar,"Leela Chitnis, P. Jairaj, P. F. Peethawala, Ashalata, Paul Mahendra, Nand Kishore",Social,"Music: Anil Biswas
Lyrics: Narendra Sharma"
Dasi,Hiren Bose,"Najam, Ragini, Khairati, Kalavati, Om Prakash, Gyani Pran",Social,"Music: Amarnath
Lyrics: D. N. Madhok"
Dil Ki Baat,Pralhad Keshav Atre,"Ishwarlal, Vanmala, Durga Khote, Leela Mishra, Dixit, Baburao, Sheela, Mirajkar","Romance, Drama","Music: C. Ramchandra
Lyrics: Rammurti Chaturvedi"
Do or Die a.k.a. Zindagi Ya Maut,Harbans Singh,"Sheela, Baburao, Mirajkar, Samson",Action,"Music: Mushtaq Hussain, Kelkar
Lyrics: Ehsan Rizvi"
Dost,Shaukat Hussain Rizvi,"Motilal, Noor Jehan, Maya Banerjee, Himalayawala, Husn Banu, Vatsala Kumtekar, Kanhaiyalal, Agha, Mirza Musharraf","Social, Drama","Music: Sajjad Hussain
Lyrics: Shams Lakhnavi"
Dr. Kumar,Kishore Sharma,"Paresh Bannerjee, Latika, Sankatha Prasad, Rajkumari Shukla, Khurshid Jr, Nazma",Drama,"Music: Saraswati Devi
Lyrics: Gafil Harnalvi"
Draupadi,Baburao Patel,"Sushila Rani Patel, Chandra Mohan, Mazhar Khan, David, Badri Prasad, Dixit, K. N. Singh, Leela Mishra",Fantasy,"Music: Hanuman Prasad
Lyrics: Pandit Indra"
Gaali,R. S. Choudhury,"Karan Dewan, Nirmala Devi, Yakub, Manju Dewan, Sunalini Devi, Kanhaiyalal, Jilloobai, Kamta Prasad, Mehndi Raza","Social, Drama","Music: Hanuman Prasad, Sajjad Hussain
Lyrics: Rammurti Chaturvedi"
Geet a.k.a. The Song,S. U. Sunny,"Shahu Modak, Nirmala Devi, Amir Ali, Shakir, Chandabai, Zahid Ali",Social,"Music: Naushad
Lyrics: D. N. Madhok"
