Title,Director,Cast,Genre,Notes
Aan,Mehboob Khan,"Dilip Kumar, Premnath, Nimmi, Nadira, Murad, Cuckoo, Sheela Nayak, Mukri, Amir Bano","Musical, Romance",Music: Naushad Lyrics: Shakeel Badayuni
Aandhiyan,Chetan Anand,"Dev Anand, Nimmi, Kalpana Kartik, Durga Khote, K. N. Singh, Leela Mishra, Johnny Walker","Romance, Drama",Music: Ali Akbar Khan Lyrics: Narendra Sharma
Aasmaan,D. M. Pancholi,"Shyama, Nasir Khan, Anwar Hussain, Lalita Pawar, Veera, Badri Prasad, David, Asha Prekh, Achala Sachdev","Family, Drama",Music: O. P. Nayyar Lyrics: Prem Dhawan
Ajeeb Ladki,Mohammed Ehsan,"Naseem Banu, Rehman, Shashikala, Cuckoo, Agha, Jayant, Shyam Kumar",Social,Music: Ghulam Mohammed Lyrics: Shakeel Badayuni
Aladdin Aur Jadui Chirag,Homi Wadia,"Mahipal, Meena Kumari, B. M. Vyas, S. N. Tripathi, W. M. Khan, Jillobai, Vasantrao Pahelwan","Costume, Fantasy",Music: S. N. Tripathi Lyrics: Shyam Hindi
Amber,Jayant Desai,"Nargis, Raj Kapoor, Agha, Bipin Gupta, Baby Tanuja, Cuckoo, Helen, Nayampalli, B. M. Vyas","Romance, Drama",Music: Ghulam Mohammed Lyrics:Shakeel Badayuni
Anmol Sahara,Amar Dutt,"Jayshree, Ameeta Krishna Kumari, Raj Kumar, Geeta, Nilima",Social,Music: Santosh Mukherjee Lyrics: B. M. Sharma
Anand Math,Hemen Gupta,"Prithviraj Kapoor, Bharat Bhushan, Geeta Bali, Pradeep Kumar, Ajit, Ranjana, Murad","Patriotic, Historical","Music: Hemant Kumar Lyrics: Bankim Chandra Chattopadhyaya, Jayadeva"
Anhonee,K. A. Abbas,"Nargis, Raj Kapoor, Achala Sachdev, Om Prakash, Agha, David, Jankidas, Shaukat Hashmi","Social, Drama",Music: Roshan Lyrics: Ali Sardar Jafri
Anjaam,Shanti Kumar,"Premnath, Vyjayantimala, Kuldip Kaur, Yakub, Dulari, Jankidas, Shammi","Social, Drama",Music: Madan Mohan Lyrics: Qamar Jalalabadi
Annadata,Ismail Memon,"Ajit, Veena, Sheikh Mukhtar, Murad, Neena Maker, Mukri, Kanhaiyalal, N. A. Ansari",Social,"Music: Mohammed Shafi Lyrics: Anjum Jaipuri, Hasrat Jaipuri, Ali Sardar Jafri"
Apni Izzat,Nanabhi Bhatt,"Motilal, Munawwar Sultana, Yakub, Sulochana Chatterji, Gope, Yashodhara Katju, Agha, Raj Mehra","Family, Drama","Music: Hansraj Behl Lyrics: Bharat Vyas, Varma Malik"
Ashiana,B. Trilochan,"Raj Kapoor, Nargis, Iftekhar, Master Rattan, Mohana, Randhir",Romance,Music: Madan Mohan Lyrics: Rajendra Krishan
Badnam,D. D. Kashyap,"Balraj Sahni, Shyama, Prabhu Dayal, Sheila, Ulhas, Jankidas, Murad",Melodrama,"Music: Basant Prakash Lyrics: Hasrat Jaipuri, Shailendra"
Baghdad,Nanabhi Bhatt,"Ranjan, Begum Para, Bhagwan, Anwar Hussain, Yashodhara Katju, Hari Shivdasani",Fantasy,Music: Bulo C. Rani Lyrics: Raja Mehdi Ali Khan
Bahu Beti,S. L. Dheer,"Geeta Bali, Amarnath, Jaswant, Vijayalaxmi, Leela Mishra, Rashid Khan, S. Nazir","Family, Drama",Music: S. D. Batish Lyrics: Kaifi Azmi
Baiju Bawra,Vijay Bhatt,"Meena Kumari, Bharat Baushan, Surendra, Kuldip Kaur, Radhakrishan, Manmohan Krishna, Bipin Gupta","Legend, Romance, Musical",Music: Naushad Lyrics: Shakeel Badayuni
Betaab,Harbans Singh,"Naseem Banu, Geeta Bali, Ashok Kumar, Motilal, Murad, Kumar, Kamal","Social, Drama","Music: S. D. Batish Lyrics: Bharat Vyas, Roopbani, Kaif Irfani"
Bewafa,M. L. Anand,"Raj Kapoor, Nargis, Ashok Kumar, Bhudo Advani, Neelam, Siddiqi","Romance, Drama",Music: A. R. Qureshi Lyrics: Sarshar Sailani
Bhakta Puran,Dhirubhai Desai,"Shahu Modak, Nirupa Roy, Sapru, B. M. Vyas, Lalita Pawar, Niranjan Sharma, Naaz, Shanta Kumari, S. N. Tripathi",Devotional,"Music: Chitragupta Lyrics: Ramesh Chandra Pandey, Gopal Singh Nepali"
Bhule Bhatke,Brij Mohan,"Bhagwan, Shyama, Dulari, Baburao Pendharkar, Leela Gupte, Habib, Nihal",Action,Music: Manohar Lyrics: Shams Azimabadi
