Title,Director,Cast,Genre
Chandni Chowk to China,Nikhil Advani,"Akshay Kumar, Deepika Padukone, Mithun Chakraborty, Ranvir Shorey","Action, Comedy"
Aasma: The Sky Is the Limit,Rohit Nayyar,"Hrishitaa Bhatt, Seema Biswas, Nauheed Cyrusi, Mansi Dovhal, Ravi Gossain",Drama
Raaz – The Mystery Continues,Mohit Suri,"Emraan Hashmi, Kangana Ranaut, Adhyayan Suman, Jackie Shroff",Horror
Luck by Chance,Zoya Akhtar,"Farhan Akhtar, Konkona Sen Sharma, Hrithik Roshan, Juhi Chawla, Rishi Kapoor, Sanjay Kapoor, Dimple Kapadia, Isha Sharvani, Shah Rukh Khan",Drama
Victory,AjitPal Mangat,"Harman Baweja, Amrita Rao, Anupam Kher, Gulshan Grover",Sports
Dev.D,Anurag Kashyap,"Abhay Deol, Mahi Gill, Kalki Koechlin",Romance
Chal Chala Chal,T. K. Rajeev Kumar,"Govinda, Rajpal Yadav, Reemma Sen, Om Puri",Comedy
Mere Khwabon Mein Jo Aaye,Madhureeta Anand,"Arbaaz Khan, Randeep Hooda, Raima Sen","Drama, Fantasy, Musical"
Billu,Priyadarshan,"Irrfan Khan, Shah Rukh Khan, Lara Dutta, Om Puri, Rajpal Yadav, Asrani",Drama
The Stoneman Murders,Manish Gupta,"Kay Kay Menon, Arbaaz Khan, Vikram Gokhale, Rukhsar","Crime, Drama, Mystery"
Delhi-6,Rakeysh Omprakash Mehra,"Abhishek Bachchan, Sonam Kapoor, Amitabh Bachchan, Waheeda Rehman, Divya Dutta, Rishi Kapoor, Om Puri, Atul Kulkarni, Prem Chopra, Akshay Kumar","Romance, Drama"
Kisse Pyaar Karoon,Ajay Chandock,"Arshad Warsi, Aashish Chaudhary, Aarti Chhabria, Yash Tonk, Udita Goswami",Romance
13B,Vikram K. Kumar,"Madhavan, Neetu Chandra, Saranya, Poonam Dhillon, Ravibabu, Sachin Khedekar, Deepak Dobriyal, Murli Sharma",Horror
Dhoondte Reh Jaaoge,Umesh Shukla,"Kunal Khemu, Paresh Rawal, Soha Ali Khan, Sonu Sood, Asrani, Johnny Lever",Comedy
Karma Aur Holi,Manish Gupta,"Sushmita Sen, Randeep Hooda, Naomi Campbell, Suresh Oberoi, Suchitra Krishnamoorthi",Drama
Jai Veeru,Puneet Sira,"Fardeen Khan, Kunal Khemu, Dia Mirza, Anjana Sukhani","Action, Comedy"
Little Zizou,Sooni Taraporevala,"Boman Irani, John Abraham, Kurush Deboo",Comedy
Gulaal,Anurag Kashyap,"Kay Kay Menon, Deepak Dobriyal, Piyush Mishra, Mahi Gill, Jesse Randhawa, Aditya Shrivastava",Drama
Aloo Chaat,Robby Grewal,"Aftab Shivdasani, Aamna Sharif, Linda Arsenio, Kulbhushan Kharbanda, Manoj Pahwa, Sanjay Mishra'","Romance, Comedy"
Barah Aana,Raja Menon,"Naseeruddin Shah, Tannishtha Chatterjee",Drama
Firaaq,Nandita Das,"Deepti Naval, Naseeruddin Shah, Paresh Rawal, Raghubir Yadav",Political
