Title,Director,Cast,Genre,Sources
Aahuti,Ashok V. Bhushan,"Rajendra Kumar, Shashi Kapoor, Rakesh Roshan, Parveen Babi, Zaheera",Drama,
Aakhri Daku,Prakash Mehra,"Randhir Kapoor, Vinod Khanna, Rekha, Reena Roy, Sujit Kumar",Action,
Amar Shakti,Harmesh Malhotra,Shashi Kapoor,,
Anjane Mein,Samir Ganguly,"Rishi Kapoorsha Sachdev, Jagdeep","Family, Drama",
Ankhiyon Ke Jharokhon Se,Hiren Nag,"Sachin, Ranjeeta Kaur, Madan Puri, Iftekhar, Urmila Bhatt",,
Apna Khoon,Babbar Subhash,"Shashi Kapoor, Hema Malini, Ashok Kumar, Pran, Amjad Khan","Action, Comedy",
Arvind Desai Ki Ajeeb Dastaan,Saeed Akhtar Mirza,"Sulabha Deshpande, Dilip Dhawan, Om Puri, Shriram Lagoo, Anjali Paigankar",,
Atithee,Aravind Sen,"Shashi Kapoor, Shabana Azmi, Shatrughan Sinha, Vidya Sinha, Utpal Dutt","Romantic, Drama",
Azaad,Pramod Chakratordy,"Dharmendra, Hema Malini, Prem Chopra, Ajit","Action, Thriller",
Badalte Rishtey,,"Rishi Kapoor, Rakesh Roshan, Reena Roy",,
Besharam,,"Amitabh Bachchan, Sharmila Tagore",,
Bhola Bhala,,,,
Chakravyuha,,,,
Chor Ho To Aisa,,Pran,,
Chor Ke Ghar Chor,Vijay Sadanah,"Zeenat Aman, Randhir Kapoor, Ashok Kumar, Deven Verma, Pran",,
College Girl,,,,
Daaku Aur Jawan,,,,
Damaad,,,,
Des Pardes,,"Dev Anand, Tina Munim, Pran",,
Devata,,Shashi Kapoor,,
Dil Se Mile Dil,,,,
Dillagi,,Dharmendra,,
Do Musafir,,"Shashi Kapoor, Pran",,
Don,Chandra Barot,"Amitabh Bachchan, Zeenat Aman, Pran, Amrish Puri",Action,
Dr. Iqbal,,,,
Ek Baap Chhe Bete,,,,
Gaman,Mujafar Ali,"Faruq Shaikh, Smita Patil",,
Ganga Ki Saugandh,Sultan Ahmad,"Amitabh Bachchan, Rekha, Pran",,
Ghar,,"Vinod Mehra,Rekha",,
Heeralaal Pannalaal,,Shashi kapoor,,
Hullabaloo Over Georgie and Bonnie's Pictures,James Ivory,"Victor Banerjee, Aparna Sen",Comedy,
Howrah Bridge Pe Latakti Hui Lash,,,"Adult, Comedy",
Karmayogi,,,,
Kasme Vaade,Ramesh Behl,"Amitabh Bachchan, Raakhee, Randhir Kapoor",Action,
Khatta Meetha,Basu Chatarjee,"Rakesh Roshan,Ashol Kumar,Perl Padamse",,
Khoon Ka Badla Khoon,Vinod Khanna,,,
Khoon Ki Pukaar,,Pran,,
Kondura,,,,
Main Tulsi Tere Aangan Ki,Raj Khosla,"Nutan, Vinod Khanna",Drama,
Mera Rakshak,,,,
Muqaddar Ka Sikander,Prakash Mehra,"Amitabh Bachchan, Vinod Khanna, Raakhee, Rekha, Amjad Khan",Drama,
Nasbandi,,,,
Naya Daur,,,,
Phaansi,,"Shashi Kapoor, Pran",,
Phandebaaz,,"Dharmendra, Moushumi Chatterjee, Prem Chopra",,
Phool Khile Hain Gulshan Gulshan,,,,
Raja Rani Ko Chahiye Pasina,,,,
Ram Kasam,,,,
Saajan Bina Suhagan,,,,
Satyam Shivam Sundaram,Raj Kapoor,"Shashi Kapoor, Zeenat Aman",Romance,
Shalimar,Krishna Shah,"Dharmendra, Hema Malini",Drama,
Sone Ka Dil Lohe Ke Haath,,,,
Tere Pyar Mein,,,,
Toote Khilone,,,,
Trishna,,Shashi kapoor Sanjeev kumar Vidya sinha,,
Trishul,Yash Chopra,"Amitabh Bachchan, Sanjeev Kumar, Shashi Kapoor, Sachin, Rakhee, Waheeda Rehman, Hema Malini, Poonam Dhillon",,
Tumhare Liye,Sanjeev Kumar,Vidhya Sinha,,
Vishwanath,Subash Ghai,"Satrugan sinha, Reena Roy, Prem Nath, Pran",,
