Title,Director,Cast,Genre,Sources
Aag Aur Daag,A. Salaam,"Joy Mukherjee, Madan Puri",Action,
Aan Milo Sajna,Mukul Dutt,"Asha Parekh, Rajesh Khanna, Vinod Khanna",Drama,
Aansoo Aur Muskan,P. Madhavan,"Bindu, Padmini",Drama,
Abhinetri,Subodh Mukherjee,"Shashi Kapoor, Hema Malini, Deb Mukherjee",Drama,
Bachpan,Kotayya Pratyagatma,"Sanjeev Kumar, Tanuja",Drama,
Bhagwan Parshuram,Babubhai Mistri,Helen,Drama,
Bhai-Bhai,Raja Nawathe,"Sunil Dutt, Asha Parekh, Mumtaz, Pran",Drama,
Bombay Talkie,James Ivory,"Shashi Kapoor, Jennifer Kendal",,
Chetna,B.R. Ishara,"Shatrughan Sinha, Anil Dhawan",Action,
Choron Ka Chor,Mohammed Hussain,Madan Puri,Drama,
Darpan,Adurthi Subba Rao,"Sunil Dutt, Waheeda Rehman",Drama,
Dastak,Rajinder Singh Bedi,Sanjeev Kumar,Drama,
Deedar,Jugal Kishore,"Dheeraj Kumar, Anjana Choudhury",Drama,
Devi,Madhusudan Rao V.,"Nutan, Sanjeev Kumar, Madan Puri",Drama,
Dharti,Sridhar,"Rajendra Kumar, Waheeda Rehman",Action,
Ehsan,Shiv Kumar,"Helen, Aruna Irani",Drama,
Ek Nanhi Munni Ladki Thi,Vishram Bedekar,"Prithviraj Kapoor, Mumtaz, Helen",Drama,
Ganwaar,Naresh Kumar,"Vyjayanthimala, Rajendra Kumar, Pran",Romance,
Geet,Ramanand Sagar,"Rajendra Kumar, Mala Sinha, Sujeet Kumar",Drama,
Ghar Ghar Ki Kahani,T. Prakash Rao,"Balraj Sahani, Nirupa Roy, Rakesh Roshan, Bharathi",Drama,
Gopi,A. Bhimsingh,"Dilip Kumar, Saira Banu, Om Prakash, Pran",,
Gunah Aur Kanoon,B.R. Ishara,"Sanjeev Kumar, Prithviraj Kapoor",Drama,
Heer Raanjha,Chetan Anand,"Prithviraj Kapoor, Raaj Kumar, Pran",Romance,
Himmat,Ravikant Nagaich,"Jeetendra, Mumtaz, Prem Chopra",Romance,
Holi Ayee Re,Harsukh Jagneshwar Bhatt,"Shatrughan Sinha, Mala Sinha",Romance,
Humjoli,Ramanna,"Jeetendra, Leena Chandavarkar, Pran",Comedy,
Insaan Aur Shaitan,Aspi Irani,"Sanjeev Kumar, Aruna Irani",Action,
Inspector,Chand,"Helen, Joy Mukherjee",Action,
Ishq Par Zor Nahin,Ramesh Saigal,"Dharmendra, Sadhana Shivdasani",Romance,
Jawab,Ramaana,"Mehmood, Aruna Irani, Prem Chopra",Romance,
Jeevan Mrityu,Satyen Bose,"Dharmendra, Raakhee",Romance,
Johny Mera Naam,Vijay Anand,"Dev Anand, Hema Malini, Pran, Prem Nath",Romance,
Kab? Kyoon? Aur Kahan?,Anil Hingorani,"Dharmendra, Babita, Pran",Mystery,
Kati Patang,Shakti Samanta,"Rajesh Khanna, Asha Parekh",Romance,
Khilona,Chander Vohra,"Jeetendra, Mumtaz, Sanjeev Kumar",Romance,
Maa Aur Mamta,Asit Sen,"Nutan, Ashok Kumar",Drama,
Maa Ka Aanchal,Jagdev Bhambri,"Sanjeev Kumar, Leela Mishra",Drama,
Maharaja,Naresh Saigal,"Sanjay Khan, Nutan, Nirupa Roy",Drama,
Man Ki Aankhen,Raghunath Jhalani,"Dharmendra, Waheeda Rehman",Drama,
Mastana,Adurthi Subba Rao,"Mehmood, Vinod Khanna, Bharathi",Comedy,
Mera Naam Joker,Raj Kapoor,"Raj Kapoor, Rajendra Kumar, Manoj Kumar, Dharmendra, Simi Garewal","Drama, Musical",
Mere Humsafar,Dulal Guha,"Jeetendra, Sharmila Tagore",Romance,
Moojrim,Kewal Misra,"Joy Mukherjee, Kumud Chuggani",Action,
My Love,S. Sukhdev,"Shashi Kapoor, Sharmila Tagore",Romance,
Nanak Dukhiya Sab Sansar,Dara Singh,"Dara Singh, Balraj Sahni, Prithviraj Kapoor, Pran, Mumtaz",,
Naya Raasta,Khalid Akhtar,"Jeetendra, Asha Parekh, Farida Jalal",Drama,
Pagla Kahin Ka,Shakti Samanta,"Shammi Kapoor, Asha Parekh",Romance,
Pardesi,Kundan Kumar,Mumtaz,Drama,
Pavitra Paapi,Rajendra Bhatia,"Balraj Sahni, Tanuja",Drama,
Pehchan,Sohanlal Kanwar,"Manoj Kumar, Babita",Romance,
Prem Pujari,Dev Anand,"Dev Anand, Waheeda Rehman, Shatrughan Sinha",Romance,
Purab Aur Paschim,Manoj Kumar,"Manoj Kumar, Saira Banu, Bharathi, Madan Puri, Pran, Prem Chopra",Drama,
Puraskar,,"Joy Mukherjee, Farida Jalal",Action,
Pushpanjali,Kishore Sahu,"Sanjay Khan, Prem Nath",Drama,
Raaton Ka Raja,,"Dheeraj Kumar, Shatrughan Sinha",Drama,
Rootha Na Karo,Sunder Dar,"Shashi Kapoor, Aruna Irani, Nanda",Romance,
Saas Bhi Kabhi Bahu Thi,,"Sanjay Khan, Leena Chandavarkar",Drama,
Sachaa Jhutha,Manmohan Desai,"Rajesh Khanna, Mumtaz, Vinod Khanna",Drama,
Safar (film),Asit Sen,"Sharmila Tagore, Ashok Kumar, Rajesh Khanna, Feroz Khan",Drama,
Samaj Ko Badal Dalo,Madhusudan Rao V.,"Aruna Irani, Sharada, Pran",Drama,
Sampoorna Teerth Yatra,Dhirubhai Desai,"Jaymala, Jeevan",Drama,
Sawan Bhadon,Mohan Segal,"Rekha, Navin Nischol",Drama,
Sharafat,Asit Sen,"Ashok Kumar, Dharmendra, Hema Malini",,
Soldier Thakur Daler Singh,,,,
Suhana Safar,Vijay,"Shashi Kapoor, Sharmila Tagore",Drama,
The Train,Ravikant Nagaich,"Rajesh Khanna, Nanda, Helen, Madan Puri",Drama,
Truck Driver,,,,
Tum Haseen Main Jawaan,Bhappi Sonie,"Dharmendra, Hema Malini, Helen, Pran",Romance,
Umang,Atma Ram,"Subhash Ghai, Satish Kumar",Drama,
Yaadgaar,S. Ram Sharma,"Nutan, Manoj Kumar, Prem Chopra, Madan Puri, Pran",Drama,
Zanjeer,Prakash Mehra,"Amitabh Bachchan, Jaya Bhaduri, Pran, Ajit Khan, Bindu","Action, Drama",
