Title,Director,Cast,Genre,Notes
Aandhi Aur Toofan,Mohammed Hussain,"Dara Singh, Mumtaz, Jeevan, Bhagwan, Maruti, Kamran","Action, Adventure","Music: Robin Banerjee
Lyrics: Faruk Kaiser"
Aao Pyaar Karen,R. K. Nayyar,"Joy Mukherjee, Saira Banu, Rajendra Nath, Madhvi, Jayant, Shyam Chatterjee","Romance, Drama","Music: Usha Khanna
Lyrics:Rajendra Krishan"
Aap Ki Parchhaiyan,Mohan Kumar,"Dharmendra, Supriya Chowdhury, Shashikala, Om Prakash, Leela Chitnis, Vijayalaxmi, Manorama","Romance, Drama","Music: Madan Mohan
Lyrics: Raja Mehdi Ali Khan"
Aaya Toofan,"Kedar Kapoor, Mohammed Hussain","Dara Singh, Nishi, Helen, Anwar Hussain, Randhawa, Indira Billi, Maruti, Tun Tun",Action,"Music: Laxmikant Pyarelal
Lyrics: Asad Bhopali"
Apne Huye Paraye,Ajit Chakraborty,"Mala Sinha, Manoj Kumar, Shashikala, Lalita Pawar, Dulari, Agha, Iftekhar, Sunder",Romance,"Music: Shankar Jaikishan
Lyrics: Hasrat Jaipuri, Shailendra"
April Fool,Subodh Mukherjee,"Biswajeet, Saira Banu, Nazima, I. S. Johar, Jayant, Sajjan, Chand Usmani, Ram Avtar, Shetty","Romance, Musical","Music: Shankar Jaikishan
Lyrics: Hasrat Jaipuri, Shailendra"
Arab Ka Lal,A. Shamsheer,"Samar Roy, Indra Billi, Sherry, Leela, Dilawar, Shyam Kumar","Costume, Action","Music: S. Kishan
Lyrics: A. Shamsheer"
Awara Badal,Kedar Kapoor,"Ajit, Ragini, Helen, Indira Billi, Leela Mishra Jagdish Sethi, Dhumal",Action,"Music: Usha Khanna
Lyrics: Javed Anwar, Anand Bakshi, Jan Nisar Akhtar"
Ayee Milan Ki Bela,Mohan Kumar,"Rajendra Kumar, Saira Banu, Dharmendra, Shashikala, Madan Puri, Nazir Hussain, Sulochana, Sunder, Mumtaz Begum","Romance, Drama","Music: Shankar Jaikishan
Lyrics: Hasrat Jaipuri, Shailendra"
Badshah,Chandrakant,"Dara Singh, Nishi, Tiwari, Rani, Shakila Bano Bhopali, Maruti, Rajan Haksar","Costume, Action","Music: Datta Naik
Lyrics: Anand Bakshi"
Baghi,Ram Dayal,"Pradeep Kumar, Leela Naidu, Mumtaz, Jeevan, Veena, Helen, Vijaya Chaudhary, Jagdeep","Costume, Action","Music: Chitragupta
Lyrics: Hasrat Jaipuri"
Baghi Shahzada,Maruti Rao,"Kishore Kumar, Kumkum, Madhumati, Maruti, B. M. Vyas, Anwar Hussain, W. M. Khan",Action,"Music:
Lyrics:"
Benazir,Bimal Roy,"Ashok Kumar, Meena Kumari, Shashi Kapoor, Tanuja, Durga Khote, Nirupa Roy, Tarun Bose, Asit Sen","Social, Muslim, Drama","Music: S. D. Burman
Lyrics: Shakeel Badayuni"
Beti Bete,T L V Prasad,"Sunil Dutt, Saroja Devi, Jamuna, Mehmood, Shobha Khote, Jayant, Agha","Family, Drama","Music: Shankar Jaikishan
Lyrics: Hasrat Jaipuri, Shailendra"
Bhakta Dhruvakumar,Dhirubhai Desai,"Shahu Modak, Nirupa Roy, Babloo, Indira Billi, Sunder, Niranjan Sharma",Devotional,"Music: Avinash Vyas
Lyrics: Madan Bharti, Avinash Vyas"
Birju Ustad,Manu Desai,"Sheikh Mukhtar, Vijaya Choudhary, Chandrashekhar, Mukri, Tun Tun",Action,"Music: Kalyanji Anandji
Lyrics: Qamar Jalalabadi"
Captain Azad,Ram Rasila,"Azad, Neelam Kumari, Aruna Irani, Heera Sawant, Maqbul, Majnu, Habib","Costume, Action","Music: Piter Nawab
Lyrics: M. M. Khan"
Cha Cha Cha,Chandrashekhar,"Chandrashekhar, Helen, Om Prakash, Bela Bose, Madan Puri, Iftekhar, Tun Tun","Musical, Dance, Drama","Music: Iqbal Qureshi
Lyrics: Bharat Vyas, Maqdoom Mohiuddin, Neeraj"
Challenge,B. J. Patel,"Ranjan, Chitra, Bela Bose, Tiwari, Polson, Maruti, Indira Bansal",Action,"Music: Ajit Merchant
Lyrics: Prem Dhawan"
Chandi Ki Deewar,Dilip Bose,"Bharat Bhushan, Nutan, Indrani Mukherjee, Asit Sen, Sudhir, Naaz, Honey Irani, Pratima Devi","Romance, Drama","Music: N. Dutta
Lyrics: Sahir Ludhianvi"
Char Dervesh,Homi Wadia,"Feroz Khan, Sayeeda Khan, Naaz, B. M. Vyas, Mukri, Sunder",Fantasy,"Music: G. S. Kohli
Lyrics: Anjaan, Saba Fazli, Raja Mehdi Ali Khan"
Chitralekha,Kidar Sharma,"Ashok Kumar, Meena Kumari, Pradeep Kumar, Mehmood, Zeb Rehman, Achla Sachdev, Minu Mumtaz, Bela Bose","Historical, Romance, Drama","Music: Roshan
Lyrics: Sahir Ludhianvi"
Daal Me Kaala,Satyen Bose,"Kishore Kumar, Nimmi, Agha, Om Prakash, Bipin Gupta, Abhi Bhattacharya, Sajjan, Shammi",Comedy,"Music: C. Ramchandra
Lyrics: Majrooh Sultanpuri, Raja Mehdi Ali Khan, Bharat Vyas, Pyarelal Santoshi"
Dara Singh,Kedar Kapoor,"Dara Singh, Nishi, Jeevan, Salim Khan, Tabassum, Tiwari, Mohan Choti",Action,"Music: Hansraj Behl
Lyrics: Prem Dhawan"
Dooj Ka Chaand,Nitin Bose,"Ashok Kumar, Bharat Bhushan, B. Saroja Devi, Raaj Kumar, Azra, Chandrashekhar, Ulhas, Agha",Drama,"Music: Roshan
Lyrics: Sahir Ludhianvi"
Door Gagan Ki Chhaon Mein,Kishore Kumar,"Kishore Kumar, Supriya Chowdhury, Amit Kumar, Shashikala, Iftekhar, Sajjan, Raj Mehra, Nana Palsikar, Leela Mishra",Drama,"Music: Kishore Kumar
Lyrics: Kishore Kumar, Shailendra"
Door Ki Awaaz,Devendra Goel,"Joy Mukherjee, Saira Banu, Johnny Walker, Pran, Durga Khote, Om Prakash, Mallika","Romance, Drama","Music: Ravi
Lyrics: Shakeel Badayuni"
Dosti,Satyen Bose,"Sudhir Kumar, Sushil Kumar, Sanjay Khan, Farida, Leela Mishra, Nana Palsikar, Leela Chitnis, Abhi Bhattacharya","Social, Drama","Entered into the 4th Moscow International Film Festival. Music: Laxmikant Pyarelal
Lyrics: Majrooh Sultanpuri"
Dulha Dulhan,Ravindra Dave,"Raj Kapoor, Sadhana, K. N. Singh, Agha, Madhumati, Raj Mehra","Romance, Drama","Music: Kalyanji Anandji
Lyrics: Anand Bakshi, Indeevar Gulshan Bawra, Haroon"
Ek Din Ka Badshah,Jugal Kishore,"P. Jairaj, Nishi, Jugal Kishore, Sunder, Mohan Choti","Costume, Action","Music: Hansraj Behl
Lyrics: Gulshan Bawra, Prem Warbartani"
Fariyad,Kidar Sharma,"Ashok Sharma, Zeb Rehman, Nazima, Achla Sachdev, Tun Tun, Bela Bose, Gopal Saigal","Social, Family, Drama","Music: Snehal Bhatkar
Lyrics: Kidar Sharma"
Geet Gaya Pattharon Ne,V. Shantaram,"Jeetendra, Rajshree, Nana Palsikar, Surendra, Babloo","Romance, Drama","Music: Ramlal Hira-Panna
Lyrics: Hasrat Jaipuri, Vishwamitra Adil"
