Title,Director,Cast,Genre,Notes
Aaj Ka Hindustan,Jayant Desai,"Rose, Prithviraj Kapoor, SitaraDevi, Ishwarlal, Yakub, Kalyani, Tarabai, Charubala, Charlie",Social,"Music: Khemchand Prakash
Lyrics: D. N. Madhok"
Aaj Ki Duniya,G.P. Pawar,"Trilok Kapoor, Ashalata, Jeevan, Vatsala Kumtekar, Gulab, Nazir Kashmiri, S. Nazir",Social,"Music: Pratap Mukherji
Lyrics: A. Karim"
Aandhi,Dinesh Ranjan Das,"Pankaj Mullick, Khursheed, Molina Devi, K. C. Dey, Sulekha, Sham Laha, Nemo",Social,"Music: K. C. Dey
Lyrics: Arzu Lucknavi"
Abla Ki Shakti,Munshi Dil Lucknowi,"Jehanara Kajjan, Khalil, Premlata, Phool Kumari",Social,"Music: C. Solanki
Lyrics: Ustad Hussain Jan"
Achhut,Chandulal Shah,"Gohar Mamajiwala, Motilal, Vasanti, Mazhar Khan, Sitara Devi, Trilok Kapoor, Charlie, Dixit, Lala Yaqub, Ibrahim, Rajkumari","Social, Drama","Music: Gyan Dutt
Lyrics: Pyare Lal Santoshi"
Aflatoon Aurat,Kikubhai Desai,"Moti, Mallika Pukhraj, Sardar Mansur, Kanta Kumari, Vatsala Kumtekar, S. Vazre, Bose, Razak, Dhulia, Bashir, Mirajkar",Action,"Music: Damodar Sharma
Lyrics: Munshi Aziz"
Alakh Niranjan a.k.a. Gorakhnath,Bhalji Pendharkar,"Nandrekar, Leela, Raja Paranjpe, Vimal Sardesai, Chandrakant",Devotional,"Music: Koregaonkar Dutta
Lyrics: Pandit Anand Kumar"
Alibaba,Mehboob Khan,"Surendra, Sardar Akhtar, Ghulam Mohammed, Jagdish","Fantasy, Adventure","Music: Anil Biswas
Lyrics: Aah Sitapuri"
Anarbala,A. M. Khan,"Benjamin, Jani Babu, Shanta Kashmiri, N. A. Ansari, Usha Rani, M. Musa, Indira, Ameena, Rafiqe",Horror,"Music: Master Mohammed
Lyrics: Munshi Nayab"
Anjaam,Kanjibhai Rathod,"Anil Kumar, Mehar Sultana, Rajkumari, Yashwant Dave, Samson, Fazlu",Costume,"Music: Shanti Kumar
Lyrics: Kabil Amritsari"
Anuradha,Mohan Sinha,"Maya Banerjee, Trilok Kapoor, Jeevan, Vatsala Kumtekar, Shyam Sunder, Anant Marathe, S, Nazir, Agha, Ghulam Rasool, Mehdi Raza, Bibijan",Social,"Music: Badri Prasad
Lyrics: Lajpat Rai"
Apni Nagariya,Gunjal,"Shobhana Samarth, Nazir, Jayant, K. N. Singh, Shanta Dutt, Madhavi, Bibijan, Keki Bawa",Social,"Music: Rafiqe Ghaznavi
Lyrics: Aah Sitapuri, Pandit Indra"
Aurat,Mehboob Khan,"Sardar Akhtar, Surendra, Yakub, Jyoti, Kanhaiyalal, Arun Kumar, Harish, Brij Rani, Vatsala Kumtekar, Sunalini Devi","Social, Family, Drama","Music: Anil Biswas
Lyrics: Safdar Aah"
