Title,Director,Cast,Genre,Sources
Kali Ghata,Ved Rahi,"Shashi Kapoor, Rekha, Danny Denzongpa","Thriller, Mystery, Romance",
Kasturi,Bimal Dutta,"Agha, Mithun Chakraborty, Arvind Deshpande",Drama,
Khanjar,Atma Ram,"Navin Nischol, Reena Roy, Amjad Khan",,
Karz,Subhash Ghai,"Rishi Kapoor, Tina Munim, Simi Garewal, Premnath, Pran",Musical,
Khoon Kharaba,,"Pradeep Kumar, Vinod Mehra, Paintal",,
Khubsoorat,Hrishikesh Mukherjee,"Ashok Kumar, Rekha, Rakesh Roshan","Comedy, Drama, Family",
Khwab,Shakti Samanta,"Ashok Kumar, Ranjeeta Kaur, Naseeruddin Shah, Mithun Chakraborty, Yogeeta Bali","Crime, Drama, Romance",
Kismet,Bhisham Kohli,"Mithun Chakraborty, Ranjeeta Kaur, Shakti Kapoor","Action, Family, Musical",
Lahu Pukarega,,"Saira Banu, Bindu, Sunil Dutt",,
Lootmaar,"Dev Anand, Tina Munim, Mehmood, Nirupa Roy","Dev Anand, Tina Munim, Mehmood","Action, Thriller",
Maan Abhiman,Hiren Nag,"Raj Kiran, Kavita Kiran, Yunus Parvez","Drama, Family",
Mahashakti,K.S. Giri,"Narasimha Raju, Madhavi, Jayamalini",,
Man Pasand,Basu Chatterjee,"Dev Anand, Tina Munim, Girish Karnad","Comedy, Drama, Family",
Manokaamnaa,Kedar Kapoor,"Urmila Bhatt, Shail Chaturvedi, Kalpana Iyer","Drama, Romance",
Morchha,Ravikant Nagaich,"Aruna, Ravi Behl, Chandrashekhar",,
Nazrana Pyar Ka,S.M. Sagar,"Raj Babbar, Master Bhagwan, Brahm Bhardwaj",Drama,
Neeyat,Anil Ganguly,"Shashi Kapoor, Jeetendra, Rekha","Family, Drama",
Nishana,K. Raghavendra Rao,"Asrani, Prem Chopra, Mohan Choti",,
Oh Bewafa,Saawan Kumar,"Rajendra Kumar, Anil Dhawan, Yogeeta Bali","Drama, Romance",
Patita,I.V. Sasi,"Shoma Anand, Vikram, Raj Kiran",,
Patthar Se Takkar,Gulab Mehta,"Master Bhagwan, Urmila Bhatt, Birbal, Pran","Action, Crime, Thriller",
Payal Ki Jhankaar,Satyan Bose,"Alankar Joshi, Komal Mahuvakar, Surinder Kaur",Romance,
Phir Wohi Raat,Danny Denzongpa,"Rajesh Khanna, Kim, Danny Denzongpa","Crime, Horror, Mystery",
Pyaara Dushman,Anand Sagar,"Rakesh Roshan, Vidya Sinha, Yogeeta Bali",Action,
Qatil Kaun,Amit Bose,,,
Qurbani,Feroz Khan,"Feroz Khan, Vinod Khanna, Zeenat Aman, Amjad Khan, Shakti Kapoor",Romance,
Raksha Bandhan,Shantilal Soni,"Lalita Pawar, Sachin, Sarika",,
Ram Balram,Vijay Anand,"Dharmendra, Amitabh Bachchan, Zeenat Aman, Rekha, Ajit, Amjad Khan",Action,
Red Rose,Bharathi Rajaa,"Rajesh Khanna, Poonam Dhillon, Aruna Irani","Adventure, Crime, Musical, Romance, Thriller",
Saajan Mere Main Saajan Ki,Hiren Nag,"Raj Babbar, Kaajal Kiran, Raj Kiran",,
Saboot,"Shyam Ramsay, Tulsi Ramsay","Navin Nischol, Vidya Sinha, Kaajal Kiran",Thriller,
Sanjh Ki Bela,Madhusudan,"Nutan, Joy Mukherjee, Rehman",Romance,
Satah Se Uthata Aadmi,Mani Kaul,"Gopi, Vibhuti Jha, Satyen Kumar",,
Sau Din Saas Ke,Vijay Sadanah,"Ashok Kumar, Raj Babbar, Reena Roy, Asha Parekh",Drama,
Shaan,Ramesh Sippy,"Sunil Dutt, Shashi Kapoor, Amitabh Bachchan, Kulbhushan Kharbanda, Rakhee Gulzar, Parveen Babi, Bindiya Goswami",Action,
Shadi Se Pahale,,"Dheeraj Kumar, Raj Mehra, Rajendra Nath",,
Shiv Shakti,,"Ramesh Deo, Jayshree T.",,
Sitara,Meraj,"Mithun Chakraborty, Zarina Wahab, Kanhaiyalal","Drama, Family",
Sparsh,Sai Paranjape,"Shabana Azmi, Naseeruddin Shah, Sudha Chopra",,
Swayamvar,P. Sambasiva Rao,"Shashi Kapoor, Sanjeev Kumar, Moushumi Chatterjee, Vidya Sinha","Drama, Family, Action, Comedy",
Takkar,K. Bapaiah,"Sanjeev Kumar, Jeetendra, Zeenat Aman, Jayapradha",,
Taxi Chor,Sushil Vyas,Mithun Chakraborty,,
Teen Ekkey,,"Helen, Kiran Kumar, Rajendra Nath",,
The Burning Train,Ravi Chopra,"Dharmendra, Hema Malini, Vinod Khanna, Parveen Babi, Jeetendra, Neetu Singh, Vinod Mehra",Action,
The Naxalites,Khwaja Ahmad Abbas,"Jalal Agha, Mithun Chakraborty, Bijaya Jena",Drama,
Thodisi Bewafaii,Esmayeel Shroff,"Rajesh Khanna, Shabana Azmi, Padmini Kolhapure","Drama, Family",
Trilok Sundari,Singeetham Srinivasa Rao,"Mohan Babu, Pandharibai",,
Unees-Bees,Swaroop Kumar,"Yogeeta Bali, Rita Bhaduri, Mithun Chakraborty",,
Yari Dushmani,Sikandar Khanna,"Sunil Dutt, Reena Roy, Amjad Khan",,
Yeh Kaisa Insaf?,Narayana Rao Dasari,"Vinod Mehra, Shabana Azmi, Sarika",Drama,
Zakhmon Ke Nishan,Diljeet Bassi,"Vijay Arora, Vinod Mehra",,
Zalim,B. Subhash,"Leena Chandavarkar, Vinod Khanna, Nirupa Roy, Pran",,
