Title,Director,Cast,Genre,Sources
Aakrosh,Govind Nihalani,"Naseeruddin Shah, Smita Patil, Amrish Puri","Drama, Mystery, Thriller",
Aanchal,Anil Ganguly,"Rajesh Khanna, Raakhee, Rekha","Action, Family, Drama, Comedy",
Aap Ke Deewane,Surendra Mohan,"Jeetendra, Rishi Kapoor, Tina Munim, Pran",Romance,
Aap To Aise Na The,Ambrish Sangal,"Raj Babbar, Ranjeeta Kaur, Deepak Parashar","Romance, Drama, Family",
Aasha,J.Om Prakash,"Jeetendra, Reena Roy, Rameshwari","Drama, Family, Musical, Romance",
Abdullah,Sanjay Khan,"Raj Kapoor, Sanjay Khan, Sanjeev Kumar, Zeenat Aman, Parveen Babi","Action, Drama, Family",
Abhimanyu,Mahesh Bhatt,,,
Agent 009,,"Vijendra Mittal, Rehana Sultan, Madhushala, Padma Khanna",,
Agreement,Anil Ganguly,"Rekha, Utpal Dutt, Shailendra Singh","Musical, Comedy, Drama, Family",
Akhri Insaaf,Kalidas,"Mithun Chakraborty, Vijayendra Ghatge, Ashok Kumar",Action,
Albert Pinto Ko Gussa Kyoon Aata Hai,Saeed Akhtar Mirza,"Naseeruddin Shah, Shabana Azmi, Smita Patil","Comedy, Drama, Romance",
Alibaba Aur 40 Chor,"Latif Faiziyev, Umesh Mehra","Dharmendra, Hema Malini, Zeenat Aman","Action, Adventure, Family, Romance",
Ambe Maa Jagdambe Maa,Sukhdev Ahluwalia,"Lata Arora, Yogesh Chhabra, Surjeet Kaur","History, Comedy, Drama, Family",
Andhera,"Shyam Ramsay, Tulsi Ramsay","Major Anand, Ashoo, Master Bhagwan",Horror,
Angaar,Ashok Roy,"Jayshree T. Yogita Bali, Kiran Kumar",Suspense,
Apne Paraye,Basu Chatterji,"Shabana Azmi, Amol Palekar, Girish Karnad","Drama, Family, Comedy",
Arising from the Surface,Mani Kaul,,,
Badla Aur Balidan,Kawal Sharma,"Rajendra Kumar, Vinod Mehra, Asha Parekh",,
Badrinath Dham,Ashish Kumar,Lalita Pawar,,
Bakhe Kadam,,"Joginder Shelly, Sunder",,
Bambai Ka Maharaja,Shibu Mitra,"Shakti Kapoor, Kulbhushan Kharbanda, Raj Kiran",,
Bandish,K. Bapaiah,"Rajesh Khanna, Hema Malini, Danny Denzongpa","Action, Crime, Drama, Romance",
Be-Reham,R. Jhalani,"Brahm Bhardwaj, Urmila Bhatt, Moushumi Chatterjee",,
Beqasoor,B.P. Harisinghaney,"Vikas Anand, Vijay Arora, Master Bhagwan","Action, Crime, Drama, Thriller",
Bhumi Par Aaye Bhagwan,Ravi,"Lokesh, Lakshmi, Jai Jagdish","Action, Drama, Fantasy",
Bin Maa Ke Bachche,Satyen Bose,"Bindu, Master Bittoo, Leela Chitnis",,
Black Water,Shibu Mitra,Raza Murad,,
Bombay 405 Miles,Brij,"Zeenat Aman, Vinod Khanna, Shatrughan Sinha, Pran","Comedy, Action",
Chaal Baaz,Hari Mehra,"Deepak Khanna, Jaya Kausalya, Nadira",Action,
Chakra,Rabindra Dharmaraj,"Smita Patil, Naseeruddin Shah, Kulbhushan Kharbanda, Rohini Hattangadi, Ranjit Chowdhry, Salim Ghouse",,
Chambal Ki Kasam,Ram Maheshwari,"Pradeep Kumar, Raaj Kumar, Shatrughan Sinha","Action, Crime",
Choron Ki Baaraat,Harmesh Malhotra,"Shatrughan Sinha, Neetu Singh, Ajit",Action,
Chunaoti,Satpal,"Feroz Khan, Neetu Singh, Danny Denzongpa","Action, Thriller",
Desh Drohee,Prakash Mehra,"Saira Banu, Padma Khanna, Keshto Mukherjee, Pran",,
Dhamaka,,"Kiran Kumar, Raza Murad",,
Dhan Daulat,Harish Shah,"Rishi Kapoor, Neetu Singh, Pran",,
Do Aur Do Paanch,Rakesh Kumar,"Shashi Kapoor, Amitabh Bachchan, Hema Malini, Parveen Babi","Action, Comedy, Drama, Musical, Romance",
Do Premee,Raj Khosla,"Rishi Kapoor, Moushumi Chatterjee, Om Prakash",,
Do Shatru,,"Shatrughan Sinha, Sharmila Tagore",,
Door Waadiyon Mein Kahin,Kishore Kumar,Kishore Kumar,,
Dostana,Raj Khosla,"Amitabh Bachchan, Shatrughan Sinha, Zeenat Aman, Pran",,
Ek Baar Kaho,Lekh Tandon,"Navin Nischol, Shabana Azmi, Kiran Vairale, Dilip Dhawan, Madan Puri, Rajendra Nath","Romance, Family, Drama",
Ek Baar Phir (Once Again),Vinod Pande,"Suresh Oberoi, Deepti Naval, Pradeep Verma",Drama,
Ek Do Teen Chaar,Vijay Anand,"Dev Anand, Parveen Babi, Dharmendra",Action,
Ganga Aur Suraj,A. Salaam,"Sunil Dutt, Shashi Kapoor, Reena Roy",,
Ganga Dham,,Raj Mehra,,
Geet Gaata Chal,Hiren Nag,"Sachin, Sarika, Urmila Bhatt","Drama, Family, Musical, Comedy",
Gehrayee,"Arunavikas, Arunavikas","Shreeram Lagoo, Anant Nag, Indrani Mukherjee",Horror,
Garam Khoon,,"Vinod Khanna, Sulakshana Pandit, Helen",,
Guest House,,"Prem Krishan, Padmini Kapila, Vijayendra Ghatge",Horror,
Gunehgaar,Rahul Rawail,"Parveen Babi, Rishi Kapoor, Rajendra Kumar",,
Hum Nahin Sudherenge,Asrani,"Asrani, Rita Bhaduri, Keshto Mukherjee",,
Humkadam,Anil Ganguly,"Raakhee, Parikshat Sahni, Biswajeet","Musical, Drama, Family",
Hum Paanch,Bapu,"Sanjeev Kumar, Shabana Azmi, Mithun Chakraborty, Naseeruddin Shah, Raj Babbar, Gulshan Grover, Amrish Puri","Family, Action",
Insaaf Ka Tarazu,B.R. Chopra,"Zeenat Aman, Raj Babbar, Deepak Parashar, Padmini Kolhapure","Drama, Crime, Family",
Jaaye To Jaaye Kahan,,"Prema Narayan, Sachin",,
Jal Mahal,R. Jhalani,"Jeetendra, Rekha, Deven Verma, Pran",Fantasy,
Jazbaat,,"Raj Babbar, Zarina Wahab",,
Judaai,T. Rama Rao,"Ashok Kumar, Jeetendra, Rekha","Family, Drama",
Jwalamukhi,Prakash Mehra,"Waheeda Rehman, Shatrughan Sinha, Reena Roy, Vinod Mehra, Shabana Azmi, Pran","Action, Romance, Drama, Family",
Jyoti Bane Jwala,Dasari Narayana Rao,"Jeetendra, Vinod Mehra, Ashok Kumar, Waheed Rehman, Moushumi Chatterjee","Action, Drama, Family",
