Title,Director,Cast,Genre
Jahan Tum Le Chalo,Desh Deepak,"Rana Jung Bahadur, Shail Chaturvedi, Sonali Kulkarni",Romance
Jai Hind,Manoj Kumar,"Rishi Kapoor, Kunal Goswami, Shilpa Shirodkar, Pran","Action, Romance"
Kaala Samrajya,Deepak Bahry,"Sunil Shetty, Monica Bedi, Amrish Puri",Action
Kachche Dhaage,Milan Luthria,"Ajay Devgan, Manisha Koirala, Saif Ali Khan, Namrata Shirodkar","Romance, Drama"
Kahani Kismat Ki,Farogh Siddique,"Laxmikant Berde, Mithun Chakraborty, Deepshika",Action
Kartoos,Mahesh Bhatt,"Sanjay Dutt, Manisha Koirala, Jackie Shroff",Action
Kaun,Ram Gopal Varma,"Urmila Matondkar, Manoj Bajpai, Sushanth Kumar",Thriller
Khoobsurat,Sanjay Chhel,"Sanjay Dutt, Urmila Matondkar, Om Puri, Farida Jalal","Romance, Drama"
Khooni Ilaaka: The Prohibited Area,Jitendra Chawda,"Kishore Anand Bhanushali, Arif Khan, Anil Nagrath",Horror
Khopdi: The Skull,Ramesh U. Lakhiani,"Rajesh Bakshi, Vijay Solanki",Horror
Kohram,Mehul Kumar,"Amitabh Bachchan, Tabu, Nana Patekar, Jaya Pradha",Action
Laawaris,Shrikant Sharma,"Akshaye Khanna, Manisha Koirala, Jackie Shroff, Dimple Kapadia",Drama
Lal Baadshah,K. C. Bokadia,"Amitabh Bachchan, Shilpa Shetty, Manisha Koirala",Action
Lo Main Aa Gaya,Mahesh Kothare,"Vinay Anand, Laxmikant Berde, Prem Chopra",Action
Love You Hamesha,Kailash Surendranath,"Rishma Malik, Rohit Bal, Sonali Bendre",
Maa Kasam,Ashok Gaekwad,"Kasam Ali, Vikas Anand, Arjun",Action
Main Tere Pyaar Mein Pagal,K. Raghavendra Rao,"Tanikella Bharani, Brahmanandam, J.D. Chakravarthi",Comedy
Manchala,Jaiprakash Shaw,"Vivek Mushran, Gauri Khopkar, Rakesh Bedi",Romance
Mann,Inder Kumar,"Aamir Khan, Manisha Koirala, Anil Kapoor, Sharmila Tagore, Deepti Bhatnagar","Romance, Drama"
Mast,Ram Gopal Varma,"Aftab Shivdasani, Urmila Matondkar","Romance, Drama"
Mother,Saawan Kumar,"Jeetendra, Rekha, Randhir Kapoor","Comedy, Drama, Family"
Munnibai,Kanti Shah,"Dharmendra, Mohan Joshi, Johnny Lever",
Naukar Ki Kameez,Mani Kaul,"Samir Ahmed, Vikrishnah Batt, Anu Joseph",
Nyaydaata,Vicky Ranawat,"Tinnu Anand, Aparajita, Asrani",Action
Phir Kabhi,Balwant Dullat,"Rahul Roy, Saraf Deepak, Farah","Drama, Family"
Phool Aur Aag,T.L.V. Prasad,"Mithun Chakraborty, Jackie Shroff, Archana","Drama, Action, Comedy, Crime"
Putlibai,Yash Chouhan,"Rajesh Bakshi, Raj Kiran, Raza Murad",
Pyaar Koi Khel Nahin,Subhash Sehgal,"Sunny Deol, Mahima Chaudhry, Apoorva Agnihotri",Drama
Pyaar Mein Kabhi Kabhi,Raj Kaushal,"Sanjay Suri, Dino Morea, Rinke Khanna",Romance
Rajaji,Vimal Kumar,"Govinda, Raveena Tandon, Satish Kaushik","Comedy, Romance"
Safari,Jyotin Goel,"Sanjay Dutt, Juhi Chawla, Tanuja",Action
Samar,Shyam Benegal,"Seema Biswas, Ravi Jhankal, Rajeshwari Sachdev",Drama
Sangharsh,Tanuja Chandra,"Akshay Kumar, Preity Zinta, Alia Bhatt, Ashutosh Rana","Thriller, Drama"
Sanyasi Mera Naam,Imran Khalid,"Mithun Chakraborty, Siddharth Dhawan, Mohan Joshi",Action
Sarfarosh,John Matthew Matthan,"Aamir Khan, Sonali Bendre, Naseeruddin Shah","Action, Thriller"
Sarfarosh-E-Hind,D.R. Kaushal,"Ishrat Ali, Sadashiv Amrapurkar, Arun Bakshi",Action
Sautela,Rama Rao Tatineni,"Vinay Anand, Mithun Chakraborty, Gulshan Grover",Action
Shera,T.L.V. Prasad,"Asrani, Mithun Chakraborty, Pinky Chinoy",Action
Shool,E. Nivas,"Manoj Bajpai, Raveena Tandon, Sayaji Shinde","Action, Crime"
Silsila Hai Pyar Ka,Shrabrani Deodar,"Chandrachur Singh, Karisma Kapoor, Danny Denzongpa, Aruna Irani",Romance
Sirf Tum,Agathiyan,"Sanjay Kapoor, Jackie Shroff, Sushmita Sen, Priya Gill, Salman Khan",Romance
Sooryavansham,E. V. V. Satyanarayana,"Amitabh Bachchan, Jayasudha, Soundarya, Rachana Banerjee",Drama
Taal,Subhash Ghai,"Akshaye Khanna, Anil Kapoor, Aishwarya Rai","Musical, Romance"
Tabaahi: The Destroyer,Gopi Sapru,"Mithun Chakraborty, Divya Dutta, Satyendra Kapoor",Action
Thakshak,Govind Nihlani,"Ajay Devgan, Tabu, Rahul Bose, Amrish Puri",Drama
Trishakti,Madhur Bhandarkar,"Sadashiv Amrapurkar, Milind Gunaji, Jatin Kanakia",
Vaastav: The Reality,Mahesh Manjrekar,"Sanjay Dutt, Namrata Shirodkar","Crime, Drama"
Yeh Hai Mumbai Meri Jaan,Mahesh Bhatt,"Saif Ali Khan, Twinkle Khanna",
Zulmi,Sandesh Kohli,"Akshay Kumar, Twinkle Khanna","Action, Romance"
