Title,Director,Cast,Genre
Hyderabad Blues 2,Nagesh Kukunoor,"Tisca Chopra, Elahe Hiptoola, Jyoti Dogra, Vikram Inamdar, Anu Chengappa",Drama
I - Proud To Be An Indian,Puneet Issar,"Sohail Khan, Gulzar Inder Chahal, Puneet Issar, Tim Lawrence,",Action
Insaaf: The Justice,Shrey Srivastava,"Dino Morea, Namrata Shirodkar, Sanjay Suri, Henna, Rajpal Yadav",Action
Inteqam: The Perfect Game,Pankaj Parashar,"Nethra Raghuraman, Manoj Bajpai, Isha Koppikar",Action
Ishq Hai Tumse,G. Krishna,"Bipasha Basu, Dino Morea",Drama
Julie,Deepak Shivdasani,"Neha Dhupia, Yash Tonk, Sanjay Kapoor, Priyanshu Chatterjee",Drama
Kaun Hai Jo Sapno Mein Aaya,Rajesh Bhatt,"Anupam Kher, Richa Pallod, Rakesh Bapat, Kader Khan, Rajesh Bhatt",Romance
Khakee,Rajkumar Santoshi,"Amitabh Bachchan, Akshay Kumar, Ajay Devgan, Aishwarya Rai, Tusshar Kapoor, Atul Kulkarni","Action, Thriller"
Khamosh Pani,Sabiha Kumar,"Kirron Kher, Amar Ali Malik",Drama
King of Bollywood,Piyush Jha,"Om Puri, Sophie Dahl, Kavita Kapoor",Comedy
Kis Kis Ki Kismat,Govind Menon,"Dharmendra, Mallika Sherawat, Rati Agnihotri, Satish Shah",Comedy
Kismat,Guddu Dhanoa,"Priyanka Chopra, Bobby Deol",Thriller
Kiss Kis Ko,Sharad Sharan,"Karan Oberoi, Sudhanshu Pandey, Sherrin Varghese, Siddharth Haldipur, Chaitnya Bhosale",Comedy
Krishna Cottage,Santram Varma,"Sohail Khan, Isha Koppikar, Natassha",Thriller
Kyun...! Ho Gaya Na,Samir Karnik,"Vivek Oberoi, Aishwarya Rai, Amitabh Bachchan, Sunil Shetty, Diya Mirza, Rati Agnihotri",Romance
Lakeer - Forbidden Lines,Ahmed Khan,"Sunil Shetty, Sunny Deol, Sohail Khan, John Abraham, Nauheed Cyrusi","Action, Drama, Romance"
Lakshya,Farhan Akhtar,"Hrithik Roshan, Preity Zinta, Sharad Kapoor, Amitabh Bachchan","War, Drama"
Let's Enjoy,"Ankur Tewari
Siddharth Anand Kumar","Shomendra Bose, Aashish Chaudhary, Roshni Chopra, Arzoo Govitrikar, Shiv Pandit, Sahil Gupta, Dhruv Jagasiya",Thriller
Madhoshi,Tanveer Khan,"Bipasha Basu, John Abraham, Priyanshu Chatterjee","Drama, Romance, Thriller"
Main Hoon Na,Farah Khan,"Shahrukh Khan, Sushmita Sen, Sunil Shetty, Amrita Rao, Zayed Khan, Kiron Kher, Naseeruddin Shah, Kabir Bedi, Satish Shah, Boman Irani, Bindu, Murli Sharma, Rakhi Sawant","Action, Musical"
Maqbool,Vishal Bhardwaj,"Tabu, Pankaj Kapoor, Irfan Khan, Moushumi Chatterjee, Om Puri","Mystery, Drama"
Masti,Indra Kumar,"Vivek Oberoi, Aftab Shivdasani, Lara Dutta, Ritesh Deshmukh, Ajay Devgan, Genelia D'souza, Tara Sharma, Amrita Rao, Rakhi Sawant",Comedy
Meenaxi: A Tale of Three Cities,M. F. Hussain,"Tabu, Kunal Kapoor, Rajpal Yadav, Nadira Babbar","Romance, Musical, Drama"
Meri Biwi Ka Jawab Nahin,"S. M. Iqbal
Pankaj Parashar","Sridevi, Akshay Kumar","Action, Comedy, Romance"
Mughal-e-Azam (Colorized Version),K. Asif,"Dilip Kumar, Madhubala, Prithviraj Kapoor",Drama
Mujhse Shaadi Karogi,David Dhawan,"Salman Khan, Priyanka Chopra, Akshay Kumar","Comedy, Romance"
Murder,Anurag Basu,"Mallika Sherawat, Emraan Hashmi, Ashmit Patel",Thriller
Musafir,Sanjay Gupta,"Anil Kapoor, Sanjay Dutt, Sameera Reddy, Koena Mitra, Mahesh Manjrekar",Thriller
Muskaan,"Rohit Nayyar
Rohit Manash","Aftab Shivdasani, Gracy Singh, Kader Khan, Anupam Kher","Romance, Drama"
Naach,Ram Gopal Varma,"Antara Mali, Abhishek Bachchan, Ritesh Deshmukh",Drama
Naam Gum Jaayega,Amol Shetge,"Aryan Vaid, Rakesh Bapat, Dia Mirza, Divya Dutta",Romance
Nothing But Life,Rajiv Anchal,"R. Madhavan, Kaveri, Sreenivasan",Drama
Paap,Pooja Bhatt,"John Abraham, Udita Goswami",Drama
Paisa Vasool,Srinivas Bhashyam,"Manisha Koirala, Sushmita Sen, Sushant Singh, Tinu Anand, Rakhi Sawant, Makrand Deshpande",Comedy
Phir Milenge,Revathy,"Shilpa Shetty, Salman Khan, Abhishek Bachchan",Drama
Plan,Hriday Shetty,"Sanjay Dutt, Priyanka Chopra, Dino Morea, Sanjay Suri, Riya Sen, Rohit Roy, Sameera Reddy",Action
Police Force: An Inside Story,Dilip Shukla,"Akshay Kumar, Raveena Tandon",Action
Popcorn Khao! Mast Ho Jao,Kabir Sadanand,"Akshay Kapoor, Tanisha, Yash Tonk, Reshmi Nigam",
Raincoat,Rituparno Ghosh,"Ajay Devgan, Aishwarya Rai",Drama
Rakht: What If You Can See the Future,Mahesh Manjrekar,"Sunil Shetty, Neha Dhupia, Dino Morea, Himanshu Malik, Amrita Arora, Abhishek Bachchan, Bipasha Basu, Sanjay Dutt",Horror
Rok Sako To Rok Lo,Arindam Chowdhury,"Sunny Deol, Yash Pandit","Sports, Comedy"
Rudraksh,Mani Shankar,"Sunil Shetty, Sanjay Dutt, Bipasha Basu, Isha Koppikar",Thriller
Run,Jeeva,"Abhishek Bachchan, Bhoomika Chawla, Ayesha Jhulka, Mahesh Manjrekar","Action, Drama, Romance"
Shaadi Ka Laddoo,Raj Kaushal,"Sanjay Suri, Mandira Bedi, Divya Dutta, Aashish Chaudhary",Comedy
Shart: The Challenge,Puri Jagannath,"Tusshar Kapoor, Gracy Singh, Amrita Arora","Action, Drama"
Sheen,Ashok Pandit,"Tarun Arora, Raj Babbar, Anoop Soni, Kiran Juneja",Romance
Shikhaar,Darshan Bagga,"Kanishka Sodhi, Jas Pandher",Drama
Shukriya,Anupam Sinha,"Anupam Kher, Aftab Shivdasani, Shriya Saran",Drama
Silence Please...The Dressing Room,Sanjay Srinivas,"Salil Ankola, Sonali Kulkarni, Tom Alter",Thriller
Socha Na Tha,Imtiaz Ali,"Ayesha Takia, Abhay Deol, Ayesha Jhulka",Romance
Stop!,Ajai Sinha,"Rocky Bhatia, Dia Mirza, Gauri Karnik, Ishita Sharma","Romance, Drama"
Suno Sasurjee,Vimal Kumar,"Aftab, Ameesha Patel","Romantic, Comedy"
Swades,Ashutosh Gowarikar,"Shahrukh Khan, Gayatri Joshi, Kishori Ballal",Drama
Taarzan: The Wonder Car,Abbas Mustan,"Vatsal Seth, Ayesha Takia, Ajay Devgan","Fantasy, Thriller"
Thoda Tum Badlo Thoda Hum,Esmayeel Shroff,"Arya Babbar, Shriya Saran, Ashok Saraf",Romance
Tumsa Nahin Dekha,Anurag Basu,"Emraan Hashmi, Diya Mirza",Romance
Uff Kya Jaadoo Mohabbat Hai,Manoj J. Bhatia,"Sammir Dattani, Pooja Kanwal, Sandhya Mridul, Akshay Anand",Romance
Vaastu Shastra,Saurab Narang,"J. D. Chakravarthy, Ahsaas Channa, Vicky Ahuja, Sushmita Sen",Horror
Veer-Zaara,Yash Chopra,"Shahrukh Khan, Preity Zinta, Rani Mukerji, Kiron Kher, Zohra Sehgal, Hema Malini, Amitabh Bachchan","Drama, Romance"
Wajaah - A Reason to Kill,Gautam Adhikari,"Arbaaz Khan, Shamita Shetty, Gracy Singh",Thriller
Where's the Party Yaar?,Benny Mathews,"Diwakar Pathak, Sunil Malhotra",Comedy
Woh,Raj N. Sippy,"Priyanshu Chatterjee, Cleo Issacs, Shahbaz Khan",Thriller
Yeh Lamhe Judaai Ke,Birendra Nath Tiwary,"Shahrukh Khan, Raveena Tandon",Drama
Yehi Hai Zindagi,Ajay Phansekar,"Gracy Singh, Sahil Khan, Parvin Dabbas",Drama
Yuva,Mani Ratnam,"Ajay Devgan, Abhishek Bachchan, Vivek Oberoi, Kareena Kapoor, Rani Mukerji, Esha Deol, Om Puri","Drama, Action"
Zameer,Kamal,"Ajay Devgan, Mahima Chaudhry, Amisha Patel","Action, Drama"
