Title,Director,Cast,Genre
99.9 FM,Sanjay Bhatia,"Shawar Ali, Dipannita Sharma, Raima Sen","Comedy, Drama"
Aabra Ka Daabra,Dheeraj Kumar,"Hansika Motwani, Shweta Tiwari, Vishal Lalwani, Archana Puran Singh",Fantasy
Aan: Men at Work,Madhur Bhandarkar,"Akshay Kumar, Sunil Shetty, Lara Dutta, Raveena Tandon",Action
Ab Bas,Rajesh Kumar Singh,"Shawar Ali, Rohit Roy, Diana Hayden",
Ab Tumhare Hawale Watan Saathiyo,Anil Sharma,"Amitabh Bachchan, Akshay Kumar, Bobby Deol, Divya Khosla Kumar","War, Drama"
Aetbaar,Vikram Bhatt,"Amitabh Bachchan, Bipasha Basu, John Abraham",Thriller
Agnipankh,Sanjeev Puri,"Jimmy Shergill, Rahul Dev, Divya Dutta, Shamita Shetty",
Aitraaz,Abbas-Mustan,"Priyanka Chopra, Akshay Kumar, Kareena Kapoor","Drama, Romance, Thriller"
Asambhav,Rajiv Rai,"Arjun Rampal, Priyanka Chopra","Mystery, Thriller"
Banana Brothers,Girija Shanker,"Johny Lever, Anupam Kher, Gulshan Grover, Gursewak Mann, Seema Rahmani",Comedy
Black Friday,Anurag Kashyap,"Kay Kay Menon, Pavan Malhotra, Aditya Srivastava, Imtiaz Ali, Pratima Kazmi, Zakir Hussain","Crime, Fiction, Drama, Historical, Drama"
Bardaasht,E. Jasir,"Bobby Deol, Lara Dutta, Ritesh Deshmukh, Rahul Dev","Action, Drama, Thriller"
Chameli,Sudhir Mishra,"Kareena Kapoor, Rahul Bose, Rinke Khanna",Drama
Chand Bujh Gaya,Sharique Minhaj,"Faizal Khan, Shama Sikander, Aliza",Romance
Charas,Tigmanshu Dhulia,"Jimmy Shergill, Irrfan Khan, Uday Chopra, Hrishita Bhatt, Namrata Shirodkar",Action
Deewaar,Milan Luthria,"Amitabh Bachchan, Sanjay Dutt, Akshaye Khanna, Kay Kay Menon, Amrita Rao",Drama
Dev,Govind Nihalani,"Amitabh Bachchan, Fardeen Khan, Kareena Kapoor, Rati Agnihotri, Om Puri, Amrish Puri",Drama
Dhoom,Sanjay Gadhvi,"Abhishek Bachchan, John Abraham, Uday Chopra, Esha Deol, Rimi Sen",Thriller
Dil Bechara Pyaar Ka Maara,Omkarnath Mishra,"Vikas Kalantri, Aslam Khan, Divya Palat, Rajpal Yadav, Mallika Kapoor",Comedy
Dil Maange More,Anant Mahadevan,"Shahid Kapoor, Ayesha Takia, Soha Ali Khan, Tulip Joshi",Romance
Dil Ne Jise Apna Kahaa,Atul Agnihotri,"Salman Khan, Preity Zinta, Bhoomika Chawla",Romance
Dobara,Shashi Ranjan,"Raveena Tandon, Jackie Shroff, Mahima Chaudhry",Drama
Dukaan,Iqbal Durrani,"Vikas Kalantri, Rambha, Rati Agnihotri",Romance
Ek Se Badhkar Ek,Kundan Shah,"Sunil Shetty, Raveena Tandon, Isha Koppikar",Comedy
Fida,Ken Ghosh,"Fardeen Khan, Kareena Kapoor, Shahid Kapoor, Kim Sharma","Drama, Romance, Thriller"
Flavours,"Krishna D. K.
Raj Nidimoru","Anupam Mittal, Jicky Schnee, Pooja Kumar, Reef Karim",Drama
Garv: Pride and Honour,Puneet Issar,"Salman Khan, Shilpa Shetty, Arbaaz Khan",Drama
Gayab,Prawal Raman,"Tusshar Kapoor, Antara Mali, Raghubir Yadav","Fantasy, Thriller"
Girlfriend,Karan Razdan,"Amrita Arora, Isha Koppikar, Aashish Chaudhary","Drama, Romance"
Green Card Fever,Bala Rajasekharuni,"Deep Katdare, Purva Bedi, Vikram Dasu",Drama
Gumnaam,Neeraj Pathak,"Dino Morea, Mahima Chaudhry","Romance, Thriller"
Hava Aney Dey,Partho Sen-Gupta,"Nishikant Kamat, Tannishtha Chatterjee, Rajshree Thakur",Drama
Hawas,Karan Razdan,"Shawar Ali, Meghna Naidu, Tarun Arora",Romance
Hulchul,Priyadarshan,"Akshaye Khanna, Kareena Kapoor, Arbaaz Khan, Sunil Shetty, Arshad Warsi, Jackie Shroff, Paresh Rawal, Amrish Puri","Comedy, Drama, Romance, Family, Crime"
Hum Tum,Kunal Kohli,"Saif Ali Khan, Rani Mukerji, Kirron Kher, Jimmy Shergill, Rishi Kapoor, Rati Agnihotri, Isha Koppikar, Abhishek Bachchan","Comedy, Romance"
