Title,Director,Cast,Genre,Notes
Aadhi Roti,Chandrakant,"Prem Adib, Bhagwan, Sulochana, Daisy Irani, Bimla Kumari, Amirbai Karnataki, Manorama, Ratnamala, Rajan Haksar",Social,Music: Avinash Vyas Lyrics: Bharat Vyas
Aasha,M. V. Raman,"Kishore Kumar, Vyjayantimala, Pran, Minu Mumtaz, Lalita Pawar, Om Prakash, Asha Parekh, Dhumal, Sunder","Musical, Thriller, Drama",Music: C. Ramchandra Lyrics: Rajendra Krishan
Aadmi,Navnit Rai,"Nasir Khan, Begum Para, Yakub, Uma Dutt, Nirmal Kumar, Kamal Mehra, Kammo","Romance, Drama",Loosely based on Cyrano de Bergerac. Music: Ramnath Lyrics: Sartaj Rahmani
Ab Dilli Dur Nahin,Amar Kumar,"Motilal, Master Romi, Sulochana, Yakub, Anwar Hussain, Amjad Khan, Iftekhar, Hari Shivdasani, Nana Palsikar","Social, Drama","Produced by Raj Kapoor. Music: Dattaram Lyrics: Shailendra, Hasrat Jaipuri"
Abhimaan,Mahesh Kaul,"Shekhar, Ameeta, Chand Usmani, Mehmood, Yakub, Nazir Hussain, Leela Mishra, Badri Prasad, Sheela Vaz, Ram Avtar, Indira Bansal","Social, Family, Drama","Music: Anil Biswas Lyrics: Indeevar, Pandit Madhur, Saraswati Kumar Deepak"
Agra Road,Ravindra Dave,"Vijay Anand, Shakila, Nanda, Bhagwan, Amarnath, Dhumal,","Romance, Crime","Music: Roshan Lyrics: Bharat Vyas, Prem Dhawan"
Alladdin Leila,Lekhraj Bhakri,"Mahipal, Shakila, Krishna Kumari, Lalita Pawar, Niranjan Sharma, Tun Tun, Nazir Kashmiri, Kammo, Kanchanmala",Fantasy,Music: A. R. Qureshi Lyrics: Asad Bhopali
Anjali,Chetan Anand,"Nimmi, Chetan Anand, Sheila Ramani, Sitara Devi, Kumkum, Krishan Dhawan, Madan Puri","Social, Drama",Music: Jaidev Lyrics: Nyay Sharma
Apradhi Kaun?,Asit Sen,"Abhi Bhattacharya, Mala Sinha, Suresh, Tarun Bose, Murad, Jagirdar, Dhumal, Kammo, Lillian",,Produced by Bimal Roy. Music: Salil Chowdhary Lyrics: Majrooh Sultanpuri
Baarish,Shankar Mukherjee,"Dev Anand, Nutan, Mehmood, Kumkum, Madan Puri, Lalita Pawar, Gope, Helen, Nana Palsikar","Romance, Social",Music: C. Ramachandra Lyrics: Rajendra Krishan
Bada Bhai,K. Amarnath,"Ajit, Kamini Kaushal, Ameeta, Kumkum, Tun Tun, Nazir Hussain, Jayant, Anant Kumar",Family,"Music:Nashad Lyrics: Ehsan Rizvi, Raja Mehdi Ali Khan"
Bade Sarkar,Kishore Sahu,"Kishore Sahu, Kamini Kaushal, K. N. Singh, Sajjan, Durga Khote, Raj Kumar, Gope, Agha, Kanu Roy, Vijaylaxmi, Ram Avtar",Social,Music: O. P. Nayyar Lyrics: Sahir Ludhianvi
Bandi,Satyen Bose,"Ashok Kumar, Bina Rai, Shyama, Kishore Kumar, Nanda, Leela Mishra, Anoop Kumar, Kanhaiyalal, Kammo","Family, Drama","Music: Hemant Kumar Lyrics: Rajendra Krishan, Ravi, Prem Dhawan"
Bansari Bala,Nanubhai Vakil,"Daljeet, Kumkum, Tiwari, Maruti",Fantasy,Music: Kamal Mitra
Begunah,Narindra Suri,"Kishore Kumar, Shakila, Radhakrishan, Mubarak, Helen, Tun Tun, Krishnakant, Samson, Raja Nene, Sheela Vaz, Pravin Paul, Moni Chatterjee","Thriller, Comedy","Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri"
