Title,Director,Cast,Genre
Abhay,Suresh Krishna,"Kamal Hassan, Manisha Koirala, Raveena Tandon",Thriller
Aamdani Atthani Kharcha Rupaiyaa,K. Raghavendra Rao,"Govinda, Juhi Chawla, Johnny Lever, Tabu, Isha Koppikar","Family, Drama"
Aashiq,Indra Kumar,"Bobby Deol, Karisma Kapoor","Action, Comedy"
Afsana Dilwalon Ka,J. Om Prakash,"Rahul Roy, Ashish Kaul, Juni",Romance
Ajnabee,Abbas Mustan,"Bobby Deol, Akshay Kumar, Kareena Kapoor, Bipasha Basu","Thriller, Suspense, Crime"
Aks,Rakeysh Omprakash Mehra,"Amitabh Bachchan, Raveena Tandon, Manoj Bajpai, Nandita Das","Thriller, Horror"
Albela,Deepak Sareen,"Govinda, Aishwarya Rai, Namrata Shirodkar, Jackie Shroff",Romance
Asoka,Santosh Sivan,"Shahrukh Khan, Ajith, Kareena Kapoor",History
Avgat,Mohan Sharma,"Ajinkya Dev, Nethra Raghuraman, Sayaji Shinde, Rohini Hattangadi",Drama
Ayurveda: Art of Being,,,
Bas Itna Sa Khwaab Hai,Goldie Behl,"Abhishek Bachchan, Rani Mukerji, Sushmita Sen, Jackie Shroff","Drama, Romance, Social"
Bengal Tiger,,"Mithun Chakraborty, Shakti Kapoor",Action
Bhago Boot,,,
Bhairav,,Mithun Chakraborty,
Bollywood Bound,,,
Bombay Eunuch,,,
Bombay Girls,,,
Censor,,,
Chandni Bar,Madhur Bhandarkar,"Tabu, Atul Kulkarni",Drama
Chhupa Rustam: A Musical Thriller,Aziz Sejawal,"Sanjay Kapoor, Mamta Kulkarni, Manisha Koirala",Thriller
Choo Lenge Akash,Virendra Saini,"Puru Chibber, Pankaj Jha, Parikshat Sahni, Abhishek Sharma",Drama
Chori Chori Chupke Chupke,Abbas Mustan,"Salman Khan, Rani Mukerji, Preity Zinta","Drama, Romance"
Daman: A Victim of Marital Violence,Kalpana Lajmi,"Raveena Tandon, Raima Sen, Sanjay Suri, Sayaji Shinde",Drama
Dattak,Gul Bahar Singh,"Rajit Kapoor, Anjan Srivastav, A. K. Hangal, Kruttika Desai",
