Title,Director,Cast,Genre,Notes
Akalmand,,"Dev Anand, I. S. Johar, Kishore Kumar, Sonia Sahni",,
Aaye Din Bahar Ke,,,,
Afsana,,,,
Amrapali,Lekh Tandon,"Sunil Dutt, Vyjayanthimala",Biopic,Indian submission for the Academy Award for Best Foreign Language Film
Anupama,Hrishikesh Mukherjee,"Dharmendra, Sharmila Tagore, Shashikala, Deven Verma",,
Badal,,Sanjeev Kumar,,
Bahadur Daku,,,,
Baharen Phir Bhi Aayengi,Shaheed Latif,"Dharmendra, Mala Sinha, Tanuja, Rehman",,
Bandar Mera Sathi,,,,
Biradari,Ram Kamlani,"Shashi Kapoor, Faryal, Pran, Lalita Pawar",,
Biwi Aur Makaan,,"Biswajeet, Kalpana, Mehmood, Shabnam",,
Budtameez,Manmohan Desai,"Shammi Kapoor, Sadhana",,
Chale Hain Sasural,,,,
Chhota Bhai,,"nutan, Rehman",,
Daadi Maa,,"Ashok Kumar, Bina Rai",,
Dada,,,,
Daku Mangal Singh,,,,
Dus Lakh,,,,
Do Badan,,,,
Do Dilon Ki Dastaan,,,,
Gaban,Hrishikesh Mukherjee,"Sunil Dutt, Sadhna",Social,Based on Munshi Premchand's novel Gaban
Hum Kahan Ja Rahe Hain,,,,
Husn Aur Ishq,Naresh Kumar,"Sanjeev Kumar, L. Vijayalakshmi, Indira Billi, Indira Bansal",,alias Alif Laila
Husn Ka Ghulam,,,,
Insaaf,,"Dara Singh, Prithviraj Kapoor, Azad, Praveen Chowdhury, Helen, Lalita Pawar, Tun Tun, Kammo, Johnny Whisky, Tiger Joginder Singh",,
Jawan Mard,,,,
Johar in Kashmir,I. S. Johar,"Mumtaz Begum, Rajan Haksar, I. S. Johar",,
Laadla,,,,
Labela,,,,
Ladka Ladki,Som Kaskar,"Kishore Kumar, Mumtaz, Bhagwan",,
Ladki Sahyadri Ki,V. Shantaram,"Sandhya, Shalini Abhyankar, Vatsala Deshmukh, Kumar Dighe, Keshavrao Date, Baburao Pendharkar, Ganesh Solanki","Social, Drama","Music: Vasant Desai
Lyrics: Bharat Vyas"
Lal Bangla,,,,
Love in Tokyo,,,,
Love and Murder,,,,
Mera Saaya,,,,
Mohabbat Zindagi Hai,,,,
Neend Hamari Khwab Tumhare,,,,
Phool Aur Paththar,,,,
Pyaar Kiye Jaa,,,,
Sagaai,,"Biswajeet Chatterjee, Rajshree Shantaram",,
Sannata,,,,
Sau Saal Baad,,,,
Sawan Ki Ghata,,"Manoj Kumar, Sharmila Tagore, Pran",,
Shankar Khan,,,,
Shera Daku,,,,
Smuggler,,,,
Sunhera Jaal,,,,
Suraj,T. Prakash Rao,"Rajendra Kumar, Vyjayanthimala, Ajit, Mumtaz",,
Tarzan Aur Jadui Chirag,,,,
Tasveer,,"Feroz Khan, Kalpana",,
Teesri Kasam,,"Raj Kapoor, Waheeda Rehman",,
Teesri Manzil,Vijay Anand,"Shammi Kapoor, Asha Parekh, Prem Nath, Randhir, Helen",,
Thakur Jarnail Singh,,,,
Toofan Mein Pyaar Kahan,Phani Majumdar,Ashok Kumar,,
Uski Kahani,,,,
Yatrik,,,,
Yeh Raat Phir Na Aayegi,,"Sharmila Tagore, Biswajeet, Mumtaz, Shailash Kumar",,
Yeh Zindagi Kitni Haseen Hai,"Joy Mukherjee, Ashok Kumar, Saira Banu",,,
Zimbo Ka Beta,,,,
