"Title","Director","Cast","Genre","Sources",
"Aaj Ka Mahaatma","","","","",
"Aaj Ka Ye Ghar","","","","",
"Aap Beati","","Shashi Kapoor, Hema Malini","","",
"Aarambh","","","","",
"Adalat","","Amitabh Bachchan, Waheeda Rehman","","",
"Ali Baba","","Dharmendra","","",
"Arjun Pandit","","Sanjeev Kumar, Shabana Azmi","","",
"Bairaag","Asit Sen","Dilip Kumar, Saira Banu, Leena Chandavarkar","","",
"Bajrangbali","","Biswajeet, Moushumi Chatterjee, Shashi Kapoor","Mythology","",
"Balika Badhu","Tarun Majumdar","Sachin, Rajni Sharma, Asrani","","",
"Barood","Pramod Chakraborty","Rishi Kapoor, Shoma Anand","","",
"Bhala Manus","","Randhir Kapoor, Neetu Singh","","",
"Bhanwar","","","","",
"Bullet (1976 film)","","Dev Anand, Zeenat Aman","","",
"Bundal Baaz","","Rajesh Khanna, Sulakshana Pandit","","",
"Chalte Chalte","Sunder Dar","Simi Garewal, Vishal Anand","","Music by Bappi Lahiri",
"Charas","","Dharmendra, Hema Malini","","",
"Chitchor","Basu Chatterjee","Amol Palekar, Zarina Wahab, Vijayendra Ghatge, Dina Pathak","","",
"Deewaangee","","Shashi Kapoor, Zeenat Aman","","",
"Do Anjaane","","Amitabh Bachchan, Rekha, Prem Chopra","","",
"Do Khiladi","","","","",
"Do Ladkiyan","","","","",
"Dus Numbri","","Manoj Kumar, Hema Malini, Premnath, Pran","","",
"Ek Se Badhkar Ek","","Ashok Kumar, Sharmila Tagore","","",
"Fakira","","Shashi Kapoor, Shabana Azmi, Danny Dengzongpa","","",
"Ginny Aur Johnny","","Mehmood, Nutan, Helen, Hema Malini","","",
"Gumrah","","","","",
"Hera Pheri","Manmohan Desai","Amitabh Bachchan, Vinod Khanna, Saira Banu, Sulakshana Pandit","","",
"Jaaneman","","Dev Anand, Hema Malini, Premnath","","",
"Jai Jagat Janai","","Gemini Ganesan, Jayalalitha","","",
"Jeevan Jyoti","","Vijay Arora, Bindiya Goswami","","",
"Kabeela","","Feroz Khan, Rekha, Bindu","","",
"Kabhie Kabhie","Yash Chopra","Amitabh Bachchan, Raakhee, Rishi Kapoor, Waheeda Rehman, Shashi Kapoor, Neetu Singh","Romance","",
"Kadambari","","Shabana Azmi, Vikram","","",
"Kalicharan","Subhash Ghai","Shatrughan Sinha, Reena Roy, Premnath","","",
"Khaan Dost","","Shatrughan Sinha, Mithu Mukherjee","","",
"Khalifa","","Randhir Kapoor, Rekha, Pran","","",
"Koi Jeeta Koi Haara","","Shashi Kapoor, Saira Banu","","",
"Lagaaam","","","","",
"Laila Majnu","","Rishi Kapoor, Ranjeeta, Danny Dengzongpa","","",
"Maa","","Dharmendra, Hema Malini","","",
"Maha Chor","","Rajesh Khanna, Neetu Singh","","",
"Manthan","Shyam Benegal","Naseeruddin Shah, Smita Patil, Girish Karnad, Amrish Puri","Drama","",
"Mazdoor Zindabaad","","","","",
"Mehbooba","","Rajesh Khanna, Hema Malini, Yogeeta Bali, Prem Chopra","","",
"Mrigayaa","Mrinal Sen","Mithun Chakraborty, Mamata Shankar, Anoop Kumar","Drama","",
"Naach Uthe Sansaar","","Shashi Kapoor, Hema Malini","","",
"Nagin","Raj Kumar Kohli","Sunil Dutt, Feroz Khan, Rekha, Mumtaz, Reena Roy","","",
"Nehle Pe Dehla","","Sunil Dutt, Vinod Khanna, Saira Banu","","",
"Nishaant","Shyam Benegal","Smita Patil, Shabana Azmi, Naseeruddin Shah","","",
"Rakhi Aur Rifle","","","","",
"Raksha Bandhan","","","","",
"Rangila Ratan","","Rishi Kapoor, Parveen Babi","","",
"Sabse Bada Rupaiya","Vinod Mehra, Moushumi Chatterjee, Mehmood","","","",
"Sajjo Rani","","","","",
"Sangat","","","","",
"Sangram","","","","",
"Santan","","","","",
"Shahi Lutera","","","","",
"Shankar Dada","","Shashi Kapoor, Neetu Singh, Pran","","",
"Shankar Shambhu","","Feroz Khan, Vinod Khanna","","",
"Shaque","","Vinod Khanna, Shabana Azmi","","",
"Sharafat Chod Di Maine","","Feroz Khan, Hema Malini","","",
"Sikandar","","","","",
"Sita Swayamvar","","","","",
"Tapasya","","Raakhee, Parikshit Sahani","","",
"Udhar Ka Sindur","","Jeetendra, Reena Roy","","",
"Veer Bhagdavalo","","","","",
"Zamane Se Poocho","","","","",
"Zid","","","","",
"Zindagi","","","","",
