Title,Director,Cast,Genre
16 December,Mani Shankar,"Milind Soman, Dipannita Sharma, Gulshan Grover, Aditi Govitrikar, Sushant Singh",Action
23rd March 1931: Shaheed,Guddu Dhanoa,"Sunny Deol, Bobby Deol, Divya Dutta, Aishwarya Rai, Amrita Singh","Historical, Drama"
Aakhri Inteqam,,,
Aankhen,Vipul Shah,"Amitabh Bachchan, Akshay Kumar, Paresh Rawal, Arjun Rampal, Sushmita Sen, Kashmira Shah, Bipasha Basu","Thriller, Action"
Aap Mujhe Achche Lagne Lage,Vikram Bhatt,"Hrithik Roshan, Amisha Patel","Romance, Drama"
Ab Ke Baras,Raj Kanwar,"Amrita Rao, Arya Babbar, Ashish Vidyarthi","Romance, Drama"
Agni Varsha,Arjun Sajnani,"Raveena Tandon, Akkineni Nagarjuna, Prabhu Deva, Milind Soman, Jackie Shroff, Sonali Kulkarni, Amitabh Bachchan",Historical
Amma,,,
Angaar: The Fire,Ajay Kashyap,"Vinay Anand, Rana Jung Bahadur, Rajat Bedi, Sanober Kabir",
Anita and Me,Metin Hüseyin,"Kabir Bedi, Max Beesley, Sanjeev Bhaskar, Anna Brewster, Meera Syal","Comedy, Drama"
Akhiyon Se Goli Maare,Harmesh Malhotra,"Govinda, Raveena Tandon, Kader Khan",Comedy
Annarth,Ravi Dewan,"Sunil Shetty, Sanjay Dutt, Ashutosh Rana, Preeti Jhangiani, Johny Lever, Tinu Anand","Action, Thriller"
Ansh: The Deadly Part,"Om Puri, Ashutosh Rana, Abbas, Sharbani Mukherji",Action Thriller,
Awara Paagal Deewana,Vikram Bhatt,"Akshay Kumar, Sunil Shetty, Aftab Shivdasani, Amrita Arora, Rahul Dev, Preeti Jhangiani","Action, Comedy"
Be-Lagaam,Ram Lakhan,"Aryan Vaid, Pramod Moutho, Tanveer Zaidi",Action
Badhaai Ho Badhaai,Satish Kaushik,"Anil Kapoor, Shilpa Shetty, Kirti Reddy","Comedy, Drama"
Bharat Bhagya Vidhata,,,
Bheeru No,,,
Bollywood Queen,,,
Bomb the System,,,
Chalo Ishq Ladaaye,,"Govinda, Rani Mukerji",Comedy
Chhal,,,
Chor Machaaye Shor,Aziz Sejawal,"Shilpa Shetty, Bobby Deol, Bipasha Basu","Comedy, Romance, Crime"
Company,Ram Gopal Varma,"Ajay Devgan, Manisha Koirala, Vivek Oberoi, Antara Mali","Crime, Drama"
Danger,,,
Darwaza,,,
Deewangee,,"Urmila Matondkar, Ajay Devgan, Akshaye Khanna",Thriller
Desh Devi,,,
Devdas,Sanjay Leela Bhansali,"Shahrukh Khan, Madhuri Dixit, Aishwarya Rai, Kiron Kher, Jackie Shroff","Romance, Drama, Musical"
Dil Hai Tumhaara,Kundan Shah,"Rekha, Preity Zinta, Mahima Chaudhary, Arjun Rampal, Jimmy Shergill","Family, Drama"
Dil Vil Pyar Vyar,Anant Mahadevan,"Jimmy Shergill, Sanjay Suri, Namrata Shirodkar, Madhavan, Sonali Kulkarni, Hrishita Bhatt","Romance, Drama"
Durga: It's Not Just a Love Story,,,
Ek Aur Visphot,,,
Ek Chotisi Love Story,Shashilal K. Nair,Manisha Koirala,Erotic
Encounter: The Killing,,,
Filhaal,Meghna Gulzar,"Tabu, Sushmita Sen, Sanjay Suri",Drama
Gangobai,,,
Ghaav: The Wound,Kumar Jay,"Pankaj Berry, Rahul Bhatt, Seema Biswas, Gayatri",
Gunaah,Amol Shetge,"Dino Morea, Bipasha Basu, Irrfan Khan","Thriller, Romance"
Haan Maine Bhi Pyaar Kiya,Dharmesh Darshan,"Akshay Kumar, Karisma Kapoor, Abhishek Bachchan",Drama
Haathi Ka Anda,,,
Hathyar,Mahesh Manjrekar,"Sanjay Dutt, Shilpa Shetty, Namrata Shirodkar",Drama
Hum Hain Pyaar Mein,,"Ram Asra, Neelima Azeem, Hemant Birje, Mohan Joshi",
Hum Kisise Kum Nahin,David Dhawan,"Amitabh Bachchan, Ajay Devgan, Sanjay Dutt, Aishwarya Rai","Action, Comedy"
Hum Pyar Tumhi Se Kar Baithe,,"Jugal Hansraj, Tina Rana",Romance
Hum Tumhare Hain Sanam,K. S. Adhiyaman,"Salman Khan, Shahrukh Khan, Madhuri Dixit, Atul Agnihotri, Aishwarya Rai","Drama, Romance"
Humraaz,Abbas-Mustan,"Bobby Deol, Akshaye Khanna, Amisha Patel",Thriller
Inth Ka Jawab Patthar,,,
"Jaani Dushman:
Ek Anokhi Kahani",Rajkumar Kohli,"Sunny Deol, Akshay Kumar, Sunil Shetty, Sonu Nigam, Arshad Warsi, Aftab Shivdasani, Manisha Koirala",Fantasy
Jackpot Do Karode,,,
Jeena Sirf Merre Liye,Satish Kaushik,"Tusshar Kapoor, Kareena Kapoor, Mallika Sherawat",Romance
Junoon,,"Shilpa Shetty, Chandrachur Singh, Sonali Kulkarni",
Kaaboo,,"Rajat Bedi, Sudesh Berry, Mushtaq Khan, Inder Kumar, Sayaji Shinde, Shweta Menon",Action
Kaante,Sanjay Gupta,"Amitabh Bachchan, Sanjay Dutt, Sunil Shetty, Mahesh Manjrekar, Lucky Ali, Kumar Gaurav, Lisa Ray, Isha Koppikar, Malaika Arora, Rati Agnihotri","Action, Thriller"
Kabhie Tum Kabhie Hum,,,
Kali Salwaar,,,
Karz: The Burden of Truth,Harry Baweja,"Sunny Deol, Sunil Shetty, Shilpa Shetty","Action, Thriller"
Kehtaa Hai Dil Baar Baar,Rahul Dholakia,"Jimmy Shergill, Kim Sharma, Paresh Rawal",
Khalnayakon Ka Khalnayak,,,
Kitne Door Kitne Paas,,"Fardeen Khan, Amrita Arora, Sonali Kulkarni",
Koi Mere Dil Se Poochhe,Boney Kapoor,"Jaya Bachchan, Esha Deol, Aftab Shivdasani, Sanjay Kapoor, Anupam Kher","Drama, Romance, Social"
Kranti,,"Bobby Deol, Amisha Patel",
Kuch Tum Kaho Kuch Hum Kahein,,"Fardeen Khan, Richa Pallod",Romance
Kya Yehi Pyaar Hai,,"Amisha Patel, Aftab Shivdasani, Jackie Shroff",
Kyaa Dil Ne Kahaa,,"Tusshar Kapoor, Esha Deol",Romance
Kuch Dil Ne Kaha,,"Rakesh Bapat, Reema Sen",Romance
Lal Salaam,Gaganvihari Borate,"Nandita Das, Sharad Kapoor, Makrand Deshpande, Vijay Raaz",
