"Title","Director","Cast","Genre","Sources",
"Aaja Sanam","Yusuf Naqvi","Feroz Khan, Tanuja","Romance","",
"Aag Aur Toofan","Tanvir Ahmed","Mumtaz, Robin Kumar, Anwar Hussain, Rajan Haskar","","",
"Aakhri Daao","","Jeetendra, Saira Banu","","",
"Aakraman","","Sanjeev Kumar, Rekha, Rakesh Roshan","","",
"Aandhi","Gulzar","Suchitra Sen, Sanjeev Kumar","Drama","",
"Alakh Niranjan (film)","","","","",
"Amanush","Shakti Samanta","Uttam Kumar, Sharmila Tagore, Utpal Dutt","","",
"Anari","Asit Sen","Shashi Kapoor, Sharmila Tagore, Moushumi Chatterjee, Kabir Bedi, Kader Khan","Romance","",
"Andhera","","Vikram, Vani Ganpati","","",
"Andolan","Lekh Tandon","Rakesh Pandey, Neetu Singh","","",
"Anokha","","","","",
"Apne Dushman","","Reena Roy","","",
"Apne Rang Hazaar","Ravi Tandon","Sanjeev Kumar, Leena Chandavarkar, Danny Denzongpa, Bindu","","",
"Balak Aur Janwar","","","","",
"Biwi Kiraya Ki","","","","",
"Chaitali","Hrishikesh Mukherjee","Dharmendra, Saira Banu","","",
"Charandas Chor","","","","",
"Chhoti Si Baat","Basu Chatterjee","Ashok Kumar, Vidya Sinha, Amol Palekar","","",
"Chori Mera Kaam","","Shashi Kapoor, Zeenat Aman, Pran","","",
"Chupke Chupke","Hrishikesh Mukherjee","Dharmendra, Amitabh Bachchan, Jaya Badhuri, Sharmila Tagore","Romance","",
"Dafaa 302","","Randhir Kapoor, Rekha","","",
"Deewaar","Yash Chopra","Amitabh Bachchan, Shashi Kapoor, Neetu Singh, Parveen Babi","Drama","",
"Dharam Karam","Raj Kapoor","Raj Kapoor, Randhir Kapoor, Rekha","","",
"Dharmatma","Firoz Khan","Feroz Khan, Hema Malini, Rekha, Danny Denzongpa, Ranjeet","","",
"Dhoti Lota Aur Chowpatty","","","","",
"Do Jasoos","","Shailendra Singh, Bhavna Bhatt, Raj Kapoor, Rajendra Kumar","","",
"Do Jhoot","","Vinod Mehra, Moushumi Chatterjee, Pran","","",
"Do Thug","","Shatrughan Sinha, Hema Malini","","",
"Ek Mahal Ho Sapno Ka","","Dharmendra, Sharmila Tagore, Leena Chandavarkar","","",
"Faraar","","Sanjeev Kumar, Sharmila Tagore, Amitabh Bachchan","","",
"Geet Gaata Chal","","Sachin, Sarika","","",
"Hero","","","","",
"Himalay Se Ooncha","","Sunil Dutt, Mallika Sarabhai","","",
"Jaan Hazir Hai","","","","",
"Jaggu","","Shatrughan Sinha, Leena Chandavarkar","","",
"Jai Santoshi Maa","Vijay Sharma","Bharat Bhushan, Kanan Kaushal","","",
"Julie","K.S. Sethumadhavan","Vikram, Lakshmi, Nadira, Om Prakash","","",
"Kaagaz Ki Nao","","Raj Kiran, Sarika","","",
"Kahte Hain Mujhko Raja","","Dharmendra, Hema Malini, Biswajeet, Rekha","","",
"Kala Sona","","Feroz Khan, Parveen Babi","","",
"Khel Khel Mein","Ravi Tandon","Rishi Kapoor, Neetu Singh, Rakesh Roshan","Drama","",
"Khushboo","Gulzar","Jeetendra, Hema Malini, Sharmila Tagore","Drama","",
"Lafange","","Randhir Kapoor, Mumtaz, Pran","","",
"Mausam","Gulzar","Sanjeev Kumar, Sharmila Tagore","Romance","",
"Mazaaq","","Vinod Mehra, Moushumi Chatterjee","","",
"Mere Sajna","","Navin Nischol, Raakhee","","",
"Mere Sartaj","","Zahira, Satish Kaul","","",
"Mili","Hrishikesh Mukherjee","Amitabh Bachchan, Jaya Badhuri, Ashok Kumar","Romance","",
"Natak","","Vijay Arora, Moushumi Chatterjee","","",
"Neelima","","Zahida","","",
"Nishant","Shyam Benegal","Anant Nag, Shabana Azmi, Sadhu Meher","","",
"Ponga Pandit","","Randhir Kapoor, Nita Mehta, Prema Narayan, Danny Denzongpa","","",
"Pratiggya","Dulal Guha","Dharmendra, Hema Malini, Ajit Khan","Action","",
"Prem Kahani","","Rajesh Khanna, Mumtaz, Shashi Kapoor, Vinod Khanna","","",
"Qaid","","Vinod Khanna, Leena Chandavarkar, Mehmood Ali","","",
"Rafoo Chakkar","","Rishi Kapoor, Neetu Singh, Paintal","","",
"Raftaar","","Vinod Mehra, Moushumi Chatterjee","","",
"Raja","","Rishi Kapoor, Sulakshana Pandit","","",
"Rani Aur Lalpari","","Jeetendra, Reena Roy, Neetu Singh, Asha Parekh, Feroz Khan","","",
