Title,Director,Cast,Genre,Notes
Meghdoot,Debaki Bose,"Leela Desai, Shahu Modak, Wasti Agha, M. Gupte, Nimbalkar, Hari Shivdasani, Kusum Deshpande","Costume, Drama","Music: Kamal Dasgupta
Lyrics: Faiyyaz Hashmi, Gauddas, Narottam Vyas"
Moorti,Chaturbhuj Doshi,"Motilal, Khursheed, Padma Bannerjee, Zamindar, Yashwant Dave",Social,"Music: Bulo C. Rani
Lyrics: Pandit Indra"
Nasib,Vedi,"Krishnakant, Najma, Kumar, Pramila, Sunetra, Leela Mishra, Jilloobai, David Ghory, Padmini",Social,"Music: Gobind Ram
Lyrics: Rammurti Chaturvedi, Aziz Kashmiri, I. C. Kapoor"
Nal Damyanti,Kumarsen Samarth,"Prithviraj Kapoor, Shobhana Samarth",Mythology,"Music:
Lyrics:"
Neelam,Essa,"Harish, Khursheed, Sadhana Bose, Meena, Kanhaiyalal, Kalyani, Yashodhara Katju, Atish Sayani",Social,"Music: Khan Mastana
Lyrics: C. M. Hunar"
Pannadai,Ram Daryani,"Durga Khote, Chandra Mohan, Mubarak Meenaxi, M. Esmail, Vinay Kale, Master Vithal, Gope, Gulab, Leela Mishra, Azurie",Social,"Music: Gyan Dutt
Lyrics: D. N. Madhok"
Parinde,P. K. Atre,"Surendra, Sitara Devi, Vanmala, Sunalini Devi, Baburao Pendharkar, Dixit, Jairam Desai,",,"Music: Gobind Ram
Lyrics: Rammurti Chaturvedi"
Pehali Nazar,Mazhar Khan,"Motilal, Veena, Munawwar Sultana, Baburao Pendharkar, Nemo, Bibbo, Balakram, Bhudo Advani, Cuckoo","Romantic, Drama","Music: Anil Biswas
Lyrics: Safdar Aah"
Phool,K. Asif,"Suraiya, Prithviraj Kapoor, Veena, Yakub, Sitara Devi, Durga Khote, Dixit, Ashraf Khan, Agha, Mazhar Khan, M. Esmail, Jilloobai","Romantic, Family, Drama","Music: Ghulam Haider
Lyrics: Rammurti Chaturvedi"
Piya Milan,S. M. Yusuf,"Motilal, Nirmala Devi, Najma, W. M. Khan, Leela Mishra, Mirza Musharraf",Social,"Music: Firoz Nizami
Lyrics: Tanveer Naqvi, M. Naseem"
Prabhu Ka Ghar,Wajahat Mirza,"Trilok Kapoor, Khursheed, Sulochana Chatterjee, Bipin Gupta, Prakash, Nagendra",Devotional,"Music: Bulo C. Rani
Lyrics: Pandit Indra"
Pratima,P. Jairaj,"Dilip Kumar, Swarnalata, Shah Nawaz, Mumtaz Ali, Jyoti, Mukri, P. F. Peethawala",Social,Music: Arun Kumar Lyrics: Narendra Sharma
Preet,Ram Daryani,"Snehprabha, Chandra Mohan, Nazir, Swarnalata, Pahari Sanyal, Gope, Gulab","Romance, Drama","Music: Bulo C. Rani
Lyrics: D. N. Madhok"
Rahat,Ramniklal Desai,"Sardar Akhtar, P. Jairaj, Indira, V. Kumtekar, Hari Shivdasani, Kanhaiyalal",Social,"Music: S. Dutt
Lyrics: Pandit Phani"
Ragini,Shankar Mehta,"Najamul Hasan, Smriti, Pran, Sajjan, Baij Sharma, Mumtaz, Aruna",Social,Music: Amarnath
Raj Laxmi,P. Mitra,"Kananbala, Jahar Ganguly, Chhabi Biswas, Purnima, Iftekhar, Natwar",Social,"Music: Robin Chatterjee, Dhiren Mitra
Lyrics: Suresh Chaudhari"
Ramayani,S. Badami,"Nargis, Chandra Mohan, Pahari Sanyal, Kanhaiyalal, Prabha, Rose, Amirbai Karnataki",Social,"Music: S. N. Tripathi
Lyrics: Bekal"
Ratnavali,Surendra Desai,"Surendra, Maya, Ratnamala, Usha Mantri, Leela Mishra, K. N. Singh, Nand Kishore",,"Music: Gobind Ram
Lyrics: Rammurti Chaturvedi"
Samrat Chandragupta,Jayant Desai,"Ishwarlal, Suraiya, Sulochana Chatterjee, Mubarak, Nayampally, Renuka Devi","Epic, Historical","Music: C. Ramchandra
Lyrics: Madhur"
Sanyasi,A. R. Kardar,"Shamim, Amar, Shyam Sunder, Ghulam Mohammed, Naseem Jr",Social,"Music: Naushad
Lyrics: Buddhichandra Agrawal Madhur"
Sawan,Dwarka Khosla,"Motilal, Shanta Apte, Sushil Sahu, Chandraprabha, Kayam Ali, Pratima Devi",Social,"Music: C. Ramchandra
Lyrics: I. C. Kapoor"
Sharbati Ankhen,Ramchandra Thakur,"Vanmala, Ishwarlal, Rajkumari, Sumati Gupte, Firoze Dastur, Agha, Aftab, Harish",Social,"Music: Firoz Nizami
Lyrics:"
Shirin Farhad,Prahlad Dutt,"Zahur Shah, Ragini, Jayant, Ghulam Mohammed, Gyani","Legend, Romance","Music: Pandit Amarnath, Rasheed Atre
Lyrics: D. N. Madhok"
Shri Krishnarjun Yudh,Mohan Sinha,"Prithviraj Kapoor, Shobhana Samarth, Shahu Modak, Trilok Kapoor, Menaka Devi, Kanhaiyalal, Rattan Bai",Religious,"Music: Jagannath Prakash
Lyrics: Safdar Aah, Yashodanandan Joshi"
Swarg Se Sundar Desh Hamara,Debaki Bose,"Biman Bannerjee, Kamal Mitra, Padma Devi",Social,"Music: Debaki Bose
Lyrics:"
Tadbir,Jayant Desai,"K. L. Saigal, Suraiya, Mubarak, Rehana, Salvi, Rewashankar, Shashi Kapoor, Shalini","Social, Romance, Drama","Music: Lal Mohammed
Lyrics: Swami Ramanand Saraswati"
Taramati,Raja Nene,"Shobhana Samarth, Anant Marathe, Devaskar, Saroj Borkar, Paresh Banerjee, Kanhaiyalal, Baby Shakuntala",Mythology,"Music: Ramchandra Pal, Keshavrao Bhole
Lyrics: Mukhram Sharma Ashant"
Veer Kunal,Kishore Sahu,"Shobhna Samarth, Kishore Sahu, Durga Khote, Mubarak, Moni Chatterjee, Vasantrao Pehalwan, Maya Banerji","Historical, Drama","Music: Khan Mastana
Lyrics: Neelkanth Tiwari, Ambikesh Kuntal, Pandit Madhur"
Vasiyatnama,Soumyen Mukherjee,"Bharati Devi, Ahindra Choudhury, Sumitra, Hiralal, Debi Mukherjee, Tulsi Chakraborty",Social,"Music: R. C. Boral
Lyrics: Zaakir Hussain"
Vikramaditya,Vijay Bhatt,"Prithviraj Kapoor, Prem Adib, Ranjana, Baburao Pendharkar, Bhagwandas, Ratnamala, Jilloobai","Historical, Drama","Music: Shanker Rao Vyas
Lyrics: Ramesh Gupta"
Yateem,Zia Sarhadi,"Suraiya, Yakub, E. Billimoria, Chandraprabha, Noor Mohammed Charlie, Uday Kumar, Bhudo Advani, David, Lalita Pawar","Social, Drama","Music: Khurshid Anwar
Lyrics: Zia Sarhadi"
Zeenat,Shaukat Hussain Rizvi,"Noor Jehan, Yakub, Karan Dewan, Dixit, Majid, Himalayawala, Salim Raza, Bibbo, Shah Nawaz, Shashikala, Nazeer, Aga, Jilloo Bai","Social, Family, Drama","Music: Meer Saheb, Hafiz Khan Lyrics: Shewan Rizvi, Nakshab Jarchvi, Anjum Pilibhiti, Maharul Qadre"
Zid,H. S. Rawail,"Ramola, Ramesh Sinha, Manorama, Balkrishna, Sunder, Zahur Shah, Hiralal",Social,"Music: G. A. Chisti
Lyrics: Shanti Swaroop Madhukar, G A Chishti"
