Title,Director,Cast,Genre,Notes
Aarti,Ramchandra Thakur,"Surendra, Vanmala, Hansa Wadkar, Sheikh Mukhtar, Kanhaiyalal, Ansari, Harish",Social,"Music: Ali Baksh, Ashok Ghosh"
Adhar,Pannalal Ghosh,"Umakant, Kokila, Mehar Sultana, A.R. Pehalwan, Leela Pawar, Dalpat, Shakir",Social,"Music: S. N. Tripathi
Lyrics: M A Razi"
Albeli,R. C. Talwar,"Ramola, Satish, Hiralal, Manorama, Sunder, Usha, Rooplekha",Social,"Music: G. A. Chisti
Lyrics:"
Alladin,Nanubhai Vakil,"Prakash, Shanta Patel, N. A. Ansari, Rafiqe, Nawaz, Rekha Pawar","Costume, Fantasy","Music: Damodar Sharma
Lyrics: Roopbani"
Amiree,P. C. Barua,"P. C. Barua, Jamuna, Ramola, Molina, Maya Banerji, Ahindra Choudhury, Sailen Choudhry",Social,"Music: D. M. Tagore
Lyrics:"
Amrapali,Nandlal Jaswantlal,"Prem Adib, Sabita Devi, Jeevan, Arun Kumar, Gulab, Sankatha Prasad, Jagdish Sethi, Badri Prasad","Costume, Drama","Music: Saraswati Devi
Lyrics:"
Bachpan,Homi Wadia,"Chandraprabha, Mazhar Khan, Shakuntala, Dixit, Gulab, Dalpat, Shashi Kapoor, Nandrekar","Social, Family, Drama","Music: S. N. Tripathi
Lyrics: I. C. Kapoor"
Badi Maa,Master Vinayak,"Noor Jehan, Sitara Devi, Meenakshi, Leela Mishra, Lata Mangeshkar, Ishwar Lal, Girish","War, Family, Drama","Music: Datta Korgaonkar Lyrics: Zia Sarhadi, Anjum Pilibhiti"
Ban Phool,Niren Lahiri,"Kanan Devi, Ahindra Choudhury, Kamal Mitra, Hiralal, Debi Mukherjee, Krishnakant",Social,"Music: Dhiren Mitra
Lyrics: Pandit Madhur"
Begum,Sushil Majumdar,"Ashok Kumar, Naseem Banu, V. H. Desai, Bikram Kapoor, Sharda",Social,"Music: Hari Prasanna Das
Lyrics: Gopal Singh Nepali"
Bhai Jaan,S. Khalil,"Noor Jehan, Karan Dewan, Anees Khatoon, Nazir Kashmiri, Meena, Shah Nawaz, Ansari","Family, Drama",Music: Shyam Sunder Lyrics: Partau Lakhnavi
Bisvi Sadi,M. Bhavnani,"Motilal, Nargis, Mazhar Khan, Gope, Ashalata, Navin, Bhudo Advani",Social,"Music: Pannalal Ghosh
Lyrics:"
Champa,Barkat Mehra,"Zahur Shah, Asha Posley, Manorama, Majnu, Salma, Hari Shivdasani",Social,"Music: Lachhiram Tamar, Anupam Ghatak
Lyrics:"
Chand Chakori,Kidar Sharma,"Surendra, Mumtaz Shanti, Maruti",Social,"Music: Bulo C. Rani
Lyrics: Pandit Indra"
Chand Tara,Mahesh Chandra,"Swarnalata, Jagdish Sethi, Noor Mohammed Charlie, Pesi Patel, Kesari, Ghory, Indira",Social,"Music: Gyan Dutt
Lyrics: Swami Ramanand Saraswati"
Chhamia,Protima Dasgupta,"Begum Para, Protima Dasgupta, Dixit, Azurie, Gulab, Arif, David",Social,"Music: Gyan Dutt
Lyrics: Pandit Indra, Kabil Amritsari"
Chand Chakori,Kidar Sharma,"Mumtaz Shanti, Surendra, Kesari, Ashraf Khan",Social,"Music: Bulo C. Rani
Lyrics: Pandit Indra"
Chand Tara,Mahesh Chandra,"Swarnalata, Jagdish Sethi, Pesi Patel, Noor Mohammed Charlie, Indira, Ghory, Kesari",Social,"Music: Gyan Dutt
Lyrics: Swami Ramanand Saraswati"
Devdasi,C. S. Bose,"Prithviraj Kapoor, Monica Desai, K. C. Dey, Arvind Sen, Bikram Kapoor",Social,"Music: K. C. Dey
Lyrics: Narottam Vyas"
Dhamki,Ravindra Dave,"Al Nasir, Ragini, Smriti Biswas, Om Prakash, Kalavati",Social,"Music: Pandit Amarnath
Lyrics: D. N. Madhok"
Dhanna Bhagat,Kidar Sharma,"Kamla Chatterjee, Kamal Zamindar, N. Kabir, Pesi Patel, Shanta Kumari, Yashwant Dave, Rajinder Singh, Baby Madhubala","Biopic, Devotional","Music: Khemchand Prakash
Lyrics: Pandit Indra"
Dharm,Ramnik Desai,"Leela Pande, Madhuri, E. Billimoria, Maya Devi, Jamshedji, Rattanbai",Social,"Music: Sajjad Hussain
Lyrics: Shewan Rizvi, Baalam Pardesi"
Din Raat,Roop K. Shorey,"Raja Paranjpe, Snehprabha, Sulochana Chatterjee, Paresh Bannerjee, Vasant Thengdi",Social,Music: Chandekar
Ek Din Ka Sultan,Sohrab Modi,"Mehtab, Sohrab Modi, Wasti, Ghulam Mohammed, Pratima Devi, Amir Bano","Historical, Drama","Music: Shanti Kumar
Lyrics: Wali Saheb"
Ghazal,Zahur Raja,"Leela Chitnis, Zahur Raja, Radharani, Noor Mohammed Charlie, Gulab",Social,"Music: Gyan Dutt
Lyrics: D. N. Madhok, Abid Gulrez, Shant Arora, Khawar Zaman"
Gaoon Ki Gori a.k.a. Village Girl,K. Amarnath,"Noor Jehan, Nazir Ahmed Khan, Durga Khote, Geeta Nizami, Anant Marathe, M.A. Khan",,Music: Shyam Sunder Lyrics: Wali Saheb
Ghar,V. M. Vyas,"Jamuna, Nawab, Molina, Yakub, Dulari, Kalyani, Mirza Musharaf, W. M. Khan, Iftekhar","Family, Drama","Music: Alla Rakha
Lyrics: Roopbani"
Ghulami,Mohan Wadhwani,"Renuka Devi, Masood, Parkash, David, Tiwari, Parvez, Nawab, Bharat Vyas, Ram Avtar",Social,"Music: S. K. Pal
Lyrics: Bharat Vyas, Akhtar ul Iman, Majaz, Josh Malihabadi"
Hamara Sansar,Shanti Kumar,"Ranjana, Umakant, Jeevan, Sumati Gupte, Madhusudan, Athavale",Social,"Music: Govind Ram
Lyrics: Ramesh Gupta"
Humayun,Mehboob Khan,"Ashok Kumar, Veena, Nargis, Chandra Mohan, Shah Nawaz, Himalayawala, K. N. Singh","Historical, Drama","Music: Ghulam Haider Lyrics:Shums Lucknavi, Arzoo Lucknowi"
Ji Haan,Babubhai Mistry,"Shanta Patel, Agha, S. Nazir, Meera, Gulab",Action,"Music: S. N. Tripathi
Lyrics: Pandit Indra"
Kaise Kahoon,Moti B. Gidwani,"Ragini, Jagirdar, Pran, Durga Mota, Najmal Hussain","Social, Drama","Music: Pandit Amarnath Lyrics: Qamar Jalalabadi, D. N. Madhok, Moti"
Khiladi,A. H. Essa,"E. Billimoria, Rajkumari, Gope, Agha",Action,"Music:
Lyrics:"
Kul Kalank,Nanubhai Vakil,"Shanta Hublikar, Masood, Dulari, Majid, Shahzadi, W. M. Khan, Pratima Devi",Social,"Music: Allah Rakha
Lyrics: Roopbani"
Kurukshetra,Rameshwar Sinha,"K. L. Saigal, Radharani, Nawab Kashmiri, Biman Bannerjee, Shanti, Agha Mohammed",Mythology,"Music: Pandit Ganpat Rao
Lyrics: Jameel Mazhari"
Laila Majnu,Nazir,"Swarnalata, Nazir Ahmed Khan, K. N. Singh, Ismail, Gope, Anita","Legend, Costume, Drama","Music: Rafiq Ghaznavi, Gobind Ram Lyrics: Tanveer Naqvi"
Lakharani,Vishram Bedekar,"Urmila, Sapru, Durga Khote, Monica Desai, Azurie, Gouri, Ramsingh, Guru Dutt, Ram Singh","Costume, Drama","Music: Krishna Rao
Lyrics: Qamar Jalalabadi"
Mai Kya Karun,Sudhir Sen,"Suraiya, Pahari Sanyal, Hansa Wadkar, E. Billimoria, Shah Nawaz, Bikram Kapoor",Social,"Music: Ninu Majumdar
Lyrics: Rammurti Chaturvedi, D. N. Madhok"
Mazdoor,Nitin Bose,"Veera, Nasir Khan, K. N. Singh, Radhakrishan, S. Nazir, S. L. Puri, Indumati, Motibai","Social, Drama","Music: H. P. Das
Lyrics: Gopal Singh Nepali"
