Title,Director,Cast,Genre,Notes
Insaaf,Kedar Kapoor,"Nalini Jaywant, Ajit, Johnny Walker, Durga Khote, Helen, Tiwari, Kamal Kapoor","Costume, Action, Drama","Chitragupta Lyrics: Asad Bhopali, Hasrat Jaipuri, Anjum Jaipuri"
Inspector,Shakti Samanta,"Ashok Kumar, Geeta Bali, K. N. Singh, Pran, Nazir Hussain, Mukri, Achala Sachdev, Mehmood, Pratima Devi, Kammo","Crime, Romance",Music: Hemant Kumar Lyrics: S. H. Bihari
Jagte Raho,"Amit Maitra, Sombhu Mitra","Raj Kapoor, Motilal, Sp. app. Nargis, Pradeep Kumar, Sumitra Devi, Smriti Biswas, Daisy Irani, Nana Palsikar",Social,"Music: Salil Choudhary Lyrics: Prem Dhawan, Shailendra"
Jayshree,"Harsukh Jagneshwar Bhatt, Bhalchandra Shukla","Pradeep Kumar, Nimmi, Jayant, Jeevan, Lalita Pawar, Radhakrishan, Daisy Irani, Chaman Puri, Vijay Kumar","Social, Drama","Music: Chitragupta Lyrics: Gopal Singh Nepali, Anjum Jaipuri"
Jaldeep,Kidar Sharma,"Ashok Sharma, Zeb Rehman, Mala Sinha, C. S. Dubey, Achala Sachdev",Children,"Best Children's Film- International Venice Film Festival, 1957. All India Certificate for Merit as the Best Children's Film- State Awards for Film, 1960. Music: Snehal Bhatkar Lyrics: Kidar Sharma, Kaif Irfani, Himmat Rai Sharma"
Jallad,Jay Bee,"Veena, Nasir Khan, Munawar Sultana, Tiwari, Gope, Sheela Vaz, Heera Sawant",Action,"Music: Nashad Lyrics: Jan Nisar Akhtar, Sartaj Rahmani, Khumar Barabankvi, Shewan Rizvi"
Jungle Queen,Nari Ghadiali,"Fearless Nadia, John Cawas, Maqbul, Habib, Heera Sawant, Sheikh",Action,Music: Nisar Bazmi Lyrics: Preetam Dehlvi
Kar Bhala,Bhagwan,"Begum Para, Nasir Khan, Bhagwan, Kumkum, Pran, Shashikala, Baburao Pendharkar, Kanchanmala, Minu Mumtaz",Action,Music: Nisar Chik Choklet Lyrics: Majrooh Sultanpuri
Karwan,Rafiq Rizvi,"Mahipal, Shakila, Yashodhara Katju, Gope, Cuckoo, Helen, Hiralal","Costume, Drama","Music: S. Mohinder Lyrics: Tanveer Naqvi, Sarshar Sailani, Bhushan"
Khul Ja Sim Sim,Nanubhai Vakil,"Mahipal, Shakila, Helen, Hiralal, Krishna Kumari, Niranjan Sharma",Fantasy,Music: Hansraj Behl Lyrics: Asad Bhopali
Kismet,Nanabhai Bhatt,"Nishi, Peace Kanwal, Ranjan, Tiwari, Helen, Gope, Malika, Maqbul, Cuckoo",Action,Music: Chitragupta Lyrics: Indeevar
Kismet Ka Khel,Kishore Sahu,"Vyjayantimala, Sunil Dutt, Begum Para, Yashodhara Katju, Kamaljeet, Kanchanmala, Mukri, Jagdeep, Bhudo Advani, Tun Tun, Moni Chatterjee",Social,"Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri"
Lal-E-Yaman,Nanubhai Vakil,"Mahipal, Anita Guha, Chitra, Daljeet, W. M. Khan, Minu Mumtaz, Helen, Hiralal","Costume, Fantasy","Music: A. R. Qureshi Lyrics: Kaif Irfani, Khumar Barabankvi"
Lalkaar,Nanubhai Vakil,"Mahipal, Nirupa Roy, Kumkum, Krishna Kumari, Radhkrishan, W. M. Khan, Hiralal, Nalini Chonkar","Action, Costume","Music: Sanmukh Babu Lyrics: Kavi Pradeep, Bharat Vyas, Pandit Madhur"
Lalten,Tara Harish,"Motilal, Geeta Bali, Mukri, Harish, Bhudo Advani, Mohan Choti, Kanhaiyalal, Shammi, Indira Bansal","Social, Romance","Music: Hemant Kumar Lyrics: Indeevar, Shewan Rizvi, Kaif Irfani"
Makkhee Choos,Ramchandra Thakur,"Mahipal, Shyama, Bhagwan, Gope, Leela Mishra, Jeevan, Moti Sagar, Shammi",Comedy,"Music: Vinod Lyrics: D. N. Madhok, Pandit Indra, Pyarelal Santoshi"
Malika,Majnu,"Mahipal, Shakila, Chandrashekhar, Yashodhara Katju, Om Prakash, Kumkum, Sunder, Ram Avtar",Costume,"Music: Hansraj Behl Lyrics: Asad Bhopali, Tanveer Naqvi, Verma Malik"
Mem Sahib,R. C. Talwar,"Shammi Kapoor, Meena Kumari, Kishore Kumar, Kumkum, Mehmood, Pratima Devi. Randhir",Social,Music: Madan Mohan Lyrics: Rajendra Krishan
Mr. Chakram,S. P. Bakshi,"Chandrashekhar, Shyama, Kumkum, Om Prakash, Sunder, Ranjana, Randhir",,Music: Husnlal Bhagatram Lyrics: Nakshab
Mr. Lambu,N. A. Ansari,"Sheikh Mukhtar, Suraiya, Kamaljit Bhagwan, Vijay Laxmi, Minu Mumtaz Helen, N. A. Ansari","Social, Crime","Music: O. P. Nayyar Lyrics: Majrooh Sultanpuri, Jan Nisar Akhtar, Harsh"
Naqab POsh,Ram Pahwa,"Manhar Desai, Chitra, Kumkum, Gope, Maya Dass, Anwar Hussain, Bhudo Advani","Costume, Thriller","Music Lyrics: Hasrat Jaipuri, Raja Mehdi Ali Khan, Munir Arzoo Kazmi, Mile Lakhnavi,"
Naya Andaz,K. Amarnath,"Kishore Kumar, Meena Kumari, Johnny Walker, Gope, Pran, Kumkum, Murad, Jayant, Sapru","Social, Romance",Music:O. P. Nayyar Lyrics: Jan Nisar Akhtar
New Delhi,Mohan Sehgal,"Kishore Kumar, Vyjayantimala, Jabeen, Anwar Hussain, Dhumal, Nazir Hussain, Prabhu Dayal, Nana Palsikar","Family, Drama","Music: Shankar Jaikishan Lyrics: Hasrat Jaipuri, Shailendra"
Paisa Hi Paisa,Mehrish,"Kishore Kumar, Mala Sinha, Shakila, Radhakrishan, I. S. Johar, Leela Mishra, Amar, Murad, Mukri, Zul Vellani, Husn Banu","Comedy, Family",Music: Anil Biswas Lyrics: Majrooh Sultanpuri
Parivar,Asit Sen,"Kishore Kumar, P. Jairaj, Usha Kiran, Durga Khote, Sajjan, Agha, Hiralal, Dhumal","Family, Drama",Music: Salil Chowdhary Lyrics: Shailendra
Passing Show,Bhagwan,"Chandrashekhar, Shakila, Purnima, Bhagwan, Daljeet",Action,Music: Manohar Lyrics: Prem Dhawan
Patrani,Vijay Bhatt,"Vyjayanthimala, Pradeep Kumar, Shashikala, Durga Khote, Om Prakash, Jeevan, David Abraham Cheulkar, Leela Mishra, Kanchanmala, Praveen Paul, Ramesh Sinha, Krishnakant, Helen, Sheela Vaz","Costume, Drama",Music: Shankar Jaikishan Lyrics: Shailendra
Pocket Maar,H. S. Rawail,"Dev Anand, Geeta Bali, Nadira, Lalita Pawar, Gope, Tiwari, Bhagwan, Minu Mumtaz, Tun Tun","Social, Crime",Music: Madan Mohan Lyrics: Rajendra Krishan
Raj Hath,Sohrab Modi,"Madhubala, Pradeep Kumar, Sohrab Modi, Murad, Ulhas, Tun Tun, Jagdish Kanwal, Kammo","Costume, Drama","Music: Shankar Jaikishan Lyrics: Hasrat Jaipuri, Shailendra"
Raj Rani Meera,G. P. Pawar,"Mahipal, Prem Adib, Sulochana, Lalita Pawar, Sapru, Tiwari, Roopmala, Moni Chatterjee",Devotional,Music: S. N. Tripathi Lyrics: B. D. Mishra
Rajdhani,Naresh Saigal,"Sunil Dutt, Nimmi, Durga Khote, Purnima , Johnny Walker, Tiwari, Naaz, S. Nazir",Action,Music: Hansraj Behl Lyrics: Qamar Jalalabadi
Ram Navami,Raman Desai,"Nirupa Roy, Prem Adib, Yashodra Katju, Shobha Khote, Jawahar Kaul, Ratnamala, Tiwari",Devotional,Music: Bulo C. Rani Lyrics: Kavi Pradeep
Ramshastri Ka Nyay,Vishram Bedekar,,Biography,
Rangeen Raten,Kedar Sharma,"Shammi Kapoor, Mala Sinha, Geeta Bali, Chand Usmani, Shammi, Pesi Patel, Paro Devi","Romance, Drama",Music: Roshan Lyrics: Kedar Sharma
Roop Kumari,Manibhai Vyas,"Mahipal, Chandrashekhar, Shakila, Krishna Kumari, Moni Chatterjee, Jankidas, Ratnamala, Tiwari",Costume,Music: S. N. Tripathi Lyrics: B. D. Mishra
Sailaab,Guru Dutt,"Geeta Bali, Abhi Bhattacharya, Smriti Biswas, Johnny Walker, Tun Tun, Rashid Khan, Moni Chatterjee, Helen, Bipin Gupta, Ram Singh, Nazir Kashmiri","Romance, Drama","Music: Mukul Roy Lyrics: Majrooh Sultanpuri, Hasrat Jaipuri, Shailendra, Madhukar Rajasthani"
Sajani,Vasant Painter,"Anoop Kumar, Krishna Kumari, Ruby Myers, Lalita Pawar, Sapru, Gope",,"Music: Sudhir Phadke Lyrics: Narendra Sharma, Nakhshab"
Samundari Daku,A. R. Zamindar,"Nasir Khan, Nadira, Kumkum, Iftekhar, Johnny Walker, Nazir Kashmiri",Action,Music: Jaidev Lyrics: Vishwamitra Adil
Sati Ansuya,Dhirubhai Desai,"Manhar Desai, Sumitra, Sulochana, Sunder, B. M. Vyas, Niranjan Sharma, Suryakant",Devotional,Music: Shivram Lyrics: Bharat Vyas
Sati Naag Kanya,Babubhai Mistri,"Mahipal, Nirupa Roy, Manhar Desai, S. N. Tripathi, Samar Roy, Malaya",Mythology,"Music: S. N. Tripathi Lyrics: Gopal Singh Nepali, B. D. Mishra, Saraswati Kumar Deepak"
Shatranj,Gyan Mukherjee,"Ashok Kumar, Meena Kumari, Yakub, Jagdish Sethi, Rajendranath, Nana Palsikar, Vijay Laxmi","Social, Drama",Music: C. Ramchandra Lyrics: Rajendra Krishan
Shirin Farhad,Aspi Irani,"Madhubala, Pradeep Kumar, P. Kailash, Ameeta, P Kailash, Ram Avtar, Jagdish Kanwal","Legend, Romance","Music: S. Mohinder Lyrics: Tanvir Naqvi, Saba Afghani"
Sheikh Chilli,Ramchandra Thakur,"Shyama, Mahipal, Agha, B. M. Vyas, Bhagwan, Kammo",Fantasy,Music: Vinod Lyrics: Pandit Indra
Shrimati 420,G. P. Sippy,"Meena Shorey, Johnny Walker, Om Prakash, Helen, Uma Dutt, Manorama","Comedy, Social","Music: O. P. Nayyar Lyrics: Majrooh Sultanpuri, Jan Nisar Akhtar"
Sipahsalar,Mohammed Husain,"Shammi Kapoor, Nadira, Kumkum, S Nasir, Kamal Mehra, Helen, Cuckoo, Jagdish Kanwal, Nazir Kashmiri","Costume, Drama",Music: Iqbal Lyrics: Faruk Kaiser
Sudarshan Chakra,Datta Dharamadhikari,"Nalini Jaywant, Mahipal, Shahu Modak, Sheela Nayak, Sarkar, Sulochana, Jagdish Kanwal",Mythology,Music: Avinash Vyas Lyrics: Gopal Singh Nepali
Sultan-E-Alam,Mohan Sinha,"Chitra, Mahipal, Kuldip Kaur, Hiralal, Maruti, Uma Dutt",Costume,"Music: S. Mohinder Lyrics: Shyam Lal, Tanveer Naqvi, Butaram Sharma"
Sultana Daku,Mohan Sinha,"P. Jairaj, Sheila Ramani, Krishna Kumari, B M Vyas, Roopmala",Action,"Music: Bipin Babul Lyrics: Kaifi Azmi, Anjum Jaipuri, Tanveer Naqvi, Shewan Rizvi"
Taj,Nandalal Jaswantlal,"Pradeep Kumar, Vyjyantimala, Bipin Gupta, Jeevan, Helen, Ulhas, Shakuntala, Amar Kammo","Costume, Drama",Music: Hemant Kumar Lyrics: Rajendra Krishan
Taj Aur Talwar,Dwarka Khosla,"Daljeet, Shashikala, Smriti Biswas, B M Vyas, Maruti, Heera Sawant","Action, Costume","Music: Sudipt Lyrics: Uddhav Kumar, Indeevar, Satya Rai, Shyam Hindi, K Razdan, Ismail Azad Qawwal"
Taksaal,Hemen Gupta,"Nirupa Roy, Balraj Sahni, Smriti Biswas, Iftekhar, Radhakrishan, Hiralal, Helen, Tun Tun, Nazir Kashmiri",Social,Music: Roshan Lyrics: Prem Dhawan
Talwar Ka Dhani,Dwarka Khosla,"Manhar Desai, Nadira, Anwar Hussain, Shammi, B M Vyas, Pakku, Anwar, Maruti",,"Music: Chitragupta Lyrics: Anjum Jaipuri, Gopal Singh Nepali"
Tankhah,Murtaza Changezi,"Ajit, Nigar Sultana, Naina, Pran, Radhakrishan",Social,"Music: Bhola Shreshtha Lyrics: Shewan Rizvi, Anjaan"
Toofan Aur Deeya,Prabhat Kumar,"Rajendra Kumar, Nanda, Vatsala Deshmukh, Shanta Kumari, Krishna Kumar, Keshavrao Date, Ulhas","Social, Drama","Music: Vasant Desai, Lyrics: Bharat Vyas, Hasrat Jaipuri"
Zindagi,C. L. Dheer,"Geeta Bali, Chandrashekhar, Vijayalaxmi, Jaswant, Gulab, Jagdish Sethi, Rashid Khan, Jagirdar, Dulari",Social,"Music: Mohammed Shafi Lyrics: Kaifi Azmi, Raja Mehdi Ali Khan"
Zindagi Ke Mele,K. B. Lal,"Chandrashekhar, Chitra, Kumkum, Minu Mumtaz, Dulari, Yakub, K. N. Singh, Lalita Pawar",Social,"Music: Chitragupta Lyrics: Tanvir Naqvi, Shewan Rizvi, Manohar Khanna"
