Title,Director,Cast,Genre,Notes
Saheli,S. M. Yusuf,"Pahari Sanyal, Rattanbai, Pramila, Jillobai, Rekha Devi, Aziz, Shahzadi, Sayed Ahmed","Social, Drama","Music: Bashir Khan Dehlvi
Lyrics: Waheed Qureshi"
Sarovar Ki Sundari a.k.a. Lady of the Lake,A. M. Khan,"Romila, Zebunissa, Ameena, Prakash, Benjamin, N. A. Ansari, Rafique, Shhzadi, Anwaribai, Haroon, S. Alam","Action, Costume","Music: Damodar Sharma, Bashir Khan Dehlvi
Lyrics: Munshi Aashiq"
Saugandh,Hemchandra Chunder,"Pahari Sanyal, Chhabi Biswas, Tulsi Chakraborty, Bharati Devi, Asit Baran, Dar Kashmiri, Jahar Ganguly, Nemo, Supriya Mukherjee, Puttan",Social,"Music: R. C. Boral
Lyrics: Pandit Natwar"
Savera,V.C. Desai,"Shobhana Samarth, Arun Kumar, Nirmala Devi, Yakub, Brijmala, Kesari, Nagendra, Kesari",Social,"Music: Gyan Dutt
Lyrics: B. R. Sharma"
Sewa,Dhirubhai Desai,"Shanta Kumari, Zahur Raja, Shyam Sunder, Radharanu, Anwaribai, Prabhashankar",Social,"Music: S. N. Tripathi, Biri Singh Dukha
Lyrics: G. S. Kapoor"
Sharda,Abdul Rashid Kardar,"Mehtab, Ulhas, Nirmala Devi, Wasti, Badri Prasad, Amir Banu, Shyam Kumar","Drama, Family","Music: Naushad
Lyrics: D. N. Madhok"
Sheikh Chilli,Kikubhai Desai,"Moti, Navinchandra, Bose, Vasantrao Pehalwan, Kamala, Dhulia, S. L. Puri Ali, Azoorie, Bose",Comedy,"Music: Khan Mastana, Damodar Sharma
Lyrics: Kikubhai Desai"
Shobha,Kumarsen Samarth,"Shobhana Samarth, Shahu Modak, Karan Dewan, Sulochana Chatterjee, Mubarak, David, Kusum Deshpande, Jal Khambata, Vimal Sardesai",Social,"Music: Vasant Desai
lyrics: Pandit Indra"
Society,Nazir,"Sitara Devi, Nazir, Rajkumari Shukla, Gope, Alaknanda, Janardhan Sharma",Social,"Music: Rafiq Ghaznavi
Lyrics: Hasrat Lakhnavi"
Station Master,Chimanlal Luhar,"Prem Adib, Kaushalya, Suraiya, Jagdish Sethi, Ratnamala, Amirbai Karnataki, Umakant, Gulab, Shakir, Pratima Devi, Jeevan",Social,"Music: Naushad
Lyrics: Rammurti Chaturvedi, Pyare Lal Santoshi, Pandit Indra, B. R. Sharma"
Suhagan,Jagatrai Pesumal Advani,"Jehanara Kajjan, Kumar, Radharani, Kalyani Das, Jilloobai, Bhudo Advani, Kesarbai, Mirza Musharraf","Social, Family, Drama","Music: Shanti Kumar Desai
Lyrics: M. R. Kapoor"
