Title,Director,Cast,Genre,Notes
Aadhi Raat Ke Baad,Nanabhai Bhatt,"Sajjan, Ulhas, Ragini, Murad, Ashok Kumar, Sailesh Kumar",,
Aasmaan Mahal,K. A. Abbas,"Prithviraj Kapoor, Dilip Kumar, Nana Palsikar",,
Akashdeep,Phani Majumdar,"Dharmendra, Ashok Kumar, Nanda, Mehmood",,
Arzoo,Ramanand Sagar,"Rajendra Kumar, Sadhana Nazima, Feroz Khan",,
Bedaag,R. Bhattacharya,"Manoj Kumar, Nanda",,
Bekhabar,Nanabhai Bhatt,,,
Bharat Katha,,,,
Bharat Milaap,Babubhai Mistri,,,
Bheegi Raat,Kalidas,"Meena Kumari, Ashok Kumar, Pradeep Kumar, Shashikala",,
Bhoot Bungla,Mehmood,"Mehmood, Tanuja R.D. Burman",,
Birthday,,,,
Bombay Race Course,Kedar Kapoor,,,
Boxer,Radhakant,"Dara Singh, Mumtaz",,
Chand Aur Suraj,Dulal Guha,"Ashok Kumar, Dharmendra, Tanuja, Nirupa Roy",,
Chhoti Chhoti Baatein,Motilal,"Motilal, Nadira, Leela Mishra",,
Do Dil,Hrishikesh Mukherji,"Pran, Biswajit, Rajshree",,
Ek Saal Pehle,Dharam Kumar,"Sujit Kumar, Sayeeda Khan, Helen, Sunder",,
Ek Sapera Ek Lutera,Naresh Kumar,Feroz Khan,,
Faisla,Jugal Kishore,"Sheikh Mukhtar, Helen, Jeevan",,
Faraar,Pinaki Mukherji,,,
Fear,,,,
A Great Day,,,,
Guide,Vijay Anand,"Dev Anand, Waheeda Rehman, Kishore Sahu",Musical,
Gumnaam,Raja Nawathe,"Pran, Helen, Manoj Kumar, Nanda, Mehmood","Thriller, Musical",
Himalaya Ki God Mein,Vijay Bhatt,"Manoj Kumar, Mala Sinha",,
Hum Diwane,Bhagwan,"Bhagwan, Helen, Mumtaz, Chandrashekhar",,
Hum Sab Ustad Hain,Maruti,"Kishore Kumar, Ameeta, Sheikh Mukhtar",,
Janwar,Bhappi Sonie,"Shammi Kapoor, Rajshree, Rajendra Nath",Musical,
Jab Jab Phool Khile,Suraj Prakash,"Nanda, Shashi Kapoor, Agha",Musical,
Jadui Angoothi,,,,
Jahan Sati Wahan Bhagwan,Satish Kumar,,,
Janam Janam Ke Saathi,Nand Kishore,"Premnath, Kamini Kaushal, Lalita Pawar",,
Johar-Mehmood in Goa,,"I. S. Johar, Mehmood, Simi Garewal, Sonia Sahni",Comedy,
Kaajal,Ram Maheshwari,"Dharmendra, Meena Kumari, Padmini, Raaj Kumar",Social,
Khakaan,Aspi Irani,"Dara Singh, Mumtaz, Ratnamala, Prithviraj Kapoor",,
Khandan,Bhim Singh,"Sunil Dutt, Nutan, Pran, Sudesh Kumar",,
Lutera,Harbans Singh,"Dara Singh, Nishi, Prithviraj Kapoor",,
Mahabharat,Babubhai Mistri,"Pradeep Kumar, Dara Singh, Padmini","History, Religious",
Main Hoon Aladdin,Mohammed Husaain,"Ajit, Sayeeda Khan, Madan Puri",,
Main Hoon Jadugar,Jugal Kishore,"Jairaj, Tuntun, Tiwari",,
Mere Sanam,Amar Kumar,"Asha Parekh, Biswajit, Pran",,
Mohabbat Isko Kehte Hain,Akhtar Mirza,"Shashi Kapoor, Nanda",,
Nai Umar Ki Nai Fasal,R. Chandra,"Tanuja, Rajeev",,
Namaste Ji,Daljit Krishan,"Mehmood, Ameeta, I. S. Johar, Manorama",,
Naya Kanoon,R.C. Talwar,"Bharat Bhushan, Vaijayantimala, Ashok Kumar",,
Neela Aakash,Rajendra Bhatia,"Dharmendra, Mala Sinha",,
Nishan,Aspi Irani,"Sanjeev Kumar, Nazima, Sheikh Mukhtar, Shammi",,
Noor Mahal,Noshir Engineer,"Jagdeep, Madhumati, Lalita Desai",,
Oonche Log,Phani Majumdar,"Ashok Kumar, Feroz Khan",,
Poonam Ki Raat,Kishore Sahu,"Manoj Kumar, Kumud Chugani",,
Purnima,Narendra Suri,"Dharmendra, Meena Kumari",,
Raaka,Kedar Kapoor,"Dara Singh, Mumtaz, K.N. Singh",,
Rendezvous,,,,
Rishte Naate,K. S. Gopal Krishnan,"Raaj Kumar, Nutan, Kanhaiyalal",,
Rustom-E-Hind,Kedar Kapoor,"Dara Singh, Mumtaz, Laxmi Chhaya",,
Saat Samundar Paar,Mohammed Husaain,"Dara Singh, Ameeta, Ulhas",,
Saheli,Arjun Hingorani,"Pradeep Kumar, Vijaya Chowdhary, Tuntun",,
Sangram,Babubhai Mistri,"dara Singh, Aruna Irnai, Randhawa",,
Sati Nari,Pankaj,"Anita Guha, Sunder, Jeevan",,
Shaheed,S. Ram Sharma,"Manoj Kumar, Nirupa Roy, Pran, Prem Chopra, Kamini Kaushal","Revolutionary, Patriotic",
Shakespeare Wallah,,,,
Shankar Seeta Anusuya,Manibhai Vyas,,,
Sher Dil,Chand,"Dara Singh, Parveen Chaudhary, Bhagwan",,
Shree Ram Bharat Milap,Manibhai Vyas,"Prithviraj Kapoor, Vanmala, Raaj Kumar, Nirupa Roy",,
Shreeman Funtoosh,Shantilal Soni,"Kumkum, Kishore Kumar",,
Sikandar E Azam,Kedar Kapoor,"Dara Singh, Mumtaz, Prithviraj Kapoor, Premnath",,
Sindbad Alibaba and Aladdin,P.N. Arora,"Pradeep Kumar, Sayeeda Khan, Helen, Bhagwan",,
Tarzan and King Kong,A. Shamsheer,"Dara Singh, Mumtaz, Bhagwan",,
Teen Devian,,"Dev Anand, Nanda, Kalpana, Simi Garewal",Musical,
Teen Sardar,Radhakant,"Randhawa, Parveen Chaudhary",,
Teesra Kaun,Mohammed Hussain,"Feroz Khan, Shahsikala, Kalpana, Rajan Haksar, Pran",,
Waqt,Yash Chopra,"Sunil Dutt, Sadhana, Raaj Kumar, Shashi Kapoor, Sharmila Tagore, Balraj Sahni, Achla Sachdev",,
Zindagi Aur Maut,N.A.Ansari,"Pradeep Kumar, Bela Bose, Faryal",,
