Title,Director,Cast,Genre,Notes
Aakhri Paigham a.k.a. The Last Message,Muzammil Khurshid,"Muzamil, Shashikala, Prakash Gupta, Yakub Rizvi, Leela Chitnis, Sudha Malhotra, Niranjan Sharma",Social,"Music: Abid Hussein Khan, Sushant Bannerji"
Aiye,Yakub,"Yakub, Sulochana Chatterjee, Ashraf Khan, Sheela Naik, Masood, Jankidas","Social, Family","Music: Shaukat Dehlvi Nashad
Lyrics: Nakhshab Jarachvi"
Amar Kahani,Baij Sharma,"P. Jairaj, Suraiya, Ranjana, Jagdish Mehta",Drama,"Music: Husnlal Bhagatram
Lyrics: Rajendra Krishan"
Andaz,Mehboob Khan,"Raj Kapoor, Nargis, Dilip Kumar, Cuckoo, Murad","Social, Family, Romance","Music: Naushad
Lyrics: Majrooh Sultanpuri"
Apna Desh,V. Shantaram,"Keshavrao Date, Pushpa Hans, Sudha Apte, Chandrashekhar, Manmohan Krishna, Satish Vyas",Social,"Music: Purushottam
Lyrics: Diwan Sharar, Mirza Ghalib"
Aparadhi,Yeshwant Pethkar,"Madhubala, Pran, Baburao Pendharkar, Ram Singh, Uma Dutt","Crime, Drama","Music: Sudhir Phadke
Lyrics: Amar Varma"
Bachke Rahena,Bhagwan,"Bhagwan, Leela Gupte, Razia Vasantrao Pehalwan, Azim, Baburao Pehalwan","Action, Comedy","Music: Anna Saheb
Lyrics: Ehsan Rizvi"
Badi Bahan,Ram Daryani,"Geeta Bali, Suraiya, Pran, Ulhas Rehman","Family, Drama","Music: Husnlal Bhagatram Lyrics: Qamar Jalalabadi, Rajendra Krishan"
Balam,Homi Wadia,"Suraiya, Masood, Nigar Sultana, Wasti, Agha, Jayant","Romance, Drama","Music: Husnlal Bhagatram
Lyrics: Qamar Jalalabadi"
Banoo,G. M. Amla,"Anil Kumar, Maya Devi, Agha, Shanti Madhok, Nishant, Raj Shekhar, Kashmira",Social,"Music: Ramprasad
Lyrics: Kamil Rashid, Sagar Nizami"
Bansariya,Ram Narayan Dave,"Geeta Bali, Om Prakash, Kuldip Kaur, Randhir, Sofia, Gulab, Ram Singh,","Romance, Family","Music: Husnlal Bhagatram
Lyrics: Mulkraj Bhakri"
Barsaat,Raj Kapoor,"Raj Kapoor, Nargis, Nimmi, Premnath, K. N. Singh, B. M. Vyas, Sushila Devi","Romance, Drama","Music: Shankar Jaikishan
Lyrics: Hasrat Jaipuri, Shailendra, Ramesh Shastri: Hawa Mein Udta Jaye, Jalal Malihabadi: Mujhe Kisi Se Pyaar Ho Gaya"
Bazaar,K. Amarnath,"Shyam, Nigar Sultana, Yakub, Gope, Cuckoo Badri Prasad, Amir Banu","Social, Family","Music: Shyam Sunder
Lyrics: Qamar Jalalabadi"
Bedard,B. N. Chouhan,"Majnu, Anand Tiwari, Brij Gopal, Sudharao, Shanta Kunwar",Social,"Music: Ramprasad
Lyrics: A. G. Badar"
Begunah,B. R. Mudnaney,"Roop Kumari, Arvind Kumar, Shama, Habib, Kathana, Usha",Action,"Music: Shyamoo, Hari Bhai
Lyrics: Ratan Piya"
Bhakta Pundalik,Dhirubhai Desai,"V. Mehrotra, C. J. Pandey, Kamlesh Thakar, Chunilal, Sushil Kumar, Sophia, Rani Premlata",Devotional,"Music: Chitragupta
Lyrics: Avtar Visharad, C. S. Pandey"
Bhedi Bungla,Bhagwan,"Bhagwan, Leela Gupte, Inamdar, Mirajkar, Azim, Baburao Pehalwan","Mystery, Action","Music: P. Ramakant
Lyrics: Ehsan Rizvi"
Bhole Bhale,Bhagwan,"Bhagwan, Leela Gupte, Inamdar, Mirajkar, Azim, Baburao Pehalwan",Action,Music: P. Ramakant
Bhole Piya,Jaswant Jhaveri,"Bhagwan, Leela Gupte, Rafiqe, Ansari, Shanta Patel",,Music: K.C. Varma
Bholi,Ram Daryani,"Geeta Bali, Prem Adib, Nawab, Shashikala, Gope, Jeevan","Family, Drama","Music: Pandit Gobindram
Lyrics: I. C. Kapoor"
Bhul Bhulaiyan,Taimur Behramshah,"Agha, Zeb Qureshi, Laila, Bhudo Advani, Rashid, Maruti, Kusum Thakur, Pesi Patel, Anwaribai",Social,"Music: Bulo C. Rani
Lyrics: B. R. Sharma, Rajendra Krishan (1)"
Bigde Dil,A. M. Khan,"Bhagwan, Husn Ara, Kesari, Veena Kohli, Kathana, A. M. Khan",Action,"Music: Master Ibrahim
Lyrics: Shyam Hindi"
Billi,Nari Ghadiali,"Fearless Nadia, John Cawas, Putli, Sheikh, Mithu Miyan",Action,"Music: K. Narayan Rao
Lyrics: C. M. Hunar"
Bombay,C. R. Bajaj,"Suraiya Choudhary, Shashikala, Uday Kumar, Ram Singh, Sheela Naik, Bhudo Advani",Social,"Music: Mushtaq Hussain
Lyrics: C. R. Bajaj, Kamalnayan"
Chaar Din,M. Sadiq,"Shyam, Suraiya, Jayant, Om Prakash, Shyama, Cuckoo",Social,"Music: Shyam Sundar
Lyrics: Shakeel Badayuni"
Chakori,Ram Narayan Dave,"Nalini Jaywant, Bharat Bhushan, Manorama, Cuckoo, Randhir","Social, Family","Music: Hansraj Behl
Lyrics: Mulkraj Bhakri, Varma Malik"
Chandni Raat,Mohammad Ehsan,"Shyam, Naseem Banu, David, Cuckoo, Jillo Bai",Drama,"Music: Naushad
Lyrics: Shakeel Badayuni"
Chhota Bhai,Kartik Chattopadhyay,"Mahendra Pal, Molina Devi, Shakoor, Asit Sen","Family, Social","Music: Pankaj Mullick
Lyrics: Rajendra Krishan"
Chilman,Changezi,"Rehana, Shareef, Pritma, Hamid, Anwari","Family, Social","Music: Hanuman Prasad
Lyrics: M. K. Chibbar, Pyarelal Santoshi"
Dada,Harish,"Shyam, Munawar Sultana Sheikh Mukhtar, Murad, Mukri, Cuckoo","Action, Drama","Music: Nashad
Lyrics: Shewan Rizvi"
