Title,Director,Cast,Genre,Notes
Achhut Kanya,Franz Osten,"Ashok Kumar, Devika Rani, Mumtaz Ali, Pramila, Sunita Devi, Kusum Kumari, Anwari Bai, Kamta Prasad, Kishori Lal, P. F. Pithavala, Manorama Sr., Chandra Prabha",Social,"Bombay Talkies. Music: Saraswati Devi
Lyrics: J. S. Kashyap"
Ailane Jung a.k.a. Ultimatum,J. P. Advani,"Khursheed, Yusuf Effendi, Zebunissa, Prabhashankar, Balabhai, Bibijan, Jani Babu","Costume, Action","Sarla Cinetone. Music: Munshi Shams
Lyrics:"
Akhri Galti,Kanu Roy,"Mubarak, Kamla Devi, Meherulnissa, Sohanlal",Costume,"Shri Satyanarayan. Music:
Lyrics:"
Amar Jyoti,V. Shantaram,"Durga Khote, Chandra Mohan, Shanta Apte, K. N. Kale, Vasanti, Nandrekar, Vasant Desai, Aruna Devi","Action, Adventure","Prabhat Film Company. Music: Mastr Krishnarao
Lyrics: Narottam Vyas"
Amar Prem,Natwar Shyam,"Pramila, Ashiq Hussain, Ansuya, S. Nazir, Himmatlal, P. R. Joshi, Samson, Fazlu, Anwaribai",Action,"Vishnu Cine. Music:
Lyrics:"
Amar Shaheed,Balasaheb Yadav,"Balasaheb Yadav, Shalini, Pawar",Patriotic,"Chhatrapati Cinetone. Music:
Lyrics:"
Andheri Duniya,Vishram Bedekar,"Damuanna Malvankar, Sushila Devi, Prema Borkar, Chintamani Rao Kolhatkar, Shakuntala Paranjpye, Prem Sawant, Dinanath, Ram Marathe, Ganpatrao",Social,"Parijat Pictures. Music:
Lyrics:"
Ansuon Ki Duniya,A. P. Kapoor,"Surendra, Sarla, Ghulam Qadir, Urmila, Feroza, Hanuman Prasad, Anwaribai",Social,"Amrit Films Music: Jhande Khan
Lyrics:"
Aseere Hawas,Pandit Shiv Kumar,"Gajanan Jagirdar, Ameena, Usha Devi, Jog, Danve, Nabi, Shinde",Social,"Shalini Cine. Music: Govind Rao Tembe
Lyrics:"
Ashiana,Sukumar Dasgupta,"Rajkumari, Jeevan, Charlie, Satyanath, Beenu, Lahiri, Ishrat, Devbala, Aziz, Manilal",Social,"Kali Films. Music: Niren Lahiri
Lyrics:"
Azad Veer a.k.a. Revenge,Rasik Bhatt,"Rajkumari, Umakant, Jahangir, Jayant, Shirin, Mohini, Esmail, Lallubhai, Rajababu","Action, Costume","Prakash Pictures. Music: Lallubhai Naik
Lyrics: Pandit Anuj"
Baaz Bahadur,Haribhai Desai,"Navinchandra, Sheelprabha, Jenabai Pawar, Bhim, Brijmala, Putlibhai, Kamla, Master Fakira","Historical, Legend","Music: Master Madhavlal Damodar
Lyrics:"
