"Title","Director","Cast","Genre",
"Madhosh","Vikram Bhatt","Dilip Dhawan, Anjali Jatthar, Faisal Khan","",
"Maha Shaktishaali","K. Pappu","Dharmendra, Ayesha Jhulka, Anupam Kher","",
"Main Khiladi Tu Anari","Sameer Malkan","Akshay Kumar, Saif Ali Khan, Shilpa Shetty, Raageshwari","Action, Comedy",
"Mammo","Shyam Benegal","Farida Jalal, Surekha Sikri, Amit Phalke","Drama",
"Mera Pyara Bharat","Rama Rao Tatineni","Tisca Chopra, Puneet Issar, Sharad S. Kapoor","Action",
"Mohabbat Ki Arzoo","K.C. Bokadia","Rishi Kapoor, Zeba Bakhtiar, Rakesh Bedi, Ashwini Bhave","Action, Romance, Drama",
"Mohra","Rajiv Rai","Sunil Shetty, Naseeruddin Shah, Akshay Kumar, Raveena Tandon, Paresh Rawal","Action",
"Mr. Azaad","T. Ramarao","Anil Kapoor, Niki Aneja, Ishrat Ali","Action, Musical",
"Naaraaz","Mahesh Bhatt","Mithun Chakraborty, Pooja Bhatt, Sonali Bendre, Atul Agnihotri","Action, Crime, Drama",
"Nazar Ke Samne","Jagdish A. Sharma","Akshay Kumar, Farheen, Ekta Sohini","Family",
"Paramaatma","Bapu","Mithun Chakraborty, Juhi Chawla, Amrish Puri","Action, Drama, Fantasy",
"Patang","Goutam Ghose","Shabana Azmi, Shafiq Syed, Om Puri","Drama",
"Pathreela Raasta","Ajay Kashyap","Dimple Kapadia, Varsha Usgaonkar, Sadashiv Amrapurkar","Action",
"Pehla Pehla Pyar","Manmohan Singh","Rishi Kapoor, Tabu, Anupam Kher","Drama, Crime, Action, Comedy",
"Prem Shakti","Shibu Mitra","Govinda, Karisma Kapoor, Shakti Kapoor","Action, Drama, Fantasy, Romance",
"Prem Yog","Rajeev Kumar","Rishi Kapoor, Madhoo, Shammi Kapoor","Drama, Family",
"Pyar Ka Rog","","Ravi Behl, Bindu","Comedy, Romance",
"Raat Ke Gunaah","","Archana Singh, Shekhar Suman","",
"Raja Babu","David Dhawan","Karishma Kapoor, Govinda, Shakti Kapoor, Kader Khan, Prem Chopra","Comedy",
"Saajan Ka Ghar","Surendra Kumar Bohra","Rishi Kapoor, Juhi Chawla, Deepak Tijori","Drama, Family",
"Saboot Mangta Hain Kanoon","Suraj Prakash","Raj Babbar, Shashi Kapoor, Amjad Khan, Anita Raj","Action",
"Salaami","Shahrukh Sultan","Ayub Khan, Samyukta, Roshini Jaffery","Adventure",
"Sangdil Sanam","Shomu Mukerji","Salman Khan, Manisha Koirala","",
"Sholay Aur Toofan","N. Paryani","Kiran Kumar, Raaj Premi, Damini Priya","",
"Stuntman","Deepak Balraaj Vij","Avtar Singh Ahluwalia, Tinnu Anand, Ami Asthana","Action, Drama, Romance",
"Teesra Kaun?","Partho Ghosh","Mithun Chakraborty, Chunky Pandey, Somy Ali","Comedy, Drama, Thriller",
"Tejasvini","N. Chandra","Deepak Malhotra, Vijayshanti, Charan Raj","Action, Drama, Family",
"Thanedarni","Surinder Kapoor","Shikha Swaroop","",
"The Gentleman","Mahesh Bhatt","Juhi Chawla, Chiranjeevi","Action",
"The Law","Sushama Shiromanee","Ajay Devgn, Urmila Matondkar, Kiran Kumar","Action",
"Triyacharitra","Basu Chatterjee","Om Puri, Rajeshwari Sachdev, Naseeruddin Shah","Drama",
"Two Brothers","","Juhi Chawla","",
"Udhaar Ki Zindagi","K.V. Raju","Jeetendra, Moushumi Chatterjee, Kajol","",
"Ulfat Ki Nayee Manzilen","K. Ravi Shankar","Agha, Ramesh Deo, Seema Deo","",
"Vaade Iraade","Kalpana Bhardwaj","Aayuush Kumar, Mamta Kulkarni, Kulbhushan Kharbanda","Social",
"Vayu","Velu Viswanandhan","","",
"Vijaypath","Farogh Siddique","Ajay Devgan, Tabu, Suresh Oberoi","Romance, Drama",
"Woh Chokri","Subhankar Ghosh","Pallavi Joshi, Neena Gupta","Drama",
"Yaar Gaddar","Umesh Mehra","Saif Ali Khan, Shweta, Somy Ali","",
"Yeh Dillagi","Naresh Malhotra","Akshay Kumar, Saif Ali Khan, Kajol","Romance",
"Yuhi Kabhi","Kumar Bhatia","Tinnu Anand, Master Bhagwan, Kumar Bhatia","Comedy, Drama",
"Zaalim","Sikander Bharti","Akshay Kumar, Madhoo","Action",
"Zakhmi Dil","Raju Subramanian","Akshay Kumar, Ashwini Bhave, Ravi Kishan","Action, Romance",
"Zamane Se Kya Darna","Bobby Raj","Sanjay Dutt, Raveena Tandon, Alok Nath","Family",
"Zid","Esmayeel Shroff","Jay Mehta, Raageshwari, Mala Sinha","",
