Title,Director,Cast,Genre,Music director
Mohabbatein,Aditya Chopra,"Amitabh Bachchan, Shahrukh Khan, Aishwarya Rai, Uday Chopra, Shamita Shetty, Kim Sharma, Jimmy Shergill, Preeti Jhangiani, Jugal Hansraj","Drama, Musical, Romance",Jatin Lalit
Nidaan,Mahesh Manjrekar,"Shivaji Satam, Reema Lagoo, Nisha Bains, Sunil Barve",Drama,
Officer,,"Sunil Shetty, Raveena Tandon",,
Papa the Great,K. Bhagyaraj,"Krishna Kumar, Nagma",Family,
Phir Bhi Dil Hai Hindustani,Aziz Mirza,"Shahrukh Khan, Juhi Chawla, Paresh Rawal, Johny Lever, Dalip Tahil, Satish Shah, Sharat Saxena","Comedy, Drama, Romance, War",Jatin Lalit
The Prince of Light,Yugo Sako,"Bryan Cranston, Edie Mirman, Tom Wyner, Richard Cansino",,
Pukar,Rajkumar Santoshi,"Anil Kapoor, Madhuri Dixit, Namrata Shirodkar",Drama,
Raja Ko Rani Se Pyar Ho Gaya,T.K. Rajeev Kumar,"Manisha Koirala, Arvind Swamy","Comedy, Musical",
Raju Chacha,Anil Devgan,"Ajay Devgan, Kajol, Rishi Kapoor, Sanjay Dutt",Comedy,Jatin Lalit
Refugee,J. P. Dutta,"Abhishek Bachchan, Kareena Kapoor, Sunil Shetty, Jackie Shroff, Anupam Kher","Drama, Romance",Anu Malik
The Revenge: Geeta Mera Naam,Dilip Gulati,"Birbal, Dharmendra, Jack Gaud, Ali Khan",,
Saanjh,Sabrina Dhawan,"Nandita Das, Sharda Desoares, Arjun Raina, Rahul Vohra",,
Sanam Tere Hain Hum,Jayanth C. Paranji,"Nagarjuna Akkineni, Kirti Reddy, Aishwarya Rai, Anjala Zaveri",Romance,
Second Generation,,,,
Shaheed Udham Singh,Chitraarth,"Gurdas Maan, Raj Babbar",Drama,
Shikaar,Bobby Raj,"Abhishek Kapoor, Vikas Bhalla, Ayesha Jhulka, Anupam Kher",,
Shikari,N. Chandra,"Govinda, Karishma Kapoor, Tabu","Thriller, Action, Romance",
Snip!,Sunil Sippy,"Sohrab Ardeshir, Nikhil Chinappa, Makrand Deshpande, Vekeana Dhillon",,
Split Wide Open,Dev Benegal,"Rahul Bose, Laila Rouass, Shivaji Satam, Ayesha Dharker",,
Sultaan,,Vikas Anand,,
Tapish,Jay Prakash,"Tara Deshpande, Ellora Patnaik, Parvin Dabas, Gajendra Chouhan",,
Tarkieb,Esmayeel Shroff,"Milind Soman, Nana Patekar, Tabu, Shilpa Shetty","Suspense, Thriller",
Tera Jadoo Chal Gayaa,A. Muthu,"Abhishek, Kirti Reddy, Sanjay Suri",Romance,
Tere Liye,Sanjay Gadhvi,"Imran Ahmed Khan, Sonali Khare, Neelu Kohli, Hiten Paintal",,
Tune Mera Dil Le Liyaa,B.B. Bhalla,"Raveena Tandon, Naseeruddin Shah, Rahul Roy, Shakti Kapoor",,
Zindagi Zindabad,"Sumitra Bhave, Sunil Sukthankar","Mita Vasisht, Milind Gunaji, Uttara Baokar, Abhiram Bhadkamkar",,
