Title,Director,Cast,Genre,Sources
Police Public,Esmayeel Shroff,"Vijay Aidasani, Jayshree Arora, Ila Arun","Action, Crime, Drama",
Pyaar Ka Toofan,S.M. Iqbal,"Aditya Pancholi, Vijayata Pandit, Jamuna, Pran",,
Pyar Ka Karz,K. Bapaiah,"Vikas Anand, Asrani, Bharat Bhushan",,
Pyar Ke Naam Qurbaan,B. Subhash,"Mithun Chakraborty, Dimple Kapadia, Mandakini","Action, Crime, Drama, Romance",
Pyasi Nigahen,,"Birbal, Sahila Chaddha, Ajinkya Deo",Thriller,
Qatil Jawani,,"Babloo, Hari, Harish","Crime, Drama, Thriller",
Qayamat Ki Raat,Harvey-Pappu,,,
Raeeszada,Bharat Kapoor,"Govinda, Shashi Kapoor, Asha Parekh",,
Roti Kee Keemat,Ramesh Ahuja,"Sadashiv Amrapurkar, Rana Jung Bahadur, Mithun Chakraborty, Pran","Action, Crime, Drama",
Sailaab,Deepak Balraj,"Aditya Pancholi, Madhuri Dixit, Shafi Inamdar","Action, Romance",
Sapne Huye Sakaar,Prema Karanth,,,
Shadyantra,Rajan Johri,"Ishrat Ali, Raj Babbar, Urmila Bhatt","Action, Crime, Drama",
Shaitani Ilaaka,Kiran Ramsay,"Sunil Dhawan, Shehnaz Kudia, Neelam Mehra",Horror,
Shandaar,,"Birbal, Mithun Chakraborty, Juhi Chawla",,
Shararat,,"Rakesh Roshan, Shubha",,
Sher Dil,Jagdish Sidana,"Dharmendra, Gulshan Grover, Rohini Hattangadi","Action, Crime, Drama",
Shera Shamshera,S.R. Pratap,,,
Sheahnaag,K.R. Reddy,"Jeetendra, Rekha, Rishi Kapoor",,
Shiva,Ram Gopal Verma,"Nagarjuna, Amala, Raghuvaran","Action, Drama",
Sun Sajna,,"Sheela David, Rajshri Nair",,
Swarg,David Dhawan,"Rajesh Khanna, Govinda, Juhi Chawla",Drama,
Tadap,,Chunky Pandey,,
Taqdeer Ka Tamasha,Anand Gaekwad,"Sadashiv Amrapurkar, Moushumi Chatterjee, Suresh Chatwal","Action, Crime, Drama",
Teri Talash Mein,,"Amala, Rana Jung Bahadur, Rita Bhaduri","Crime, Drama, Romance, Thriller",
Tejaa,Ramnesh Puri,"Sanjay Dutt, Kimi Katkar, Sonu Walia",Action,
Thanedaar,Raj Sippy,"Jeetendra, Sanjay Dutt, Jayapradha","Action, Crime, Drama",
Thodasa Roomani Ho Jaayen,Amol Palekar,"Anita Kanwar, Nana Patekar, Riju Bajaj","Drama, Musical",
Tum Mere Ho,Tahir Hussain,"Aamir Khan, Juhi Chawla",Romance,
Veeru Dada,K.R. Reddy,"Dharmendra, Amrita Singh, Aditya Pancholi","Action, Drama, Adventure",
Zahreelay,Jyotin Goel,"Jeetendra, Sanjay Dutt, Chunky Pandey",Action,
Zakhmi Zameen,Mahendra Shah,Ishrat Ali,Drama,
Zimmedaaar,Santosh Kumar Chauhan,"Rajiv Kapoor, Anita Raj, Kimi Katkar",,
