Title,Director,Cast,Genre,Notes
Aaj Ki Baat,Leela Chitnis,"Ajit, Chitra, Bipin Gupta, Manmohan Krishan, Sunder, Leela Chitnis",Social,"Music: Snehal Bhatkar Lyrics: Hasrat Jaipuri, Raj Baldev Raj, Kaif Irfani"
Abe-Hayat,Ramanlal Desai,"Premnath, Shashikala, Ameeta, Pran, Mubarak, Kanu Roy, Chaman Puri, S L Puri, P Kailash, Helen, Smriti Biswas","Costume, Drama",Music: Sardar Malik Lyrics: Hasrat Jaipuri
Adil-E-Jahangir,G. P. Sippy,"Pradeep Kumar, Meena Kumari, Daljeet, Chitra, Sapru, Durga Khote, Kammo, Amir Bano, Darpan, Maruti","Costume, Fantasy",Music: Husnlal Bhagatram Lyrics: Qamar Jalalabadi
Adivasiyon Ka Jeevan Srot,Ritwik Ghatak,,Documentary,
Albeli,Devendra Goel,"Geeta Bali, Pradeep Kumar, Johnny Walker, Om Prakash, Randhir, Tun Tun,","Social, Drama",Music: Ravi Lyrics: Ravi
Alladin Ka Beta,Rafiq Rizvi,"Mahipal, Chitra, Yashodara Katju, Tiwari, Yogesh Bhalla, Naaz, Maruti",Fantasy,Music: S. Mohinder Lyrics: Tanveer Naqvi
Amanat,Aravind Sen,"Bharat Bhushan, Chand Usmani, Pran, Nazir Hussain","Social, Drama",Produced by Bimal Roy. Music: Salil Chowdhary Lyrics: Shailendra
Amar Saigal,Nitin Bose,"Pahari Sanyal, Tandon, G Mungeri, Akhtar Jahan, Padma Devi",Documentary,"Music: Rai Chand Boral, Pankaj Mullick, Timir Baran, Apresh Lahiri. Singer: Main K. L. Saigal, songs used with scenes from his films."
Andher Nagari Chaupat Raja,Shamim Bhagat,"Chitra, Amarnath, B M Vyas, Uma Devi, Gope, David",Costume,Music: Avinash Vyas Lyrics: Bharat Vyas
Azaad,S. M. S. Naidu,"Dilip Kumar, Meena Kumari, Pran, Achala Sachdev, Om Prakash, Badri Prasad, Randhir, Murad, Shammi","Action, Drama",Music: C. Ramachandra Lyrics: Rajendra Krishan
Baap Re Baap,A. R. Kardar,"Kishore Kumar, Chand Usmani, Smriti Biswas, Nazneen, Leela Mishra, Jayant, Ulhas","Comedy, Drama",Music: O. P. Nayyar Lyrics: Jan Nisar Akhtar
Baghdad Ka Chor,Shriram Bohra,"Daljeet, Chitra, Krishna Kumari, Yashodara Katju, Ram Kumar, Maruti",Fantasy,"Music: B. N. Bali Lyrics: Omar Khayyam Saharanpuri, Sartaj Rahmani, Khalish Lakhnavi, Harish Rana"
Bahu,Shakti Samanta,"Karan Dewan, Usha Kiran, Pran, Johnny Walker, Shashikala, Mehmood, Tun Tun, Bipin Gupta","Social, Family, Drama",Music: Hemant Kumar Lyrics: S. H. Bihari
Bandish,Satyen Bose,"Ashok Kumar, Meena Kumari, Daisy Irani, Nazir Hussain, Bhagwan, Shammi, Pratima Devi, Bipin Gupta, Mehmood, Indira Bansal","Family, Comedy, Drama","Music: Hemant Kumar Lyrics: Jan Nissar Akhtar, Prem Dhawan, Ravi, S. H. Bihari"
Bara-Dari,K. Amarnath,"Geeta Bali, Ajit, Pran, Chandrashekhar, Tiwari, Gope, Murad, Cuckoo, Minu Mumtaz, Sapru",Social,Music: Shaukat Dehlvi Nashad Lyrics: Khumar Barabankvi
Bhagwat Mahima,V. Panchotia,"Nirupa Roy, Prem Adib, Kishore Kumar, Ashok Kumar, Nimmi, Shyama, Krishna Kumari, Sunder, Madan Puri, Om Prakash, David, S. N. Tripathi",Devotional,"Music: Hemant Kumar Lyrics: S. H. Bihari, Saraswati Kumar Deepak, Pandit Madhur"
Bihar Ke Darshaniya Sthan,Ritwik Ghatak,,Documentary,Music:
Bindiya,Shamim Bhagat,"Shekhar, Kumkum Sulochana, Leela Mishra, Mukri, Tun Tun, Shakuntala","Social, Family, Drama",Music: Snehal Bhatkar Lyrics: Bharat Vyas
Carnival Queen,Noshir Engineer,"Fearless Nadia, John Cawas, Sardar Mansur, Habib, Shanti Modak,",Action,Music: Shafi M. Nagri Lyrics: Preetam Dehlvi
Char Paise,N. K. Ziri,"Kishore Kumar, Shyama, Nimmi, Jayant, Johnny Walker, Nishi, Agha, Anwar Hussain, Mukri, Roop Mala","Social, Comedy",Music: B. D. Burman Lyrics: Sartaj Rahmani
Chhora Chhori,Kidar Sharma,"Geet Bali, Johnny Walker, Agha, Tony Walker, Nazira, Pesi Patel, Pratima Devi, Nand Kishore, Rashid Khan",Social,Music: Roshan Lyrics: Kedar Sharma
Chingari,S. Srivastava,"Shekhar, Nalini Jaywant, Pran, Leela Mishra, Sunalini Devi",Social,"Music: Manohar Lyrics: Sahir Ludhianvi, Shailendra, Anjum"
Chirag-e-Cheen,"C. M. Trivedi, G. P. Pawar","Mahipal, Sumitra Devi, Vijaylaxmi, Sapru, Krishna Kumari, Bipin Gupta",Fantasy,Music: S. N. Tripathi Lyrics: Raja Mehdi Ali Khan
Daku,Aspi Irani,"Shammi Kapoor, Shashikala, Kuldip Kaur, Prem Adib, Anwar Hussain, W. M. Khan, Babu Raje, Azurie, Sheikh","Costume, Action, Drama","Music: Snehal Bhatkar Lyrics: Kaif Irfani, Manohar Khanna"
Darbar,Nanubhai Vakil,"Mahipal, Chitra, Tiwari, Sunder, Niranjan Sharma, Sunder",Costume,Music: Hansraj Behl Lyrics: Asad Bhopali
Deewar,"S. Khalil, Ameen","Karan Dewan, Munnawar Sultana Sheikh Mukhtar, Murad, Bhagwan, Shammi, Sudhir, Sultan",Social,Music: Mohammed Shaikh
Devdas,Bimal Roy,"Dilip Kumar, Suchitra Sen, Vyjayanthimala, Motilal, Murad, Pran","Tragedy, Drama, Romance",Music: Sachin Dev Burman Lyrics: Sahir Ludhianvi
Do Dulhe,K J Mahadevan,"Shyama, Sajjan, Agha, David, Lalita Pawar, Kanhaiyalal, Achala Sachdev, Vanaja, Ishwarlal",Social,Music: B. S. Kalla Lyrics: Pandit Indra
Duniya Gol Hai,Om Prakash,"Karan Dewan, Anita Guha, P. Jairaj, Kuldip Kaur, Shashikala, Madan Puri, Om Prakash, Indu Paul, Sunder",Social,Music: C. Ramchandra Lyrics: Rajendra Krishan
Ekadashi,Gunjal,"Trilok Kapoor, Mala Sinha, Sulochana, Jeevan, Gopi, Ratan Kumar, Badri Prasad, Amar",Devotional,Music: Avinash Vyas Lyrics: B. C. Madhur
Faraar a.k.a. Dev Anand in Goa,Phani Mazumdar,"Dev Anand, Geeta Bali, Mehmood, Manmohan Krishan, Randhir, Krishna Kant","Crime, Social, Drama",Music: Anil Biswas Lyrics: Prem Dhawan
Ganga Maiyya,Chandrakant,"Prem Adib, Sumitra, Trilok Kapoor, Asha Mathur, Jeevan, Sapru, S. N, Tripathi, Bipin Gupta, Moni Chatterjee, Shakuntala Paranjpye",Devotional,Music: Shankar Rao Vyas Lyrics: Ramesh Chandra Pandey
Garam Coat,,"Balraj Sahani, Nirupa Roy, Jayant, Brahm Bhardwaj, Rashid Khan, Vijayalaxmi","Social, Drama",Music: Amar Nath Lyrics: Majrooh Sultanpuri
Ghamand,Dharam Kumar,"Shyama, Sheila Ramani, Kamal Mehra, Murad, Raj Kumar, Seeta Bose","Social, Drama",Music: Gulshan Sufi Lyrics: Naqsh Lyallpuri
