Title,Director,Cast,Genre,Notes
Aaj Aur Kal,Vasant Joglekar,"Sunil Dutt, Nanda, Ashok Kumar, Raaj Kumar, Tanuja, Soodesh Kumar, Deven Verma","Family, Drama","Music: Ravi
Lyrics: Sahir Ludhianvi"
Akela,Jay Bee,"Balraj Sahni, Sadhana Roychowdhury, Lalita Pawar, Sulochana, Dhumal, Murad, Daisy Irani, Honey Irani","Crime, Drama","Music: Datta Naik
Lyrics: Rajendra Krishan"
Akeli Mat Jaiyo,Nandlal Jashwantlal,"Meena Kumari, Rajendra Kumar, Agha, Minu Mumtaz, Leela Mishra","Romance, Drama","Music: Madan Mohan
Lyrics: Majrooh Sultanpuri"
Awara Abdulla,Tara Harish,"Dara Singh, Parveen Choudhary, Helen, Chandrashekhar, Bhagwan",Action,"Music: Datta Naik
Lyrics: Asad Bhopali"
Bachpan,Nazar,"Salim Khan, Menka Irani, Daisy Irani, Jeevan, Manorama, David, Bhudo Advani","Social, Drama","Music: Sardar Malik
Lyrics: Hasrat Jaipuri"
Bahurani,T. Prakash Rao,"Guru Dutt, Mala Sinha, Feroz Khan, Shyama, Lalita Pawar, Agha","Family, Drama","Music: C. Ramchandra
Lyrics: Sahir Ludhianvi"
Band Master,Ravindra Dave,"Jagdeep, Azra, Ravikant, Lalita Pawar, Rajan","Drama, Family, Romance","Music: Chitragupta
Lyrics: Prem Dhawan"
Bandini,Bimal Roy,"Dharmendra, Nutan, Ashok Kumar, Raja Paranjpe, Tarun Bose, Asit Sen, Sulochana",Drama,"Won National Film Award for Best Feature Film in Hindi and six Filmfare Awards. Music: S. D. Burman
Lyrics: Shailendra"
Been Ka Jadoo,N. Rajesh,"Mahipal, Helen, Kammo, Tiwari, Mohan Choti, Ulhas",Fantasy,"Music: S. N. Tripathi
Lyrics: B. D. Mishra"
Begaana,Sadashiv Rao Kavi,"Dharmendra, Supriya Chowdhury, Agha, Sailesh Kumar, Tarun Bose, Madhavi, Daisy Irani, Manorama","Romance, Drama","Music: Sapan Jagmohan
Lyrics: Shailendra"
Bharosa,K. Shankar,"Guru Dutt, Asha Parekh, Sudesh Kumar, Om Prakash, Shobha Khote, Mehmood, Lalita Pawar, Nana Palsikar, Sulochana","Family, Drama, Romance","Music: Ravi
Lyrics: Rajendra Krishan"
Bhootnath,Nanabhai Bhatt,"Ranjan, Vijaya Chaudhary, Rajan Haksar, Mohan Choti, Ulhas, Jeevankala","Costume, Action","Music: Ved Pal
Lyrics: Keshav Trivedi, Anjaan, Yusuf"
Bin Badal Barsaat,Jyoti Swaroop,"Biswajeet, Asha Parekh, Nishi, Mehmood, Moni Chatterjee, Padma Chavan","Thriller, Drama","Music: Hemant Kumar
Lyrics: Shakeel Badayuni"
Bluff Master,Manmohan Desai,"Shammi Kapoor, Saira Banu, Pran, Lalita Pawar, Mohan Choti, Tun Tun, Niranjan Sharma, Rashid Khan","Romance, Comedy, Drama","Music: Kalayanji Anandji
Lyrics: Rajendra Krishan"
Captain Sheroo,Dharam Kumar,"P. Jairaj, Helen, Maruti, Niranjanjan Sharma, Tun Tun, Padma Rani",Action,"Music: S. Mohinder
Lyrics: Naqsh Lyallpuri, Raja Mehdi Ali Khan"
Chandrasekhar Azad,Jagdish Gautam,"P. Jairaj, Nirupa Roy, Indira Billi, Manju, Leela Mishra","Historical, Biopic","Music: Sardul Kwatra
Lyrics: Prem Dhawan"
Cobra Girl,Nanabhai Bhatt,"Mahipal, Ragini, Tiwari, Sunder, Manorama, Mariya",Fantasy,"Music: S. N. Tripathi
Lyrics: Prem Dhawan"
Commercial Pilot Officer,O. P. Dutta,"Sohan Kapila, Shyama, Shashikala","Action, Thriller","Music: Roshan
Lyrics: Anand Bakshi"
Daanveer Karan,B. R. Panthulu,"Shivaji Ganesan, N T Rama Rao, Savitri",Mythology,"Music: K Balakrishna
Lyrics: Prem Dhawan"
Deepak,Harsukh Bhatt,"Sulochana Chatterjee, Master Anwar, Maruti Rao, Chaman Puri, Bhartendu, Dwarkadas",Children,"Children's Film Society. Music: Snehal Bhatkar
Lyrics: Moosa Kaleem"
Dekha Pyar Tumhara,Kalpataru,"Bhagwan, Naaz, Subiraj, Achala Sachdev, Helen, Madan Puri","Romance, Drama","Music: Raj Ratan
Lyrics: Majrooh Sultanpuri"
