Year,Devotional,Romance,Comedy,Mythology,Horror,Thriller,Legend,Drama,Historical,Social,Action,CrimeTotal,Musical,Family,Fantasy,Costume,Total
2004,0,29,17,0,2,22,0,44,1,0,16,2,2,1,3,0,140
2005,0,24,23,0,2,24,0,45,3,0,7,5,0,2,2,0,137
2006,0,25,22,0,3,20,0,34,0,10,10,2,6,3,2,0,137
2007,0,23,25,0,2,17,0,32,0,4,9,2,3,1,0,0,118
2008,0,34,28,0,2,21,0,34,2,3,8,6,5,2,3,0,154
2009,0,24,34,0,2,12,0,23,1,8,14,1,4,1,3,0,128
2010,0,30,27,0,7,25,0,27,0,7,16,5,0,1,1,0,157
2011,0,26,40,0,3,14,0,23,0,10,13,3,0,2,0,0,140
2012,0,25,39,0,5,23,0,18,0,3,11,8,1,0,1,0,141
2013,0,29,32,0,2,27,0,25,1,1,18,10,2,1,0,0,154
2014,0,29,44,0,10,19,0,51,1,7,21,1,1,0,2,0,190
2015,1,21,33,0,3,20,0,46,1,2,11,5,1,0,0,0,147
