Title,Director,Cast,Genre,"Notes
Cinematographer"
Ashwathama,Dadasaheb Phalke,"Bhaurao Datar, Dada Pendse, Gotiram, Madhav Malusare",Mythology,"Hindustan Cinema Film Co., Nasik
DOP: Anna Salunke"
Atma Bal a.k.a. Sundar Kamdar,,"Elizer, Asooji",,Majestic Film Co.
Bal Shringee or Bal Shringi,,,Mythology,"Eastern Film Co., Baroda"
Bali Yagna,V. K. Pattani,"Nanubhai, Batukbhai Vaidya",Mythology,"Saurashtra Film Co., Rajkot
DOP:Champaklal Pattani"
Bali Yagna a.k.a. Self-surrender At The Feet of the Master,Kanjibhai Rathod,,Mythology,
Bismi Sadi a.k.a Twentieth Century,Homi Master,"Raja Sandow, Miss Moti, Noor Mohammed Charlie",Social,"Kohinoor Film Co.
DOP: D. D. Dabke"
Bhakta Sudhanva,,,Devotional,"Star Films Ltd.
DOP: Vishnu B. Joshi"
Chandan Malayagiri,Naval Gandhi,,,Majestic Film Co.
Chandragupta And Mahatma Chanakya a.k.a. Chandragupta Chanakya,,"Jilloobai, Asooji",Historical,"Star Films Ltd.
DOP: Vishnu B. Joshi"
Chandranath,Naresh Mitra,"Durgadas Bannerjee, Nirmalbala, Naresh Mitra, Jogesh Chowdhury",Social,"Taj Mahal Film Co, Calcutta
DOP: Noni gopal Sanyal"
Datta Janma a.k.a. Sati Ansuya,G. V. Sane,"Bhaurao Datar, Bachu, Ashraben, Motiram",Devotional,"Hindustan Cinema Film Co., Nasik
DOP: Anna Salunke, Chauhan"
Dhruva Charitra a.k.a. The Story Of Dhruva,Jyotish Bannerjee,"Patience Cooper, Dadabhai Sarkari, Signor P. Mannelli, Signorina F. Mannelli, James Mcgrath, Master Mohan, M. Monilal, Agha Hashar Kashmiri",Mythology,"Select Oriental Films, Madan Theatres Ltd.
DOP: Eugenio D. Liguoro"
Draupadi Bhagya a.k.a. Draupadi's Fate,Raghupathy S. Prakasa,,Mythology,"Indian Craft Co., Madras, Hindustan Cinema Film Co., Nasik"
Gajendra Moksham a.k.a. Gajendra's Nirvana,Raghupathy S. Prakasa,,Mythology,Star Of the East Film Co.
Gomata a.k.a. Sacred Cow,,,Devotional,Madan Theatres Ltd.
Gul-E-Bakavali,Kanjibhai Rathod,"Zubeida, Fatma Begum, Khalil, Sultana, Noor Mohammed Charlie, Abdul Ghani, Miss Moti, Jamuna Sr.",Legend,Kohinoor Film Company
Ishq No Umedwar,,,,Saurashtra Film Co.
Jayadratha Vadha,G. V. Sane,"Bhaurao Datar, Bachu Pawar",Mythology,"Hindustan Cinema Film Co., Nasik
DOP: Anna Salunke, Chauhan"
Kala Naag a.k.a. Triumph Of Justice a.k.a Kalyug Ki Sati,Homi Master,"Zubeida, Fatma Begum, Khalil, Sultana, Ibrahim, Tara, Miss Moti, Savita",Crime Thriller,"Kohinoor Film Company
DOP: Gajanan S. Devare, D. D. Dabke"
Kalyan Khajina a.k.a. The Treasures of Khajina,Baburao Painter,"Sultana, Master Vithal, Kamaladevi, Nalini, Zunzharrao Pawar, Baburao Painter, Chimasaheb Bhosle, K. P. Bhave",Crime Thriller,"Maharashtra Film Company, Kolhapur
DOP: S. Fattelal"
Karan Ghelo a.k.a. Karan Waghela,Shree Nath Patankar,,Historical,"National Film Company
DOP: Shree Nath Patankar"
Kismet Ka Shikar a.k.a. Victims Of Fate,,,Social,Madan Theatres Ltd.
Krishna Kumari a.k.a. Daughter Of Shripur,Gajanan S. Devare,,Costume,Kohinoor Film Co.
Manorama a.k.a. Hridaya Triputi,Homi Master,"Zubeida, Khalil, Sultana",Social,Kohinoor Film Co.
Mishar Rani a.k.a. Queen Of Mishar,Jyotish Bannerjee,"Durgadas Bannerjee, Ahindra Choudhury, Krishnabhamini, Niharbala, Naserwanji",Costume,Madan Theatres Ltd.
Municipal Election a.k.a. Municipal Nivadnuk,Dadasaheb Phalke,"Bachu Pawar, Baburao Datar, Sakharam Jadhav, Shinde",Social,"Hindustan Cinema Film Co., Nasik"
Nanda Batrisi a.k.a. Nand Batrishi,,"Dolores Berry, Asooji",Devotional,Majestic Film Co.
Nandanar a.k.a. Bhakta Nandan,Raghupathy S. Prakasa,,Devotional,"Star Of The East Film Co., Madras"
Narsinh Mehta,Gajanan S. Devare,,"Biopic, Devotional","Kohinoor Film Company
DOP: Gajanan S. Devare"
Navin Bharat a.k.a. New India a.k.a. Naveen Bharat,Kashinath Chatterjee,,Social,"Madan Theatres Ltd., Calcutta"
Navi Sethani a.k.a. Kanya Vikrya Ni Kahani,Homi Master,,Social,Kohinoor Film Company
Paper Parinam a.k.a. Crime And Punishment,,"Probodh Chandra Bose, Nirmalendu Lahiri, Prabhadevi, Prabhavati",Social,"Madan Theatres Ltd., Calcutta"
Patni Pratap a.k.a. Wife's Achievement,J. J. Madan,Patience Cooper,Social,"Madan Theatres Ltd., Calcutta"
Poona Raided a.k.a. Poona Par Hallo,B. V. (Mama) Warerkar,"Dulari, Sundar Rao Nadkarni, Vishnupant Pagnis, Miss Bhawani. Krishnarao Ketkar, Vishnupant Pagnis, Miss Kaiser, Baburao Sansare, Datta Varane, Shankarrao Shinde, Pandharinath Kale",Historical,"Deccan Pictures Corp.
DOP: Ramrao Anandkar"
Prithvi Vallabh a.k.a. The Lord Of Love And Power,Manilal Joshi,"P.Y. Altekar, Wagle Sandow, Fatma Begum, Zubeida, Sultana, Miss Jaina, Bhalji Pendharkar",Historical,"Based on K.M. Munshi's novel of the same name. Ashoka Pictures
DOP: Vishnu B. Joshi"
Prithviraj Chouhan a.k.a. Prithviraj Chauhan,,,Historical,"Eastern Film Co., Baroda"
