Title,Director,Cast,Genre,"Notes
Cinematographer"
Ra Mandlik,Homi Master,"Raja Sandow, Miss Yakbal, Ganibabu, Rajababu",Historical,"Kohinoor Film Co.
DOP: Gajanan S. Devare"
Raja Harishchandra,"D.D. Dabke, Narayan Deware",,Mythology,
Ranakdevi,Shree Nath Patankar,"Tarabai Koregaonkar, C. C. Shah",Historical,"National Film Co.
DOP: S. N. Patankar"
Razia Begum,"Nanubhai Desai, Bhagwati Mishra","Raja Sandow, Jilloobai",Historical,Majestic Film Company.
Repentance a.k.a. Paap No Pashchatap,Naval Gandhi,"Dolores Berry, Tara",Social,Majestic Fim Company.
Sadevant Savlinga,,,Costume,Kohinoor Film Co.
Sadguni Sushila a.k.a. Sushila The Virtuous a.k.a. Triumph Of Truth,Kanjibhai Rathod,Raja Sandow,"Thriller, Drama",Kohinoor Film Company
Samudra Manthan a.k.a. The Churning Of The Ocean a.k.a. Ahankar Vijaya,V.K. Pattani,"Batukbhai Vaidya, Nanubai",Mythology,"Saurashtra Film Co., Rajkot
DOP: Champaklal Pattani"
Sanyasi,Naval Gandhi,,Social,Majestic Film Co.
Sati Padmini a.k.a Beauty of Rajasthan a.k.a. Siege of Chittor,Baburao Painter,"Ganpat Bakre, Balasaheb Yadav, Nalini, Zunzharrao Pawar, Dwarka, Bedi","Historical, Drama","Maharashtra Film Co.
DOP: S. Fattelal"
Sati Sardarba,Nanubhai Desai,"Fatma Begum, Sultana, Mohanlala, Putli, Zubeida",Devotional,"Saraswati Film Co.
DOP: Bhogilal K. M. Dave"
Sati Seeta,Kanjibhai Rathod,,Religious,"Kohinoor Film Co.
DOP: Gajanan S. Devare"
Sati Sone a.k.a. Halaman Jethvo,Homi Master,"Raja Sandow, Janibabu, Rajababu, Miss Moti, Jamuna Sr.",Devotional,Kohinoor Film Co.
Shah Jehan a.k.a. Shahjehan,"Ardeshir M. Irani, Naval Gandhi","Bhagwati Mishra, Elizer, Jilloobai",Historical,Majestic Film Company
Shaitan Pujari,,,Social,Punjab Film Mfg. Co.
Sharda,Dadasaheb Phalke,,Social,"Hindustan Cinema Film Company, Nasik"
Shivaji's Escape From Agra a.k.a. Shivajichi Agryahun Sutaka,Dadasaheb Phalke,"Bhaurao Datar, Jardos, Laxman Malusare",Historical,"Hindustan Cinema Film Co., Nasik
DOP: Anna Salunke"
Sita Shuddhi a.k.a. Ram Ravan Yuddha a.k.a. The Purification Of Sita,"G. V. Sane, Dadasaheb Phalke","Vasant Shinde, Chavan",Religious,"Hindustan Cinema Film Co., Nasik
DOP: Anna Salunke"
Shri Dnyaneshwar,S. N. Patankar,,Devotional,"National Film Company
DOP: S. N. Patankar"
Sita Vanvas a.k.a. Uttar Ramcharitra,V. S. Nirantar,,Religious,"Hindustan Cinema Film Company, Nasik"
Sharif Badmash a.k.a. Society Scoundrel,Kanjibhai Rathod,"Ermeline, Madanrai Vakil, Shiraz Ali Hakim, Dorothy",Social,"Saurashtra Film Co., Rajkot
DOP: Chimanlal Luhar"
Sund And Upsund,G. V. Sane,,Mythology,"Hindustan Cinema Film Company, Nasik"
The Debt Of Sin a.k.a. Paap No Fej,"Ardeshir Irani, Naval Gandhi","Elizer, Bhagwati Mishra, Tara, Asooji","True-life, Crime Thriller",Majestic Film Co. Bhogilal K. M. Dave
Turki Hoor,J. J. Madan,"Patience Cooper, Master Mohan, Master Narmada Shankar, Surajram, Sharifa, Manilal",Costume,Madan Theatres Ltd.
Usha Swapna a.k.a. Usha's Dream,Raghupathy S. Prakasa,,Mythology,"Star Of The East Film Co., Madras"
Vasant Prabha,,"Probodh Bose, M. Hussain, Kusumkumari, Prabhadevi",Social,Madan Theatres Ltd.
Veer Ahir,Homi Master,"K. B. Athavale, Jamna",Legend,Kohinoor Film Co.
Veer Bharat,Jyotish Bannerjee,,Costume,Madan Theatres Ltd.
Veer Durgadas a.k.a. Brave Durgadas,Bhagwati Mishra,"Bhagwati Mishra, Jilloo, Asooji",Historical,Majestic Fim Co.
Vijaya a.k.a. Victory a.k.a. Vijay,Bhagwati Mishra,,,Star Films Ltd.
Vikram Charitra a.k.a. Buddhibal,"Nanubhai Desai, Dorabsha Kohla","Tara, Asubhai, Gopalji",Legend,Saraswati Film Company
Wages of Sin,,,,Madan Theatres Ltd.
