"Title","Director","Cast","Genre","Sources",
"Lallu Ram","Shiv Kumar","Urmila Bhatt, Vyjayanti Chavan, Gajendra Chouhan","Action, Comedy, Drama","",
"Lava","","Raj Babbar, Dimple Kapadia, Asha Parekh","Family, Drama","",
"Lover Boy","Shomu Mukerji","Rajiv Kapoor, Meenakshi Sheshadri, Anita Raj","","",
"Maa Kasam","Shibu Mittra","Mithun Chakraborty, Divya Rana, Ranjeet, Pran","","",
"Maha Sangramam","Kodanda Rami Reddy A.","Jayapradha, Jayasudha, Pradeep Kumar","","",
"Maha Shaktimaan","Swamy V.S.R.","Raj Babbar, Meenakshi Sheshadri, Kim","","",
"Mahaguru","S.S. Ravichandra","Gulshan Grover, Shafi Inamdar, Jeetendra","Action, Comedy, Crime, Drama","",
"Mahasati Tulsi","Radhakant","Rajni Bala, Kalpana Divan, Mohan Gokhale","Adventure, Drama, Fantasy, History","",
"Main Khiloda Nahin","","Kaajal Kiran, Jayshree T.","","",
"Mard","Manmohan Desai","Amitabh Bachchan, Amrita Singh, Prem Chopra, Helena, Nirupa Roy & Dara Singh","","",
"Massey Sahib","Pradip Krishen","Raghuvir Yadav, Barry John, Arundhati Roy","","",
"Masterji","K. Raghavendra Rao","Rajesh Khanna, Sridevi, Anita Raj","Comedy, Drama","",
"Mati Manas","Mani Kaul","","","",
"Meetha Zehar","Mohinder","Padmini Kapila, Bharat Kapoor, Deepak Parashar","","",
"Mehak","Chander Bahl","Vijayendra Ghatge, Deepak Parashar, Shoma Anand","Family","",
"Mera Jawab","N. S. Raj Bharath","Jackie Shroff, Meenakshi Sheshadri, Shakti Kapoor","","",
"Mera Saathi","K. Raghavendra Rao","Asrani, Bharat Bhushan, Aruna Irani","Drama","",
"Meraa Ghar Mere Bachche","Chander Vohra","Raj Babbar, Smita Patil, Meenakshi Sheshadri","Drama, Family","",
"Meri Jung","Subhash Ghai","Anil Kapoor, Meenakshi Seshadri, Nutan, Kushboo, Javed Jaffrey, Amrish Puri","","",
"Mirch Masala","Ketan Mehta","Naseeruddin Shah, Smita Patil, Om Puri, Suresh Oberoi, Paresh Rawal, Ratna Pathak, Supriya Pathak, Dina Pathak, Mohan Gokhale","","",
"Misaal","Mirza Brothers","Naseeruddin Shah, Vijayata Pandit, Shahrukh Mirza","Action","",
"Mohabbat","Bapu","Anil Kapoor, Vijayata Pandit, Aruna Irani","Romance","",
"Mujhe Kasam Hai","","Kaajal Kiran, Rameshwari","","",
"Nasoor","Ashok Chopra","Om Puri, Priya Tendulkar, Sadashiv Amrapurkar","Drama","",
"Oonche Log","Brij","Rajesh Khanna, Salma Agha, Pradeep Kumar","Drama, Family","",
"Paapi Sansar","","Surendra Pal, Sadhana Singh, Nandita Thakur","","",
